activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470422	CHEMBL995070	Inhibition of WEE2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5095	Homo sapiens	INH	%	10.0
	2470422	CHEMBL995070	Inhibition of WEE2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5095	Homo sapiens	INH	%	10.0
	2922040	CHEMBL1059399	Inhibition of WEE2 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	97.0	CHEMBL5095	Homo sapiens	Activity	%	97.0
	3333211	CHEMBL1168308	Inhibition of WEE2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL5095	Homo sapiens	INH	%	50.0
	3334616	CHEMBL1168308	Inhibition of WEE2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL5095	Homo sapiens	INH	%	50.0
	3336036	CHEMBL1168308	Inhibition of WEE2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL5095	Homo sapiens	INH	%	50.0
	3337424	CHEMBL1168308	Inhibition of WEE2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL5095	Homo sapiens	INH	%	50.0
	3341980	CHEMBL1168308	Inhibition of WEE2 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL5095	Homo sapiens	INH	%	50.0
	3343427	CHEMBL1168308	Inhibition of WEE2 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL5095	Homo sapiens	INH	%	50.0
	3351806	CHEMBL1175120	Inhibition of WEE2 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	20.0	CHEMBL5095	Homo sapiens	INH	%	20.0
	3358858	CHEMBL1175120	Inhibition of WEE2 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	100.0	CHEMBL5095	Homo sapiens	INH	%	100.0
	3448668	CHEMBL1245024	Binding affinity to WEE2	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5095	Homo sapiens	Kd	uM	10.0
	3449892	CHEMBL1245024	Binding affinity to WEE2	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL5095	Homo sapiens	Kd	uM	10.0
	3449960	CHEMBL1245024	Binding affinity to WEE2	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	>	Kd	nM	10000.0	CHEMBL5095	Homo sapiens	Kd	uM	10.0
	3450273	CHEMBL1245024	Binding affinity to WEE2	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL5095	Homo sapiens	Kd	uM	10.0
	3450426	CHEMBL1245024	Binding affinity to WEE2	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL5095	Homo sapiens	Kd	uM	10.0
