activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470389	CHEMBL981771	Inhibition of SgK110 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5116	Homo sapiens	INH	%	10.0
	2470389	CHEMBL981771	Inhibition of SgK110 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5116	Homo sapiens	INH	%	10.0
	2596921	CHEMBL1017921	Inhibition of SgK110 assessed as enzyme activity relative to control	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	=	Activity	%	14.0	CHEMBL5116	Homo sapiens	Activity	%	14.0
	2921996	CHEMBL1052964	Inhibition of SgK110 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	78.0	CHEMBL5116	Homo sapiens	Activity	%	78.0
	3332151	CHEMBL1167699	Inhibition of SgK110 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL5116	Homo sapiens	INH	%	50.0
	3333566	CHEMBL1167699	Inhibition of SgK110 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL5116	Homo sapiens	INH	%	50.0
	3334971	CHEMBL1167699	Inhibition of SgK110 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL5116	Homo sapiens	INH	%	50.0
	3336391	CHEMBL1167699	Inhibition of SgK110 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL5116	Homo sapiens	INH	%	50.0
	3341933	CHEMBL1167699	Inhibition of SgK110 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	=	Inhibition	%	96.0	CHEMBL5116	Homo sapiens	INH	%	96.0
	3343380	CHEMBL1167699	Inhibition of SgK110 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	=	Inhibition	%	71.0	CHEMBL5116	Homo sapiens	INH	%	71.0
	3351755	CHEMBL1175335	Inhibition of SgK110 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	42.0	CHEMBL5116	Homo sapiens	INH	%	42.0
	3358807	CHEMBL1175335	Inhibition of SgK110 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	100.0	CHEMBL5116	Homo sapiens	INH	%	100.0
	3445301	CHEMBL1244977	Binding affinity to SgK110	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	120.0	CHEMBL5116	Homo sapiens	Kd	nM	120.0
	3448624	CHEMBL1244977	Binding affinity to SgK110	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5116	Homo sapiens	Kd	uM	10.0
	3449508	CHEMBL1244977	Binding affinity to SgK110	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	1900.0	CHEMBL5116	Homo sapiens	Kd	nM	1900.0
	3449851	CHEMBL1244977	Binding affinity to SgK110	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL5116	Homo sapiens	Kd	uM	10.0
	3450242	CHEMBL1244977	Binding affinity to SgK110	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL5116	Homo sapiens	Kd	uM	10.0
	3450866	CHEMBL1244977	Binding affinity to SgK110	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL5116	Homo sapiens	Kd	uM	10.0
	3451152	CHEMBL1244977	Binding affinity to SgK110	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL1240703	>	Kd	nM	10000.0	CHEMBL5116	Homo sapiens	Kd	uM	10.0
	6339935	CHEMBL1826618	Activity of SgK110 kinase at 1 uM	B	CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1		CHEMBL1822054	=	Activity	%	76.0	CHEMBL5116	Homo sapiens	Activity	%	76.0
	7567154	CHEMBL1908444	Binding constant for SgK110 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5116	Homo sapiens	Kd	nM	10000.0
	7567613	CHEMBL1908444	Binding constant for SgK110 kinase domain	B	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl		CHEMBL105442	>	Kd	nM	10000.0	CHEMBL5116	Homo sapiens	Kd	nM	10000.0
