activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650585	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL3830	Homo sapiens	Kd		
Not Active	1650585	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL3830	Homo sapiens	Kd		
	1650586	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	=	Kd	nM	2300.0	CHEMBL3830	Homo sapiens	Kd	uM	2.3
Not Active	1650587	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL3830	Homo sapiens	Kd		
	1650588	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	130.0	CHEMBL3830	Homo sapiens	Kd	uM	0.13
Not Active	1650589	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL3830	Homo sapiens	Kd		
	1650590	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	=	Kd	nM	960.0	CHEMBL3830	Homo sapiens	Kd	uM	0.96
Not Active	1650591	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336		Kd			CHEMBL3830	Homo sapiens	Kd		
Not Active	1650592	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762		Kd			CHEMBL3830	Homo sapiens	Kd		
Not Active	1650593	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL3830	Homo sapiens	Kd		
	1651720	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	Kd	nM	1.3	CHEMBL3830	Homo sapiens	Kd	uM	0.0013
Not Active	1651721	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041		Kd			CHEMBL3830	Homo sapiens	Kd		
Not Active	1651722	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10		Kd			CHEMBL3830	Homo sapiens	Kd		
Not Active	1651723	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385		Kd			CHEMBL3830	Homo sapiens	Kd		
Not Active	1651724	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667		Kd			CHEMBL3830	Homo sapiens	Kd		
	1651725	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	Oc1c2ccccc2c2c3c(cccc13)N=N2		CHEMBL1725279	=	Kd	nM	35.0	CHEMBL3830	Homo sapiens	Kd	uM	0.035
Not Active	1651726	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941		Kd			CHEMBL3830	Homo sapiens	Kd		
Not Active	1651727	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939		Kd			CHEMBL3830	Homo sapiens	Kd		
	1651728	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	=	Kd	nM	4400.0	CHEMBL3830	Homo sapiens	Kd	uM	4.4
Not Active	1651729	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828		Kd			CHEMBL3830	Homo sapiens	Kd		
Not Active	1651730	CHEMBL860786	Average Binding Constant for AAK1; NA=Not Active at 10 uM	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965		Kd			CHEMBL3830	Homo sapiens	Kd		
	2470076	CHEMBL1033208	Inhibition of AAK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL3830	Homo sapiens	INH	%	10.0
