activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Active	5497852	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	CCC(C)C(N)C1=NC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1.[Zn+2]		CHEMBL1964361	=	IC50	nM	2690.0	CHEMBL1741200	Homo sapiens	IC50	uM	2.69
Active	5497852	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	CCC(C)C(N)C1=NC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1.[Zn+2]		CHEMBL1964361	=	IC50	nM	2690.0	CHEMBL1741200	Homo sapiens	IC50	uM	2.69
Active	5497853	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	CCOC(=O)/C=C(\C)Sc1cc(O)c2ccccc2c1O		CHEMBL1964407	=	IC50	nM	11800.0	CHEMBL1741200	Homo sapiens	IC50	uM	11.8
inactive	5497854	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	CCOC(=O)c1c(-n2c(C)cc(C=C3C(=O)NC(=S)NC3=O)c2C)sc2c1CCCC2		CHEMBL1533351	=	IC50	nM	23100.0	CHEMBL1741200	Homo sapiens	IC50	uM	23.1
Active	5497855	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	CCCCC(CC)CN=C(N)N=C(N)NCCCCCCNC(N)=NC(N)=NCC(CC)CCCC.Cl		CHEMBL1487183	=	IC50	nM	14200.0	CHEMBL1741200	Homo sapiens	IC50	uM	14.2
Active	5497856	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	COc1ccc(NC(=O)CSc2ccc(-c3cccnc3)nn2)c(OC)c1		CHEMBL1539592	=	IC50	nM	17800.0	CHEMBL1741200	Homo sapiens	IC50	uM	17.8
inactive	5497857	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	O=C(O)COc1ccc(/C=N/NC(=O)c2ccc(-c3csc(Nc4ccc(Cl)cc4)n3)cc2)cc1		CHEMBL1701224	=	IC50	nM	33000.0	CHEMBL1741200	Homo sapiens	IC50	uM	33.0
inactive	5497858	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	Cc1cccc(C)c1Nc1nnc(SCc2cn3cccc(C)c3n2)s1		CHEMBL1445174	>	IC50	nM	80000.0	CHEMBL1741200	Homo sapiens	IC50	uM	80.0
Active	5497859	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	COc1ccc2cc(CCNC(=O)c3ccc(S(=O)(=O)N4CCCC4)cc3)c(O)nc2c1		CHEMBL1727628	=	IC50	nM	7580.0	CHEMBL1741200	Homo sapiens	IC50	uM	7.58
inactive	5497860	CHEMBL1738579	PUBCHEM_BIOASSAY: Dose Response confirmation of inhibitors of hexokinase domain containing I (HKDC1). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493160, AID493190]	F	COc1ccc(-n2c(C)cc(C(=O)CCl)c2C)cc1		CHEMBL1555488	=	IC50	nM	27000.0	CHEMBL1741200	Homo sapiens	IC50	uM	27.0
