activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	18153250	CHEMBL4034444	Inhibition of PAN3 ATP binding site (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	>	Inhibition	%	35.0	CHEMBL4105985	Homo sapiens	INH	%	35.0
	18153250	CHEMBL4034444	Inhibition of PAN3 ATP binding site (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	>	Inhibition	%	35.0	CHEMBL4105985	Homo sapiens	INH	%	35.0
	18211678	CHEMBL4045791	Inhibition of PAN3 Protein Kinase Domain (VMDPTKILITGK) in human PBMC at 1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1		CHEMBL3971067	=	Inhibition	%	0.1	CHEMBL4105985	Homo sapiens	INH	%	0.1
	18211936	CHEMBL4046032	Inhibition of PAN3 Protein Kinase Domain (VMDPTKILITGK) in human PBMC at 0.1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1		CHEMBL3971067	=	Inhibition	%	6.2	CHEMBL4105985	Homo sapiens	INH	%	6.2
	18275184	CHEMBL4118440	Inhibition of PAN3 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled VMDPTKILITGK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1Cl	Outside typical range	CHEMBL3883384	=	Inhibition	%	-29.5	CHEMBL4105985	Homo sapiens	INH	%	-29.5
	18275185	CHEMBL4118440	Inhibition of PAN3 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled VMDPTKILITGK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Oc1nc(Nc2cnn(CCOC)c2)ncc1Cl	Outside typical range	CHEMBL3884839	=	Inhibition	%	-41.3	CHEMBL4105985	Homo sapiens	INH	%	-41.3
	18275186	CHEMBL4118440	Inhibition of PAN3 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled VMDPTKILITGK probe by mass-spectrometric analysis relative to control	B	COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O	Outside typical range	CHEMBL1077979	=	Inhibition	%	-14.5	CHEMBL4105985	Homo sapiens	INH	%	-14.5
	23120848	CHEMBL4804458	Inhibition of PAN3 in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2cccc3ncsc23)cc1-c1ccc2c(c1)CCNC2=O	Outside typical range	CHEMBL4855542	=	IC50	nM	-4000.0	CHEMBL4105985	Homo sapiens	IC50	uM	-4.0
	23120849	CHEMBL4804458	Inhibition of PAN3 in human NCI-H929 cells by mass spectroscopic analysis	B	CN(C1CC1)S(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc4c(c3)CCNC4=O)c2)c(F)c1	Outside typical range	CHEMBL4860979	=	IC50	nM	-45100.0	CHEMBL4105985	Homo sapiens	IC50	uM	-45.1
	23120850	CHEMBL4804458	Inhibition of PAN3 in human NCI-H929 cells by mass spectroscopic analysis	B	COc1cc(NS(=O)(=O)C2CC2)ccc1-c1cnc(N)c(-c2ccc3c(c2)CCNC3=O)c1	Outside typical range	CHEMBL4867931	=	IC50	nM	-2400.0	CHEMBL4105985	Homo sapiens	IC50	uM	-2.4
