activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	6364821	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	Cc1noc(C)c1-c1ccc2c(c1)CN(C)C(=O)N2		CHEMBL1828978	=	Delta Tm	degrees C	3.2	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	3.2
	6364821	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	Cc1noc(C)c1-c1ccc2c(c1)CN(C)C(=O)N2		CHEMBL1828978	=	Delta Tm	degrees C	3.2	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	3.2
	6364822	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	Cc1noc(C)c1-c1ccccc1		CHEMBL1828979	=	Delta Tm	degrees C	0.0	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	0.0
	6364823	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	CC(=O)c1cccc(-c2c(C)noc2C)c1		CHEMBL1828980	=	Delta Tm	degrees C	-0.2	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	-0.2
	6364824	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	CCOc1cccc(-c2c(C)noc2C)c1		CHEMBL1828981	=	Delta Tm	degrees C	-0.4	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	-0.4
	6364825	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	Cc1noc(C)c1-c1cccc(C(C)O)c1		CHEMBL1828982	=	Delta Tm	degrees C	1.6	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	1.6
	6364826	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	CCOC(=O)c1cc(OCC)cc(-c2c(C)noc2C)c1		CHEMBL1828983	=	Delta Tm	degrees C	1.1	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	1.1
	6364827	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	CCOc1cc(C(=O)O)cc(-c2c(C)noc2C)c1		CHEMBL1828984	=	Delta Tm	degrees C	-0.8	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	-0.8
	6364828	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	CCOc1cc(C(C)=O)cc(-c2c(C)noc2C)c1		CHEMBL1828985	=	Delta Tm	degrees C	0.2	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	0.2
	6364829	CHEMBL1832849	Binding affinity to BRDT assessed as change in melting temperature at 100 uM by differential scanning fluorimetry	B	CCOc1cc(-c2c(C)noc2C)cc(C(C)O)c1		CHEMBL1828986	=	Delta Tm	degrees C	3.5	CHEMBL1795185	Homo sapiens	deltaTm	degrees C	3.5
	8046390	CHEMBL1958563	Binding affinity to BRDT-BD1 by isothermal titration calorimetry	B	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2		CHEMBL1957266	=	Kd	nM	190.1	CHEMBL1795185	Homo sapiens	Kd	nM	190.1
