activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	15756130	CHEMBL3631910	Inhibition of MLK4 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1	Outside typical range	CHEMBL166031	=	Inhibition	%	-64.69	CHEMBL3627584	Homo sapiens	INH	%	-64.69
	15756130	CHEMBL3631910	Inhibition of MLK4 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1	Outside typical range	CHEMBL166031	=	Inhibition	%	-64.69	CHEMBL3627584	Homo sapiens	INH	%	-64.69
	15757969	CHEMBL3631910	Inhibition of MLK4 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N4CCOCC4)nc3-c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3)n2)c1		CHEMBL3628627	=	Inhibition	%	49.72	CHEMBL3627584	Homo sapiens	INH	%	49.72
	15759681	CHEMBL3631910	Inhibition of MLK4 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC	Outside typical range	CHEMBL3628628	=	Inhibition	%	-16.39	CHEMBL3627584	Homo sapiens	INH	%	-16.39
	18099885	CHEMBL4021792	Inhibition of MLK4 (unknown origin)	B	Cc1ccc(CNc2nc(N)nc3[nH]c4cc(C)c(O)cc4c23)cc1		CHEMBL4098682	>	IC50	nM	100000.0	CHEMBL3627584	Homo sapiens	IC50	uM	100.0
	18153066	CHEMBL4034405	Inhibition of MLK4 Lysine 2 labelling site (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	=	Inhibition	%	12.2	CHEMBL3627584	Homo sapiens	INH	%	12.2
	18275094	CHEMBL4118410	Inhibition of MLK4 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled DLKSSNILLLEK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1Cl		CHEMBL3883384	=	Inhibition	%	-1.1	CHEMBL3627584	Homo sapiens	INH	%	-1.1
	18275095	CHEMBL4118410	Inhibition of MLK4 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled DLKSSNILLLEK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Oc1nc(Nc2cnn(CCOC)c2)ncc1Cl	Outside typical range	CHEMBL3884839	=	Inhibition	%	-16.4	CHEMBL3627584	Homo sapiens	INH	%	-16.4
	18275096	CHEMBL4118410	Inhibition of MLK4 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled DLKSSNILLLEK probe by mass-spectrometric analysis relative to control	B	COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O	Outside typical range	CHEMBL1077979	=	Inhibition	%	-35.7	CHEMBL3627584	Homo sapiens	INH	%	-35.7
	18938101	CHEMBL4327777	Inhibition of human MLK4 assessed as residual activity at 1 uM using MEK1 as substrate by [gamma-33P]-ATP assay relative to control	B	ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]		CHEMBL4438024	=	Activity	%	96.01	CHEMBL3627584	Homo sapiens	Activity	%	96.01
	18938102	CHEMBL4327777	Inhibition of human MLK4 assessed as residual activity at 1 uM using MEK1 as substrate by [gamma-33P]-ATP assay relative to control	B	C(=C/c1ccccc1)\C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]		CHEMBL4446405	=	Activity	%	104.82	CHEMBL3627584	Homo sapiens	Activity	%	104.82
	18938622	CHEMBL4328141	Inhibition of human MLK4 assessed as residual activity at 100 uM using MEK1 as substrate by [gamma-33P]-ATP assay relative to control	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	<	Activity	%	65.0	CHEMBL3627584	Homo sapiens	Activity	%	65.0
	18939002	CHEMBL4328505	Inhibition of human MLK4 using MEK1 as substrate by [gamma-33P]-ATP assay	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	1470.0	CHEMBL3627584	Homo sapiens	IC50	10'-6M	1.47
	18964478	CHEMBL4335178	Inhibition of recombinant human MLK4 assessed as residual activity at 1 uM using by radiometry assay relative to control	B	C=CCOC(=O)c1cc(-c2ccc(/C=C3/NC(=S)NC3=O)o2)ccc1Cl		CHEMBL4568120	=	Activity	%	95.0	CHEMBL3627584	Homo sapiens	Activity	%	95.0
	19092015	CHEMBL4366489	Inhibition of human MLK4 at 100 nM using MEK1 as substrate by [gamma-33P]-ATP assay	B	COc1ccc(N2C(=O)COc3ccc(-c4cnc(OC)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc32)cc1		CHEMBL4528675	=	Inhibition	%	5.78	CHEMBL3627584	Homo sapiens	INH	%	5.78
	19266511	CHEMBL4405461	Inhibition of MLK4 (unknown origin) at 1 uM relative to control	B	CC[C@H](Nc1nc(N)nc(C)c1C#N)c1nc2cccc(NCc3ccc(C(=O)NO)cc3)c2c(=O)n1-c1ccccc1		CHEMBL4455923	<	Inhibition	%	50.0	CHEMBL3627584	Homo sapiens	INH	%	50.0
	22423443	CHEMBL4674297	Inhibition of human MLK4 using MEK1 as substrate assessed as residual activity at 1 uM by [gamma-33P]-ATP assay relative to control	B	Nc1ncc(-c2cnc(C3CCNCC3)s2)cc1OC1CCCCC1		CHEMBL4785602	=	Activity	%	106.23	CHEMBL3627584	Homo sapiens	Activity	%	106.23
	22423444	CHEMBL4674297	Inhibition of human MLK4 using MEK1 as substrate assessed as residual activity at 1 uM by [gamma-33P]-ATP assay relative to control	B	Nc1ncc(-c2cnc(C3CCNCC3)s2)cc1OCc1ccncc1		CHEMBL4749141	=	Activity	%	113.93	CHEMBL3627584	Homo sapiens	Activity	%	113.93
	22843661	CHEMBL4720647	Inhibition of human MLK4 using MEK1 as substrate by [gamma-33P]-ATP assay	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	765.0	CHEMBL3627584	Homo sapiens	IC50	10^-7M	7.65
	22844011	CHEMBL4720997	Inhibition of human MLK4 assessed as residual activity using MEK1 as substrate at 1 uM by [gamma-33P]-ATP assay relative to control	B	O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1)c1cc([N+](=O)[O-])ccc1F		CHEMBL4750196	=	Activity	%	88.68	CHEMBL3627584	Homo sapiens	Activity	%	88.68
	23122360	CHEMBL4804747	Inhibition of MLK4 in human NCI-H929 cells by mass spectroscopic analysis	B	COc1cc(NS(=O)(=O)C2CC2)ccc1-c1cnc(N)c(-c2ccc3c(c2)CCNC3=O)c1		CHEMBL4867931	=	IC50	nM	30200.0	CHEMBL3627584	Homo sapiens	IC50	uM	30.2
	23122361	CHEMBL4804747	Inhibition of MLK4 in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2F)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4855730	=	IC50	nM	14200.0	CHEMBL3627584	Homo sapiens	IC50	uM	14.2
	23122362	CHEMBL4804747	Inhibition of MLK4 in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2OC2CCCCC2)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4868141	=	IC50	nM	56900.0	CHEMBL3627584	Homo sapiens	IC50	uM	56.9
	23122363	CHEMBL4804748	Inhibition of MLK4 in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	COc1cc(NS(=O)(=O)C2CC2)ccc1-c1cnc(N)c(-c2ccc3c(c2)CCNC3=O)c1		CHEMBL4867931	=	Inhibition	%	0.0	CHEMBL3627584	Homo sapiens	INH	%	0.0
	23122364	CHEMBL4804748	Inhibition of MLK4 in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2F)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4855730	=	Inhibition	%	0.0	CHEMBL3627584	Homo sapiens	INH	%	0.0
	23122365	CHEMBL4804748	Inhibition of MLK4 in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2OC2CCCCC2)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4868141	=	Inhibition	%	50.0	CHEMBL3627584	Homo sapiens	INH	%	50.0
	23128329	CHEMBL4807918	Inhibition of MLK4 (unknown origin) assessed as residual activity measured at 1 uM	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)csc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL4867844	>	Activity	%	75.0	CHEMBL3627584	Homo sapiens	Activity	%	75.0
	23128330	CHEMBL4807918	Inhibition of MLK4 (unknown origin) assessed as residual activity measured at 1 uM	B	Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)ccnc3C)s2)cc(NN2CCN(CCO)CC2)n1		CHEMBL4855726	>	Activity	%	75.0	CHEMBL3627584	Homo sapiens	Activity	%	75.0
	23128331	CHEMBL4807918	Inhibition of MLK4 (unknown origin) assessed as residual activity measured at 1 uM	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Activity	%	75.0	CHEMBL3627584	Homo sapiens	Activity	%	75.0
Not Active	23383636	CHEMBL4887292	MLK4 Invitrogen Lab (UK) kinase screen (BI)	B	CCC(F)(F)c1cc(N2CCC(S(C)(=O)=O)CC2)nc2sc(C(N)=O)c(N)c12		CHEMBL4522930		% Ctrl	%	97.0	CHEMBL3627584	Homo sapiens	% Ctrl	%	97.0
Not Active	23384355	CHEMBL4887950	MLK4(h) Millipore kinase panel	B	CC[C@@H](Nc1c(C#N)c(-c2ccc(-c3cccc(C)c3F)cc2)nc2cnccc12)C(=O)O		CHEMBL4802045		Inhibition	%	9.6	CHEMBL3627584	Homo sapiens	% inhibition	%	9.6
