activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	7969809	CHEMBL1930474	Inhibition of TTBK1 assessed as residual activity at 10 uM using [33P-ATP] by radiometric filter binding assay	B	Cc1ccc(F)cc1-c1nc2[nH]nc(N)c2c2c1CCCC2		CHEMBL1927262	=	Activity	%	94.0	CHEMBL1926492	Homo sapiens	Activity	%	94.0
	7969809	CHEMBL1930474	Inhibition of TTBK1 assessed as residual activity at 10 uM using [33P-ATP] by radiometric filter binding assay	B	Cc1ccc(F)cc1-c1nc2[nH]nc(N)c2c2c1CCCC2		CHEMBL1927262	=	Activity	%	94.0	CHEMBL1926492	Homo sapiens	Activity	%	94.0
	10840396	CHEMBL2014714	Inhibition of TTBK1 assessed as residual activity at 1 uM relative to control	B	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1		CHEMBL509032	=	Activity	%	88.0	CHEMBL1926492	Homo sapiens	Activity	%	88.0
	10840432	CHEMBL2015823	Inhibition of TTBK1 assessed as residual activity at 10 uM relative to control	B	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1		CHEMBL509032	=	Activity	%	101.0	CHEMBL1926492	Homo sapiens	Activity	%	101.0
	12170720	CHEMBL2214628	Inhibition of TTBK1 assessed as residual activity at 1 uM	B	O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1		CHEMBL2204495	=	Activity	%	81.0	CHEMBL1926492	Homo sapiens	Activity	%	81.0
	12170851	CHEMBL2212717	Inhibition of TTBK1 assessed as residual activity at 10 uM	B	O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1		CHEMBL2204495	=	Activity	%	98.0	CHEMBL1926492	Homo sapiens	Activity	%	98.0
	15072432	CHEMBL3388061	Inhibition of TTBK1 (unknown origin) assessed as remaining enzyme activity at 10 uM by radioactive [33P]-ATP filter binding assay	B	Cc1ccc(-c2cc(C(=O)Nc3ccnc(Cl)c3)nn2-c2ccc3ccccc3n2)cc1		CHEMBL3338802	=	Activity	%	104.0	CHEMBL1926492	Homo sapiens	Activity	%	104.0
	15756779	CHEMBL3631612	Inhibition of TTBK1 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1		CHEMBL166031	=	Inhibition	%	8.16	CHEMBL1926492	Homo sapiens	INH	%	8.16
	15757944	CHEMBL3631612	Inhibition of TTBK1 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N4CCOCC4)nc3-c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3)n2)c1	Outside typical range	CHEMBL3628627	=	Inhibition	%	-21.74	CHEMBL1926492	Homo sapiens	INH	%	-21.74
	15758923	CHEMBL3631612	Inhibition of TTBK1 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC		CHEMBL3628628	=	Inhibition	%	7.91	CHEMBL1926492	Homo sapiens	INH	%	7.91
	16432039	CHEMBL3750193	Inhibition of human TTBK1 using MBP substrate	B	Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21		CHEMBL3745885	>	IC50	nM	10000.0	CHEMBL1926492	Homo sapiens	IC50	uM	10.0
	16654125	CHEMBL3829289	Inhibition of human TTBK1 (1 to 1321 residues) assessed as remaining enzyme activity at 50 uM after 30 mins by 33P-ATP filter-binding assay	B	Cc1cc(=O)c2c(O)cc(O)c([C@H]3CCN(C)C[C@H]3O)c2o1		CHEMBL1077604	=	Activity	%	82.0	CHEMBL1926492	Homo sapiens	Activity	%	82.0
	18232106	CHEMBL4050396	Inhibition of human TTBK1 assessed as residual activity at 1 uM in presence of [33P]ATP by filter binding assay relative to control	B	NCCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCCCCCCCOc1nc2cc(C(=O)O)ccc2c2cnccc12)C(=O)O		CHEMBL4077554	=	Activity	%	97.0	CHEMBL1926492	Homo sapiens	Activity	%	97.0
	18449853	CHEMBL4178091	Inhibition of human TTBK1 (1 to 1321 residues) assessed as residual activity at 500 nM in presence of 33P-ATP by filter binding assay relative to control	B	Cc1cccc(-c2nc(N)sc2-c2ccc3ncccc3n2)c1		CHEMBL4209540	=	Activity	%	112.0	CHEMBL1926492	Homo sapiens	Activity	%	112.0
	18507568	CHEMBL4191223	Inhibition of recombinant human TTBK1 (1 to 479 residues) at 1 uM using casein as substrate after 40 mins in presence of [gamma-33P]ATP by scintillation counting method	B	CS(=O)(=O)c1ccc(-n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)cc1		CHEMBL4207014	=	Inhibition	%	11.0	CHEMBL1926492	Homo sapiens	INH	%	11.0
	18892739	CHEMBL4314635	Inhibition of human TTBK1 (1 to 479 residues) using Casein as substrate measured after 40 mins in presence of [gamma33P]ATP by scintillation counting method	B	Cc1cc(C)c(CNc2nc(Cl)nc3c2ncn3C2CCCC2)c(=O)[nH]1		CHEMBL4557538	=	Activity	%	102.0	CHEMBL1926492	Homo sapiens	Activity	%	102.0
	18934333	CHEMBL4326705	Inhibition of TTBK1 (unknown origin)	B	CC1(N)CCC(Nc2ccn3ncnc(Nc4cc(O)cc(Br)c4)c23)CC1		CHEMBL4528881	=	IC50	nM	120.0	CHEMBL1926492	Homo sapiens	IC50	nM	120.0
	18934334	CHEMBL4326704	Binding affinity to phosphorylated TTBK1 (unknown origin) assessed as association rate constant by SPR analysis	B	COC(=O)c1cc(Nc2ncnc3[nH]ccc23)ccc1Br	Non standard unit for type	CHEMBL4517951	=	K	10'4/s	3.7	CHEMBL1926492	Homo sapiens	K	10'4/s	3.7
