activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1824462	CHEMBL913830	Inhibition of Cdc42BPA	B	CS(=O)(=O)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2		CHEMBL223460	>	Ki	nM	10000.0	CHEMBL4516	Homo sapiens	Ki	uM	10.0
	1824462	CHEMBL913830	Inhibition of Cdc42BPA	B	CS(=O)(=O)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2		CHEMBL223460	>	Ki	nM	10000.0	CHEMBL4516	Homo sapiens	Ki	uM	10.0
	1824581	CHEMBL913830	Inhibition of Cdc42BPA	B	N#Cc1ncc2nc1OCCCCCOc1cc(CCCO)c(Cl)cc1NC(=O)N2		CHEMBL223367	=	Ki	nM	4440.0	CHEMBL4516	Homo sapiens	Ki	uM	4.44
	1824698	CHEMBL913830	Inhibition of Cdc42BPA	B	N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2		CHEMBL373598	=	Ki	nM	6630.0	CHEMBL4516	Homo sapiens	Ki	uM	6.63
	2051598	CHEMBL942739	Inhibition of CDC42BPA	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	9524.0	CHEMBL4516	Homo sapiens	Ki	uM	9.524
	2147316	CHEMBL922001	Activity of human MRCKalpha kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	101.0	CHEMBL4516	Homo sapiens	Activity	%	101.0
	2470279	CHEMBL987198	Inhibition of MRCKA at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL4516	Homo sapiens	INH	%	10.0
Not Evaluated	2476704	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2478543	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2478746	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755		Activity			CHEMBL4516	Homo sapiens	Activity		
	2479601	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312	=	Activity	%	8.1	CHEMBL4516	Homo sapiens	Activity	%	8.1
Not Evaluated	2479804	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2480601	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2480803	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878		Activity			CHEMBL4516	Homo sapiens	Activity		
	2505360	CHEMBL943653	Inhibition of MRCKalpha	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2C1		CHEMBL474425	=	IC50	nM	210.0	CHEMBL4516	Homo sapiens	IC50	nM	210.0
	2505365	CHEMBL943653	Inhibition of MRCKalpha	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccc(F)cc2C1		CHEMBL481545	=	IC50	nM	79.0	CHEMBL4516	Homo sapiens	IC50	nM	79.0
	2505366	CHEMBL943653	Inhibition of MRCKalpha	B	COc1ccc2c(c1)CC(C(=O)Nc1ccc(-c3cn[nH]c3)cc1OCCN(C)C)CO2		CHEMBL482336	=	IC50	nM	150.0	CHEMBL4516	Homo sapiens	IC50	nM	150.0
	2512023	CHEMBL970572	Inhibition of MRCKalpha at 1 uM	B	CC(=O)N1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1		CHEMBL508307	=	Inhibition	%	11.0	CHEMBL4516	Homo sapiens	INH	%	11.0
	2567263	CHEMBL975450	Inhibition of human MRCKalpha kinase assessed as residual enzyme activity at 0.1 uM	B	CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c(C)n[nH]c1-4		CHEMBL223147	=	Activity	%	98.0	CHEMBL4516	Homo sapiens	Activity	%	98.0
Not Evaluated	2577222	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2577425	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2593630	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2593896	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2594099	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2594839	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2595042	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2596239	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2596442	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019		Activity			CHEMBL4516	Homo sapiens	Activity		
Not Evaluated	2597711	CHEMBL982732	Binding affinity to human MRCKA at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL4516	Homo sapiens	Activity		
	2721656	CHEMBL1057485	Inhibition of MRCKalpha at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL4516	Homo sapiens	INH	%	50.0
	2901619	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901620	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901621	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901622	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901623	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	=	Kd	nM	9400.0	CHEMBL4516	Homo sapiens	Kd	nM	9400.0
	2901624	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901625	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901626	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901627	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901628	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901629	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL4516	Homo sapiens	Kd	uM	10.0
	2901630	CHEMBL1060251	Binding constant for MRCKA kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	=	Kd	nM	2000.0	CHEMBL4516	Homo sapiens	Kd	nM	2000.0
