activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	15072431	CHEMBL3388062	Inhibition of TTBK2 (unknown origin) assessed as remaining enzyme activity at 10 uM by radioactive [33P]-ATP filter binding assay	B	Cc1ccc(-c2cc(C(=O)Nc3ccnc(Cl)c3)nn2-c2ccc3ccccc3n2)cc1		CHEMBL3338802	=	Activity	%	101.0	CHEMBL3337327	Homo sapiens	Activity	%	101.0
	15072431	CHEMBL3388062	Inhibition of TTBK2 (unknown origin) assessed as remaining enzyme activity at 10 uM by radioactive [33P]-ATP filter binding assay	B	Cc1ccc(-c2cc(C(=O)Nc3ccnc(Cl)c3)nn2-c2ccc3ccccc3n2)cc1		CHEMBL3338802	=	Activity	%	101.0	CHEMBL3337327	Homo sapiens	Activity	%	101.0
	15756778	CHEMBL3631613	Inhibition of TTBK2 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1	Outside typical range	CHEMBL166031	=	Inhibition	%	-27.74	CHEMBL3337327	Homo sapiens	INH	%	-27.74
	15757945	CHEMBL3631613	Inhibition of TTBK2 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N4CCOCC4)nc3-c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3)n2)c1	Outside typical range	CHEMBL3628627	=	Inhibition	%	-24.1	CHEMBL3337327	Homo sapiens	INH	%	-24.1
	15758924	CHEMBL3631613	Inhibition of TTBK2 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC	Outside typical range	CHEMBL3628628	=	Inhibition	%	-18.77	CHEMBL3337327	Homo sapiens	INH	%	-18.77
	16432040	CHEMBL3750194	Inhibition of human TTBK2 using MBP substrate	B	Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21		CHEMBL3745885	>	IC50	nM	10000.0	CHEMBL3337327	Homo sapiens	IC50	uM	10.0
	16495251	CHEMBL3779060	Inhibition of N-terminal His6-tagged recombinant human TXK expressed in baculovirus infected insect Sf9 cells assessed as remaining activity at 1 uM relative to control	B	Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@@H](O)C5)cc34)cc2)cn1		CHEMBL3775317	=	Activity	%	0.0	CHEMBL3337327	Homo sapiens	Activity	%	0.0
	16496170	CHEMBL3779060	Inhibition of N-terminal His6-tagged recombinant human TXK expressed in baculovirus infected insect Sf9 cells assessed as remaining activity at 1 uM relative to control	B	Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCOCC5)cc34)cc2)cn1		CHEMBL3774885	=	Activity	%	-15.0	CHEMBL3337327	Homo sapiens	Activity	%	-15.0
	16508960	CHEMBL3779060	Inhibition of N-terminal His6-tagged recombinant human TXK expressed in baculovirus infected insect Sf9 cells assessed as remaining activity at 1 uM relative to control	B	CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1		CHEMBL3775576	=	Activity	%	-1.0	CHEMBL3337327	Homo sapiens	Activity	%	-1.0
	18232096	CHEMBL4050406	Inhibition of human TTBK2 assessed as residual activity at 1 uM in presence of [33P]ATP by filter binding assay relative to control	B	NCCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCCCCCCCOc1nc2cc(C(=O)O)ccc2c2cnccc12)C(=O)O		CHEMBL4077554	=	Activity	%	101.0	CHEMBL3337327	Homo sapiens	Activity	%	101.0
