activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470406	CHEMBL981788	Inhibition of ULK3 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5047	Homo sapiens	INH	%	10.0
	2470406	CHEMBL981788	Inhibition of ULK3 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5047	Homo sapiens	INH	%	10.0
	2476581	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167	=	Activity	%	2.1	CHEMBL5047	Homo sapiens	Activity	%	2.1
	2476784	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582	=	Activity	%	27.5	CHEMBL5047	Homo sapiens	Activity	%	27.5
Not Evaluated	2478623	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5047	Homo sapiens	Activity		
	2478826	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	6.3	CHEMBL5047	Homo sapiens	Activity	%	6.3
	2479681	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312	=	Activity	%	8.3	CHEMBL5047	Homo sapiens	Activity	%	8.3
Active	2480680	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409		Activity			CHEMBL5047	Homo sapiens	Activity		
Not Evaluated	2577302	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5047	Homo sapiens	Activity		
Not Evaluated	2577505	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL5047	Homo sapiens	Activity		
	2593507	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878	=	Activity	%	3.9	CHEMBL5047	Homo sapiens	Activity	%	3.9
	2593710	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097	=	Activity	%	8.5	CHEMBL5047	Homo sapiens	Activity	%	8.5
Not Evaluated	2593976	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519		Activity			CHEMBL5047	Homo sapiens	Activity		
Not Evaluated	2594919	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL5047	Homo sapiens	Activity		
Not Evaluated	2595122	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL5047	Homo sapiens	Activity		
Not Evaluated	2595188	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL5047	Homo sapiens	Activity		
	2596319	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342	=	Activity	%	11.7	CHEMBL5047	Homo sapiens	Activity	%	11.7
	2596924	CHEMBL1021463	Inhibition of ULK3 assessed as enzyme activity relative to control	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	=	Activity	%	24.0	CHEMBL5047	Homo sapiens	Activity	%	24.0
Not Evaluated	2597588	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019		Activity			CHEMBL5047	Homo sapiens	Activity		
Not Evaluated	2597791	CHEMBL993445	Binding affinity to human ULK3 at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL5047	Homo sapiens	Activity		
	2922037	CHEMBL1059396	Inhibition of ULK3 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	100.0	CHEMBL5047	Homo sapiens	Activity	%	100.0
	3333208	CHEMBL1168305	Inhibition of ULK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL5047	Homo sapiens	INH	%	50.0
	3334613	CHEMBL1168305	Inhibition of ULK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL5047	Homo sapiens	INH	%	50.0
	3336033	CHEMBL1168305	Inhibition of ULK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL5047	Homo sapiens	INH	%	50.0
	3337421	CHEMBL1168305	Inhibition of ULK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL5047	Homo sapiens	INH	%	50.0
	3341977	CHEMBL1168305	Inhibition of ULK3 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL5047	Homo sapiens	INH	%	50.0
	3343424	CHEMBL1168305	Inhibition of ULK3 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL5047	Homo sapiens	INH	%	50.0
	3351802	CHEMBL1175116	Inhibition of ULK3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	0.25	CHEMBL5047	Homo sapiens	INH	%	0.25
	3358854	CHEMBL1175116	Inhibition of ULK3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	0.25	CHEMBL5047	Homo sapiens	INH	%	0.25
	3448665	CHEMBL1245021	Binding affinity to ULK3	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5047	Homo sapiens	Kd	uM	10.0
	3448825	CHEMBL1245021	Binding affinity to ULK3	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	4.9	CHEMBL5047	Homo sapiens	Kd	nM	4.9
	3449071	CHEMBL1245021	Binding affinity to ULK3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	=	Kd	nM	1300.0	CHEMBL5047	Homo sapiens	Kd	nM	1300.0
	3449377	CHEMBL1245021	Binding affinity to ULK3	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	42.0	CHEMBL5047	Homo sapiens	Kd	nM	42.0
	3449890	CHEMBL1245021	Binding affinity to ULK3	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL5047	Homo sapiens	Kd	uM	10.0
	3450271	CHEMBL1245021	Binding affinity to ULK3	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL5047	Homo sapiens	Kd	uM	10.0
	3451184	CHEMBL1245021	Binding affinity to ULK3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL1240703	>	Kd	nM	10000.0	CHEMBL5047	Homo sapiens	Kd	uM	10.0
	5120392	CHEMBL1646677	Inhibition of human ULK3 at 10 uM after 60 mins by TR-FRET assay	B	S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1		CHEMBL1644616	=	Inhibition	%	107.0	CHEMBL5047	Homo sapiens	INH	%	107.0
