activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	15756133	CHEMBL3631907	Inhibition of KSR2 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1		CHEMBL166031	=	Inhibition	%	3.41	CHEMBL3627583	Homo sapiens	INH	%	3.41
	15756133	CHEMBL3631907	Inhibition of KSR2 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1		CHEMBL166031	=	Inhibition	%	3.41	CHEMBL3627583	Homo sapiens	INH	%	3.41
	15757966	CHEMBL3631907	Inhibition of KSR2 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N4CCOCC4)nc3-c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3)n2)c1		CHEMBL3628627	=	Inhibition	%	1.08	CHEMBL3627583	Homo sapiens	INH	%	1.08
	15759678	CHEMBL3631907	Inhibition of KSR2 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC		CHEMBL3628628	=	Inhibition	%	3.38	CHEMBL3627583	Homo sapiens	INH	%	3.38
	18153087	CHEMBL4034358	Inhibition of KSR2 activation loop (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	=	Inhibition	%	-4.3	CHEMBL3627583	Homo sapiens	INH	%	-4.3
	18211611	CHEMBL4045717	Inhibition of KSR2 activation Loop (SKNVFYDNGK) in human PBMC at 1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1		CHEMBL3971067	=	Inhibition	%	20.1	CHEMBL3627583	Homo sapiens	INH	%	20.1
	18211862	CHEMBL4045958	Inhibition of KSR2 activation Loop (SKNVFYDNGK) in human PBMC at 0.1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1		CHEMBL3971067	=	Inhibition	%	20.4	CHEMBL3627583	Homo sapiens	INH	%	20.4
	18938025	CHEMBL4327739	Inhibition of human KSR2 assessed as residual activity at 1 uM using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay relative to control	B	ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]		CHEMBL4438024	=	Activity	%	103.12	CHEMBL3627583	Homo sapiens	Activity	%	103.12
	18938026	CHEMBL4327739	Inhibition of human KSR2 assessed as residual activity at 1 uM using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay relative to control	B	C(=C/c1ccccc1)\C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]		CHEMBL4446405	=	Activity	%	90.51	CHEMBL3627583	Homo sapiens	Activity	%	90.51
	18938584	CHEMBL4328103	Inhibition of human KSR2 assessed as residual activity at 100 uM using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay relative to control	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	<	Activity	%	65.0	CHEMBL3627583	Homo sapiens	Activity	%	65.0
	18938964	CHEMBL4328467	Inhibition of human KSR2 using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	6820.0	CHEMBL3627583	Homo sapiens	IC50	10'-6M	6.82
	19091976	CHEMBL4366450	Inhibition of human KSR2 at 100 nM using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay	B	COc1ccc(N2C(=O)COc3ccc(-c4cnc(OC)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc32)cc1		CHEMBL4528675	=	Inhibition	%	20.84	CHEMBL3627583	Homo sapiens	INH	%	20.84
	19266473	CHEMBL4405423	Inhibition of KSR2 (unknown origin) at 1 uM relative to control	B	CC[C@H](Nc1nc(N)nc(C)c1C#N)c1nc2cccc(NCc3ccc(C(=O)NO)cc3)c2c(=O)n1-c1ccccc1		CHEMBL4455923	<	Inhibition	%	50.0	CHEMBL3627583	Homo sapiens	INH	%	50.0
	22423519	CHEMBL4674335	Inhibition of human KSR2 using KRREILSRRPSYR as substrate assessed as residual activity at 1 uM by [gamma-33P]-ATP assay relative to control	B	Nc1ncc(-c2cnc(C3CCNCC3)s2)cc1OC1CCCCC1		CHEMBL4785602	=	Activity	%	104.57	CHEMBL3627583	Homo sapiens	Activity	%	104.57
	22423520	CHEMBL4674335	Inhibition of human KSR2 using KRREILSRRPSYR as substrate assessed as residual activity at 1 uM by [gamma-33P]-ATP assay relative to control	B	Nc1ncc(-c2cnc(C3CCNCC3)s2)cc1OCc1ccncc1		CHEMBL4749141	=	Activity	%	101.92	CHEMBL3627583	Homo sapiens	Activity	%	101.92
	22843700	CHEMBL4720686	Inhibition of human KSR2 using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	3980.0	CHEMBL3627583	Homo sapiens	IC50	10^-6M	3.98
	22844049	CHEMBL4721035	Inhibition of human KSR2 assessed as residual activity using KRREILSRRPSYR as substrate at 1 uM by [gamma-33P]-ATP assay relative to control	B	O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1)c1cc([N+](=O)[O-])ccc1F		CHEMBL4750196	=	Activity	%	92.32	CHEMBL3627583	Homo sapiens	Activity	%	92.32
	23120536	CHEMBL4804406	Inhibition of KSR2 in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2cccc3ncsc23)cc1-c1ccc2c(c1)CCNC2=O	Outside typical range	CHEMBL4855542	=	IC50	nM	-6200.0	CHEMBL3627583	Homo sapiens	IC50	uM	-6.2
	23120537	CHEMBL4804406	Inhibition of KSR2 in human NCI-H929 cells by mass spectroscopic analysis	B	CN(C1CC1)S(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc4c(c3)CCNC4=O)c2)c(F)c1	Outside typical range	CHEMBL4860979	=	IC50	nM	-14500.0	CHEMBL3627583	Homo sapiens	IC50	uM	-14.5
	23120538	CHEMBL4804406	Inhibition of KSR2 in human NCI-H929 cells by mass spectroscopic analysis	B	COc1cc(NS(=O)(=O)C2CC2)ccc1-c1cnc(N)c(-c2ccc3c(c2)CCNC3=O)c1		CHEMBL4867931	=	IC50	nM	2900.0	CHEMBL3627583	Homo sapiens	IC50	uM	2.9
	23120539	CHEMBL4804406	Inhibition of KSR2 in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2F)cc1-c1ccc2c(c1)CCNC2=O	Outside typical range	CHEMBL4855730	=	IC50	nM	-5200.0	CHEMBL3627583	Homo sapiens	IC50	uM	-5.2
	23120540	CHEMBL4804406	Inhibition of KSR2 in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2OC2CCCCC2)cc1-c1ccc2c(c1)CCNC2=O	Outside typical range	CHEMBL4868141	=	IC50	nM	-5700.0	CHEMBL3627583	Homo sapiens	IC50	uM	-5.7
	23120541	CHEMBL4804406	Inhibition of KSR2 in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2cccc([N+](=O)[O-])c2F)cc1-c1ccc2c(c1)CCNC2=O	Outside typical range	CHEMBL4859660	=	IC50	nM	-51300.0	CHEMBL3627583	Homo sapiens	IC50	uM	-51.3
	23121575	CHEMBL4804588	Inhibition of KSR2 in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2cccc3ncsc23)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4855542	=	Inhibition	%	0.0	CHEMBL3627583	Homo sapiens	INH	%	0.0
	23121576	CHEMBL4804588	Inhibition of KSR2 in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	CN(C1CC1)S(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc4c(c3)CCNC4=O)c2)c(F)c1		CHEMBL4860979	=	Inhibition	%	0.0	CHEMBL3627583	Homo sapiens	INH	%	0.0
	23121577	CHEMBL4804588	Inhibition of KSR2 in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	COc1cc(NS(=O)(=O)C2CC2)ccc1-c1cnc(N)c(-c2ccc3c(c2)CCNC3=O)c1		CHEMBL4867931	=	Inhibition	%	0.0	CHEMBL3627583	Homo sapiens	INH	%	0.0
	23121578	CHEMBL4804588	Inhibition of KSR2 in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2F)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4855730	=	Inhibition	%	0.0	CHEMBL3627583	Homo sapiens	INH	%	0.0
	23121579	CHEMBL4804588	Inhibition of KSR2 in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2OC2CCCCC2)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4868141	=	Inhibition	%	0.0	CHEMBL3627583	Homo sapiens	INH	%	0.0
	23121580	CHEMBL4804588	Inhibition of KSR2 in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2cccc([N+](=O)[O-])c2F)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4859660	=	Inhibition	%	0.0	CHEMBL3627583	Homo sapiens	INH	%	0.0
Not Active	23383625	CHEMBL4887281	KSR2 Invitrogen Lab (UK) kinase screen (BI)	B	CCC(F)(F)c1cc(N2CCC(S(C)(=O)=O)CC2)nc2sc(C(N)=O)c(N)c12		CHEMBL4522930		% Ctrl	%	92.0	CHEMBL3627583	Homo sapiens	% Ctrl	%	92.0
