activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	13895024	CHEMBL3111956	Inhibition of NEK10 (unknown origin) assessed as residual activity at 10 uM after 1 hr by qPCR analysis relative to control	B	O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1		CHEMBL3109142	=	Activity	%	70.0	CHEMBL3108655	Homo sapiens	Activity	%	70.0
	13895024	CHEMBL3111956	Inhibition of NEK10 (unknown origin) assessed as residual activity at 10 uM after 1 hr by qPCR analysis relative to control	B	O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1		CHEMBL3109142	=	Activity	%	70.0	CHEMBL3108655	Homo sapiens	Activity	%	70.0
	18114225	CHEMBL4025269	Inhibition of wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual activity at 1 uM by Kinomescan method relative to control	B	C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1		CHEMBL4077123	=	Activity	%	92.0	CHEMBL3108655	Homo sapiens	Activity	%	92.0
	18203793	CHEMBL4044080	Inhibition of wild-type human partial length NEK10 (L488 to R809 residues) expressed in HEK293 cells assessed as residual activity at 1000 nM after 30 mins by Kinomescan method relative to control	B	COc1cc(OC)c(Cl)c(N2Cc3cnc(Nc4ccc(F)cc4)nc3N(C3CCN(C(=O)/C=C/CN(C)C)CC3)C2=O)c1Cl		CHEMBL4092508	=	Activity	%	86.0	CHEMBL3108655	Homo sapiens	Activity	%	86.0
	18440335	CHEMBL4157159	Binding affinity to wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual binding at 1 uM by Kinomescan method relative to control	B	Cc1cccc(S(=O)(=O)Nc2cc(-c3sc(NC(=O)[C@@H](N)C(C)C)nc3C)cnc2Cl)c1		CHEMBL4174988	=	Activity	%	100.0	CHEMBL3108655	Homo sapiens	Activity	%	100.0
	18484291	CHEMBL4185938	Binding affinity to wild-type human partial length NEK10 (L488 to R809 residues) expressed in HEK293 cells at 1 uM by Kinomescan method relative to control	B	C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1		CHEMBL3969370	=	Activity	%	85.0	CHEMBL3108655	Homo sapiens	Activity	%	85.0
	18484775	CHEMBL4185938	Binding affinity to wild-type human partial length NEK10 (L488 to R809 residues) expressed in HEK293 cells at 1 uM by Kinomescan method relative to control	B	CCC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1		CHEMBL4206831	=	Activity	%	85.0	CHEMBL3108655	Homo sapiens	Activity	%	85.0
	18655397	CHEMBL4230838	Binding affinity to wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual binding level at 1 uM by Kinomescan method relative to control	B	Cc1ccc(NC(=O)c2ccc(CN(CCN(C)C)C(=O)c3cccnc3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL4247298	=	Activity	%	100.0	CHEMBL3108655	Homo sapiens	Activity	%	100.0
	18752090	CHEMBL4264427	Binding affinity to wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as remaining unbound target protein level at 1000 nM by Kinomescan method relative to control	B	COCCN[C@H]1CC[C@H](Nc2cc(-c3csc(NCC4(C#N)CCOCC4)n3)c(Cl)cn2)CC1		CHEMBL4281048	=	Activity	%	87.0	CHEMBL3108655	Homo sapiens	Activity	%	87.0
	18858091	CHEMBL4307937	Binding affinity to wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual binding level at 10 uM by Kinomescan method relative to control	B	CC(C)N1C(=O)C(NCCCN(C)C)=C(c2cn(C)c3ccccc23)C1=O.Cl		CHEMBL4533018	=	Activity	%	95.0	CHEMBL3108655	Homo sapiens	Activity	%	95.0
	19059715	CHEMBL4358016	Binding affinity to wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual binding level at 1 uM by Kinomescan method relative to control	B	C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(=O)Nc1c(C)cccc1Cl		CHEMBL4515441	=	Activity	%	100.0	CHEMBL3108655	Homo sapiens	Activity	%	100.0
	19090280	CHEMBL4365854	Inhibition of wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual activity at 10 uM by Kinomescan method relative to control	B	O=C(Nc1cccnc1)c1cc(C(=O)c2c(F)cccc2Br)c[nH]1		CHEMBL4436895	=	Activity	%	100.0	CHEMBL3108655	Homo sapiens	Activity	%	100.0
	19159543	CHEMBL4382647	Binding affinity to wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual binding level at 1 uM by Kinomescan method relative to control	B	C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C		CHEMBL4473365	=	Activity	%	28.0	CHEMBL3108655	Homo sapiens	Activity	%	28.0
	19191464	CHEMBL4389366	Inhibition of wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system at 10 uM by Kinomescan method relative to control	B	O=C(Nc1cccc([C@H]2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1N1CCCC1		CHEMBL4555459	=	Inhibition	%	4.3	CHEMBL3108655	Homo sapiens	INH	%	4.3
	19192029	CHEMBL4389843	Inhibition of wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system at 1 uM by Kinomescan method relative to control	B	O=C(Nc1cccc([C@@H]2CN(c3ncnc4[nH]ccc34)CCN2CCO)c1)Nc1c(F)cccc1N1CCCC1		CHEMBL4564973	=	Inhibition	%	26.0	CHEMBL3108655	Homo sapiens	INH	%	26.0
	19200285	CHEMBL4391469	Binding affinity to wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual binding level at 10 uM by Kinomescan method relative to control	B	O=C(Nc1cc(-c2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)ccn1)Nc1cccc2c1C1CCCCN1C2=O		CHEMBL4559936	=	Activity	%	2.5	CHEMBL3108655	Homo sapiens	Activity	%	2.5
	19279485	CHEMBL4408774	Binding affinity to NEK10 (unknown origin)	B	CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1		CHEMBL3904602	=	Kd	nM	0.2	CHEMBL3108655	Homo sapiens	Kd	nM	0.2
	22926356	CHEMBL4737635	Inhibition of human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual activity at 10 uM by kinome scan method relative to control	B	COc1ncc(-c2ccc3nccc(/C(C)=C/C(=O)N4CCN(C)CC4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F		CHEMBL4739883	=	Activity	%	61.0	CHEMBL3108655	Homo sapiens	Activity	%	61.0
	23122700	CHEMBL4805051	Inhibition of human NEK10 assessed as percent of control at 2000 nM by KINOMEscan assay relative to control	B	CN1CCN(C(=O)c2ccc3cc(CCNc4ccnc5ccc(C#N)cc45)ccc3c2)CC1		CHEMBL4878072	=	Activity	%	41.0	CHEMBL3108655	Homo sapiens	Activity	%	41.0
	23123395	CHEMBL4805639	Inhibition of human NEK10 assessed as percent of control at 1000 nM by KINOMEscan assay relative to control	B	COc1cc2nc(NC3CC3)nc(NC3CCN(C(C)C)CC3)c2cc1OC.O=C(O)C(F)(F)F		CHEMBL4870304	=	Activity	%	50.0	CHEMBL3108655	Homo sapiens	Activity	%	50.0
	23124880	CHEMBL4806656	Inhibition of human NEK10 assessed as percent of control at 2000 nM by KINOMEscan assay relative to control	B	CN(C)C(=O)c1ccc(N2CCCN(c3ccnc4sc(C(N)=O)c(N)c34)CC2)cc1		CHEMBL2348350	=	Activity	%	93.0	CHEMBL3108655	Homo sapiens	Activity	%	93.0
	23124881	CHEMBL4806656	Inhibition of human NEK10 assessed as percent of control at 2000 nM by KINOMEscan assay relative to control	B	CN(C)C(=O)c1ccc(N2CCCN(c3ccnc4sc(C(N)=O)c(N)c34)CC2)cc1		CHEMBL2348350	=	Activity	%	61.0	CHEMBL3108655	Homo sapiens	Activity	%	61.0
	23234007	CHEMBL4827587	Inhibition of wild-type human partial length NEK10 (L488 to R809 residues) expressed in mammalian expression system assessed as residual binding level at 1 uM by Kinomescan method relative to control	B	O=C(O)c1ccc(-c2cnn3ccc(-c4ccccc4)nc23)cc1C1CCCC1		CHEMBL4877552	<	Activity	%	10.0	CHEMBL3108655	Homo sapiens	Activity	%	10.0
Not Active	23317536	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	CCC(=N\O)/C(C)=C/c1ccc(F)cc1		CHEMBL3697701		% Control	%	95.0	CHEMBL3108655	Homo sapiens	% Control	%	95.0
Not Active	23318004	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	CCC(=N\O)/C(C)=C/c1ccc(F)c(C)c1		CHEMBL3701197		% Control	%	100.0	CHEMBL3108655	Homo sapiens	% Control	%	100.0
Not Active	23318671	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	Cn1cncc1[C@](O)(COc1ccc(C#N)cc1-c1ccc(OC(F)(F)F)cc1)c1ccc(C#N)cc1		CHEMBL4586794		% Control	%	83.0	CHEMBL3108655	Homo sapiens	% Control	%	83.0
Not Active	23319154	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	Cn1cncc1[C@@](O)(COc1ccc(C#N)cc1-c1ccc(OC(F)(F)F)cc1)c1ccc(C#N)cc1		CHEMBL4526341		% Control	%	84.0	CHEMBL3108655	Homo sapiens	% Control	%	84.0
Not Active	23319791	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	CCCCN(CCCC)C(=O)CN1C[C@H](c2cc(OC)c3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1CC(C)(C)CCC		CHEMBL111612		% Control	%	57.4	CHEMBL3108655	Homo sapiens	% Control	%	57.4
Not Active	23320266	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	CCCCN(CCCC)C(=O)CN1C[C@@H](c2cc(OC)c3c(c2)OCO3)[C@H](C(=O)O)[C@H]1CC(C)(C)CCC		CHEMBL4513786		% Control	%	100.0	CHEMBL3108655	Homo sapiens	% Control	%	100.0
Not Active	23320944	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1		CHEMBL440687		% Control	%	100.0	CHEMBL3108655	Homo sapiens	% Control	%	100.0
Not Active	23321412	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	CSc1cccnc1N1CCN(Cc2nc3ccccc3[nH]2)CC1		CHEMBL4630641		% Control	%	78.0	CHEMBL3108655	Homo sapiens	% Control	%	78.0
Not Active	23322042	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	CCCOc1ccc([C@H]2[C@H](C(=O)O)[C@@H](c3ccc4c(c3)OCO4)CN2CC(=O)Nc2c(CC)cccc2CC)cc1		CHEMBL332794		% Control	%	82.0	CHEMBL3108655	Homo sapiens	% Control	%	82.0
Not Active	23322510	CHEMBL4879842	KinomeScan assay: inhibition of NEK10	B	CCCOc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2CC(=O)Nc2c(CC)cccc2CC)cc1		CHEMBL4533479		% Control	%	96.0	CHEMBL3108655	Homo sapiens	% Control	%	96.0
