activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051678	CHEMBL941814	Inhibition of TAOK2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	9334.0	CHEMBL5261	Homo sapiens	Ki	uM	9.334
	2051678	CHEMBL941814	Inhibition of TAOK2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	9334.0	CHEMBL5261	Homo sapiens	Ki	uM	9.334
	2470373	CHEMBL981755	Inhibition of TAOK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5261	Homo sapiens	INH	%	10.0
	2596909	CHEMBL1020556	Inhibition of TAOK1 assessed as enzyme activity relative to control	B	C[C@@H]1CCN(C(=O)CC#N)C[C@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL459977	=	Activity	%	23.0	CHEMBL5261	Homo sapiens	Activity	%	23.0
	2922012	CHEMBL1059371	Inhibition of TAOK1 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	88.0	CHEMBL5261	Homo sapiens	Activity	%	88.0
	3224976	CHEMBL1101780	Inhibition of TAO1 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cnc(CO)cn1		CHEMBL1081678	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3226355	CHEMBL1101780	Inhibition of TAO1 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1		CHEMBL1078665	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3332168	CHEMBL1167716	Inhibition of TAO1 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3332169	CHEMBL1168121	Inhibition of TAOK1 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3333583	CHEMBL1167716	Inhibition of TAO1 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3333584	CHEMBL1168121	Inhibition of TAOK1 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3334988	CHEMBL1167716	Inhibition of TAO1 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3334989	CHEMBL1168121	Inhibition of TAOK1 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3336408	CHEMBL1167716	Inhibition of TAO1 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3336409	CHEMBL1168121	Inhibition of TAOK1 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3341950	CHEMBL1167716	Inhibition of TAO1 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3341951	CHEMBL1168121	Inhibition of TAOK1 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3343397	CHEMBL1167716	Inhibition of TAO1 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3343398	CHEMBL1168121	Inhibition of TAOK1 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL5261	Homo sapiens	INH	%	50.0
	3351774	CHEMBL1175030	Inhibition of TAOK1 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	0.0	CHEMBL5261	Homo sapiens	INH	%	0.0
	3358826	CHEMBL1175030	Inhibition of TAOK1 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	0.25	CHEMBL5261	Homo sapiens	INH	%	0.25
	3448641	CHEMBL1244994	Binding affinity to TAO1	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5261	Homo sapiens	Kd	uM	10.0
	3448642	CHEMBL1244995	Binding affinity to TAOK1	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5261	Homo sapiens	Kd	uM	10.0
	3448798	CHEMBL1244994	Binding affinity to TAO1	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	500.0	CHEMBL5261	Homo sapiens	Kd	nM	500.0
	3448799	CHEMBL1244995	Binding affinity to TAOK1	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	70.0	CHEMBL5261	Homo sapiens	Kd	nM	70.0
	3449356	CHEMBL1244994	Binding affinity to TAO1	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	=	Kd	nM	540.0	CHEMBL5261	Homo sapiens	Kd	nM	540.0
	3449357	CHEMBL1244995	Binding affinity to TAOK1	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	890.0	CHEMBL5261	Homo sapiens	Kd	nM	890.0
	3449867	CHEMBL1244994	Binding affinity to TAO1	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL5261	Homo sapiens	Kd	uM	10.0
	3449868	CHEMBL1244995	Binding affinity to TAOK1	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL5261	Homo sapiens	Kd	uM	10.0
	3450254	CHEMBL1244995	Binding affinity to TAOK1	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL5261	Homo sapiens	Kd	uM	10.0
	3450417	CHEMBL1244994	Binding affinity to TAO1	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL5261	Homo sapiens	Kd	uM	10.0
	3450872	CHEMBL1244994	Binding affinity to TAO1	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL5261	Homo sapiens	Kd	uM	10.0
