activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2186818	CHEMBL970287	Inhibition of PIM3 at 10 uM	B	N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O		CHEMBL512504	>	Inhibition	%	50.0	CHEMBL5407	Homo sapiens	INH	%	50.0
	2186818	CHEMBL970287	Inhibition of PIM3 at 10 uM	B	N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O		CHEMBL512504	>	Inhibition	%	50.0	CHEMBL5407	Homo sapiens	INH	%	50.0
Not Active	2302208	CHEMBL945701	Inhibition of human PIM3 at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL5407	Homo sapiens	INH		
	2393722	CHEMBL1004483	Binding affinity to human recombinant PIM3 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O		CHEMBL278315	<	Tm	degrees C	2.0	CHEMBL5407	Homo sapiens	Tm	degrees C	2.0
	2393723	CHEMBL1004483	Binding affinity to human recombinant PIM3 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1		CHEMBL414883	<	Tm	degrees C	2.0	CHEMBL5407	Homo sapiens	Tm	degrees C	2.0
	2393724	CHEMBL1004483	Binding affinity to human recombinant PIM3 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	COc1cc2c(c(OC)c1)C(=O)O[C@@H](C)CCC[C@@H](O)[C@@H](C)CC/C=C/2		CHEMBL454394	<	Tm	degrees C	2.0	CHEMBL5407	Homo sapiens	Tm	degrees C	2.0
	2393725	CHEMBL1004483	Binding affinity to human recombinant PIM3 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	COc1cc2c(c(OC)c1)C(=O)O[C@@H](C)CCCC(=O)[C@@H](C)CC/C=C/2		CHEMBL453389	<	Tm	degrees C	2.0	CHEMBL5407	Homo sapiens	Tm	degrees C	2.0
	2393726	CHEMBL1004483	Binding affinity to human recombinant PIM3 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	COc1cc(O)c2c(c1)/C=C/CC[C@H](C)C(=O)CCC[C@H](C)OC2=O		CHEMBL510836	<	Tm	degrees C	2.0	CHEMBL5407	Homo sapiens	Tm	degrees C	2.0
	2393727	CHEMBL1004483	Binding affinity to human recombinant PIM3 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1		CHEMBL454173	<	Tm	degrees C	2.0	CHEMBL5407	Homo sapiens	Tm	degrees C	2.0
	2393728	CHEMBL1004483	Binding affinity to human recombinant PIM3 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	C[C@H]1CCCC(=O)[C@@H](C)CC/C=C/c2cc(O)cc(O)c2C(=O)O1		CHEMBL453375	<	Tm	degrees C	2.0	CHEMBL5407	Homo sapiens	Tm	degrees C	2.0
	2470359	CHEMBL981741	Inhibition of PIM3 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5407	Homo sapiens	INH	%	10.0
	2635200	CHEMBL1000639	Inhibition of PIM3 at 1 uM relative to control	B	CSc1cc(Oc2ccnc3[nH]c(=O)[nH]c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1		CHEMBL496009	=	Residual_activity	%	100.0	CHEMBL5407	Homo sapiens	Residual_activity	%	100.0
	2635943	CHEMBL1000639	Inhibition of PIM3 at 1 uM relative to control	B	O=C(Nc1cc(C(F)(F)F)ccc1F)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c2ccccc12		CHEMBL498112	=	Residual_activity	%	100.0	CHEMBL5407	Homo sapiens	Residual_activity	%	100.0
	2636011	CHEMBL1000639	Inhibition of PIM3 at 1 uM relative to control	B	CC(C)(C)c1cccc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)c3ccccc23)c1		CHEMBL496073	=	Residual_activity	%	75.0	CHEMBL5407	Homo sapiens	Residual_activity	%	75.0
	2893795	CHEMBL1061911	Percentage PIM3 activity remaining in the presence of 0.01uM inhibitor	B	O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1		CHEMBL577784	=	Activity	%	96.0	CHEMBL5407	Homo sapiens	Activity	%	96.0
	2893796	CHEMBL1061911	Percentage PIM3 activity remaining in the presence of 0.01uM inhibitor	B	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12		CHEMBL379300	=	Activity	%	54.0	CHEMBL5407	Homo sapiens	Activity	%	54.0
