activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	15703150	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	O=C(COc1ccc(S(=O)(=O)NCCc2ccccc2)cc1)NCc1ccc(Cl)cc1		CHEMBL3613975	=	IC50	nM	5200.0	CHEMBL3611965	Homo sapiens	IC50	uM	5.2
	15703150	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	O=C(COc1ccc(S(=O)(=O)NCCc2ccccc2)cc1)NCc1ccc(Cl)cc1		CHEMBL3613975	=	IC50	nM	5200.0	CHEMBL3611965	Homo sapiens	IC50	uM	5.2
	15703151	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	O=C(COc1ccc(C(=O)NCCc2ccccc2)cc1)NCc1ccc(Cl)cc1		CHEMBL3613976	>	IC50	nM	100000.0	CHEMBL3611965	Homo sapiens	IC50	uM	100.0
	15703152	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	O=C(COc1ccc(C(=O)Nc2ccncc2)cc1)NCc1ccc(Cl)cc1		CHEMBL3613977	>	IC50	nM	100000.0	CHEMBL3611965	Homo sapiens	IC50	uM	100.0
	15703153	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	O=C(COc1ccc(S(=O)(=O)NCCCc2ccccc2)cc1)NCc1ccc(Cl)cc1		CHEMBL3613978	>	IC50	nM	100000.0	CHEMBL3611965	Homo sapiens	IC50	uM	100.0
	15703154	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	O=C(COc1ccc(S(=O)(=O)NCc2ccc(Cl)cc2)cc1)NCc1ccc(Cl)cc1		CHEMBL3613979	>	IC50	nM	50000.0	CHEMBL3611965	Homo sapiens	IC50	uM	50.0
	15703155	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	O=C(COc1ccc(S(=O)(=O)Nc2ccccc2)cc1)NCc1ccc(Cl)cc1		CHEMBL3613980	>	IC50	nM	100000.0	CHEMBL3611965	Homo sapiens	IC50	uM	100.0
	15703156	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	O=C(COc1ccc(S(=O)(=O)NCCc2ccccc2)cc1)NCCc1ccccc1		CHEMBL3613981	>	IC50	nM	50000.0	CHEMBL3611965	Homo sapiens	IC50	uM	50.0
	15703157	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	O=C(COc1ccc(S(=O)(=O)NCCc2ccccc2)cc1)NCc1ccccc1		CHEMBL3613982	=	IC50	nM	23100.0	CHEMBL3611965	Homo sapiens	IC50	uM	23.1
	15703158	CHEMBL3614737	Inhibition of sphingomyelin synthase-1 (unknown origin) expressed in HeLa cells using C6-NBD-Cer and DMPC as substrate after 2 hrs by fluorescent HPLC-based analysis	B	COc1ccc(CNC(=O)COc2ccc(S(=O)(=O)NCCc3ccccc3)cc2)cc1		CHEMBL3612087	=	IC50	nM	5900.0	CHEMBL3611965	Homo sapiens	IC50	uM	5.9
