activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147277	CHEMBL921867	Activity of human HIPK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	117.0	CHEMBL5427	Homo sapiens	Activity	%	117.0
	2147277	CHEMBL921867	Activity of human HIPK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	117.0	CHEMBL5427	Homo sapiens	Activity	%	117.0
	2470240	CHEMBL987159	Inhibition of HIPK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5427	Homo sapiens	INH	%	10.0
	2511587	CHEMBL972545	Inhibition of HIPK1	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	2639.0	CHEMBL5427	Homo sapiens	IC50	uM	2.639
	2704636	CHEMBL1054871	Inhibition of HIPK1 at 10 uM by HotSpot assay relative to control	B	Cc1cc(O)cc(-c2nn(CC#N)cc2-c2cc(NC[C@H](C)O)nc(-c3cccnc3)n2)c1		CHEMBL560733	=	Inhibition	%	-3.43	CHEMBL5427	Homo sapiens	INH	%	-3.43
	2721622	CHEMBL1057450	Inhibition of HIPK1 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5427	Homo sapiens	INH	%	50.0
	2921317	CHEMBL1053748	Inhibition of HIPK1 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	99.0	CHEMBL5427	Homo sapiens	Activity	%	99.0
	3052626	CHEMBL1038412	Residual activity of HIPK1 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	81.0	CHEMBL5427	Homo sapiens	Residual activity	%	81.0
	3053935	CHEMBL1046827	Residual activity of HIPK1 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	142.0	CHEMBL5427	Homo sapiens	Residual activity	%	142.0
	3054187	CHEMBL1040655	Residual activity of HIPK1 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	99.0	CHEMBL5427	Homo sapiens	Residual activity	%	99.0
