activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	18153299	CHEMBL4034357	Inhibition of KSR1 activation loop (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	=	Inhibition	%	0.1	CHEMBL1938215	Homo sapiens	INH	%	0.1
	18153299	CHEMBL4034357	Inhibition of KSR1 activation loop (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	=	Inhibition	%	0.1	CHEMBL1938215	Homo sapiens	INH	%	0.1
	18211623	CHEMBL4045716	Inhibition of KSR1 activation Loop (SKNVFYDNGK) in human PBMC at 1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1		CHEMBL3971067	=	Inhibition	%	20.1	CHEMBL1938215	Homo sapiens	INH	%	20.1
	18211634	CHEMBL4045715	Inhibition of KSR1 activation Loop (SKNVFYDNGKVVITDFGLFGISGVVR) in human PBMC at 1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1		CHEMBL3971067	=	Inhibition	%	5.7	CHEMBL1938215	Homo sapiens	INH	%	5.7
	18211860	CHEMBL4045956	Inhibition of KSR1 activation Loop (SKNVFYDNGKVVITDFGLFGISGVVR) in human PBMC at 0.1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1		CHEMBL3971067	=	Inhibition	%	-2.7	CHEMBL1938215	Homo sapiens	INH	%	-2.7
	18211861	CHEMBL4045957	Inhibition of KSR1 activation Loop (SKNVFYDNGK) in human PBMC at 0.1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1		CHEMBL3971067	=	Inhibition	%	20.4	CHEMBL1938215	Homo sapiens	INH	%	20.4
	18274989	CHEMBL4118375	Inhibition of KSR1 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled SKNVFYDNGK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1Cl	Outside typical range	CHEMBL3883384	=	Inhibition	%	-58.4	CHEMBL1938215	Homo sapiens	INH	%	-58.4
	18274990	CHEMBL4118375	Inhibition of KSR1 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled SKNVFYDNGK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Oc1nc(Nc2cnn(CCOC)c2)ncc1Cl	Outside typical range	CHEMBL3884839	=	Inhibition	%	-30.0	CHEMBL1938215	Homo sapiens	INH	%	-30.0
	18274991	CHEMBL4118375	Inhibition of KSR1 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled SKNVFYDNGK probe by mass-spectrometric analysis relative to control	B	COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O	Outside typical range	CHEMBL1077979	=	Inhibition	%	-10.9	CHEMBL1938215	Homo sapiens	INH	%	-10.9
	18938023	CHEMBL4327738	Inhibition of human KSR1 assessed as residual activity at 1 uM using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay relative to control	B	ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]		CHEMBL4438024	=	Activity	%	97.53	CHEMBL1938215	Homo sapiens	Activity	%	97.53
	18938024	CHEMBL4327738	Inhibition of human KSR1 assessed as residual activity at 1 uM using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay relative to control	B	C(=C/c1ccccc1)\C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]		CHEMBL4446405	=	Activity	%	97.98	CHEMBL1938215	Homo sapiens	Activity	%	97.98
	18938583	CHEMBL4328102	Inhibition of human KSR1 assessed as residual activity at 100 uM using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay relative to control	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	<	Activity	%	65.0	CHEMBL1938215	Homo sapiens	Activity	%	65.0
	18938963	CHEMBL4328466	Inhibition of human KSR1 using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	7940.0	CHEMBL1938215	Homo sapiens	IC50	10'-6M	7.94
	19091975	CHEMBL4366449	Inhibition of human KSR1 at 100 nM using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay	B	COc1ccc(N2C(=O)COc3ccc(-c4cnc(OC)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc32)cc1	Outside typical range	CHEMBL4528675	=	Inhibition	%	-25.02	CHEMBL1938215	Homo sapiens	INH	%	-25.02
	19266472	CHEMBL4405422	Inhibition of KSR1 (unknown origin) at 1 uM relative to control	B	CC[C@H](Nc1nc(N)nc(C)c1C#N)c1nc2cccc(NCc3ccc(C(=O)NO)cc3)c2c(=O)n1-c1ccccc1		CHEMBL4455923	<	Inhibition	%	50.0	CHEMBL1938215	Homo sapiens	INH	%	50.0
	22423521	CHEMBL4674336	Inhibition of human KSR1 using KRREILSRRPSYR as substrate assessed as residual activity at 1 uM by [gamma-33P]-ATP assay relative to control	B	Nc1ncc(-c2cnc(C3CCNCC3)s2)cc1OC1CCCCC1		CHEMBL4785602	=	Activity	%	94.98	CHEMBL1938215	Homo sapiens	Activity	%	94.98
	22423522	CHEMBL4674336	Inhibition of human KSR1 using KRREILSRRPSYR as substrate assessed as residual activity at 1 uM by [gamma-33P]-ATP assay relative to control	B	Nc1ncc(-c2cnc(C3CCNCC3)s2)cc1OCc1ccncc1		CHEMBL4749141	=	Activity	%	99.95	CHEMBL1938215	Homo sapiens	Activity	%	99.95
	22843701	CHEMBL4720687	Inhibition of human KSR1 using KRREILSRRPSYR as substrate by [gamma-33P]-ATP assay	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	4590.0	CHEMBL1938215	Homo sapiens	IC50	10^-6M	4.59
	22844050	CHEMBL4721036	Inhibition of human KSR1 assessed as residual activity using KRREILSRRPSYR as substrate at 1 uM by [gamma-33P]-ATP assay relative to control	B	O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1)c1cc([N+](=O)[O-])ccc1F		CHEMBL4750196	=	Activity	%	102.54	CHEMBL1938215	Homo sapiens	Activity	%	102.54
	23120530	CHEMBL4804405	Inhibition of KSR1 in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2cccc3ncsc23)cc1-c1ccc2c(c1)CCNC2=O	Outside typical range	CHEMBL4855542	=	IC50	nM	-6200.0	CHEMBL1938215	Homo sapiens	IC50	uM	-6.2
	23120531	CHEMBL4804405	Inhibition of KSR1 in human NCI-H929 cells by mass spectroscopic analysis	B	CN(C1CC1)S(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc4c(c3)CCNC4=O)c2)c(F)c1	Outside typical range	CHEMBL4860979	=	IC50	nM	-14500.0	CHEMBL1938215	Homo sapiens	IC50	uM	-14.5
	23120532	CHEMBL4804405	Inhibition of KSR1 in human NCI-H929 cells by mass spectroscopic analysis	B	COc1cc(NS(=O)(=O)C2CC2)ccc1-c1cnc(N)c(-c2ccc3c(c2)CCNC3=O)c1	Outside typical range	CHEMBL4867931	=	IC50	nM	-18400.0	CHEMBL1938215	Homo sapiens	IC50	uM	-18.4
