activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3331868	CHEMBL1168827	Inhibition of CDKL3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL1163117	Homo sapiens	INH	%	50.0
	3331868	CHEMBL1168827	Inhibition of CDKL3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL1163117	Homo sapiens	INH	%	50.0
	3333283	CHEMBL1168827	Inhibition of CDKL3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL1163117	Homo sapiens	INH	%	50.0
	3334688	CHEMBL1168827	Inhibition of CDKL3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL1163117	Homo sapiens	INH	%	50.0
	3336108	CHEMBL1168827	Inhibition of CDKL3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL1163117	Homo sapiens	INH	%	50.0
	3340636	CHEMBL1168827	Inhibition of CDKL3 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL1163117	Homo sapiens	INH	%	50.0
	3342052	CHEMBL1168827	Inhibition of CDKL3 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL1163117	Homo sapiens	INH	%	50.0
	3358500	CHEMBL1174172	Inhibition of CDKL3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	0.65	CHEMBL1163117	Homo sapiens	INH	%	0.65
	3358942	CHEMBL1174172	Inhibition of CDKL3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	1.9	CHEMBL1163117	Homo sapiens	INH	%	1.9
	3445063	CHEMBL1244765	Binding affinity to CDKL3	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	430.0	CHEMBL1163117	Homo sapiens	Kd	nM	430.0
	3448376	CHEMBL1244765	Binding affinity to CDKL3	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL1163117	Homo sapiens	Kd	uM	10.0
	3448714	CHEMBL1244765	Binding affinity to CDKL3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL1163117	Homo sapiens	Kd	uM	10.0
	3449130	CHEMBL1244765	Binding affinity to CDKL3	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	=	Kd	nM	490.0	CHEMBL1163117	Homo sapiens	Kd	nM	490.0
	3449601	CHEMBL1244765	Binding affinity to CDKL3	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL1163117	Homo sapiens	Kd	uM	10.0
	3450307	CHEMBL1244765	Binding affinity to CDKL3	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL1163117	Homo sapiens	Kd	uM	10.0
	3450942	CHEMBL1244765	Binding affinity to CDKL3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL1240703	>	Kd	nM	10000.0	CHEMBL1163117	Homo sapiens	Kd	uM	10.0
	6341029	CHEMBL1827759	Activity of CDKL3 kinase at 1 uM	B	CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1		CHEMBL1822054	=	Activity	%	100.0	CHEMBL1163117	Homo sapiens	Activity	%	100.0
	7567217	CHEMBL1908519	Binding constant for CDKL3 kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL1163117	Homo sapiens	Kd	nM	10000.0
	7567676	CHEMBL1908519	Binding constant for CDKL3 kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL1163117	Homo sapiens	Kd	nM	10000.0
