activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	119275	CHEMBL769154	Inhibition of Protein kinase PRAK at 10 uM	B	O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CC1		CHEMBL408564	=	Inhibition	%	18.0	CHEMBL3094	Homo sapiens	Inhibition	%	18.0
	119275	CHEMBL769154	Inhibition of Protein kinase PRAK at 10 uM	B	O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CC1		CHEMBL408564	=	Inhibition	%	18.0	CHEMBL3094	Homo sapiens	Inhibition	%	18.0
	133234	CHEMBL769154	Inhibition of Protein kinase PRAK at 10 uM	B	O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Br)cc12)C1CC1		CHEMBL260417	=	Inhibition	%	1.0	CHEMBL3094	Homo sapiens	Inhibition	%	1.0
	138059	CHEMBL769154	Inhibition of Protein kinase PRAK at 10 uM	B	O=C(Nc1n[nH]c2nc(-c3ccccc3)c(Br)cc12)C1CC1		CHEMBL259270	=	Inhibition	%	21.0	CHEMBL3094	Homo sapiens	Inhibition	%	21.0
	144077	CHEMBL769154	Inhibition of Protein kinase PRAK at 10 uM	B	O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)ccc12)C1CC1		CHEMBL405145	=	Inhibition	%		CHEMBL3094	Homo sapiens	Inhibition	%	
	177489	CHEMBL762712	Inhibition of PRAK, MAPK5	B	O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ncc(C(F)(F)F)cc1Cl		CHEMBL111620	=	Activity	%	59.0	CHEMBL3094	Homo sapiens	Activity	%	59.0
	178802	CHEMBL762712	Inhibition of PRAK, MAPK5	B	COCCCn1cc(C2=C(c3ccccc3O)C(=O)NC2=O)c2cccnc21		CHEMBL109944	=	Activity	%	82.0	CHEMBL3094	Homo sapiens	Activity	%	82.0
	182549	CHEMBL762712	Inhibition of PRAK, MAPK5	B	COc1ccccc1C1=C(c2cn(CCCNC(=O)OC(C)(C)C)c3ncccc23)C(=O)NC1=O		CHEMBL109981	=	Activity	%	57.0	CHEMBL3094	Homo sapiens	Activity	%	57.0
	554904	CHEMBL842204	Inhibition of PRAK (p38 regulated/activated kinase) in presence of 10 uM ATP	B	CCCC(=O)Nc1n[nH]c2ncc(-c3cccnc3)cc12		CHEMBL407002	=	Inhibition	%	13.0	CHEMBL3094	Homo sapiens	Inhibition	%	13.0
	559748	CHEMBL842205	inhibition of PRAK (p38 regulated/activated kinase) in presence of 10 uM ATP	B	CCCC(=O)Nc1n[nH]c2nnc(-c3ccccc3)cc12		CHEMBL288143	=	Inhibition	%	21.0	CHEMBL3094	Homo sapiens	Inhibition	%	21.0
	572991	CHEMBL842205	inhibition of PRAK (p38 regulated/activated kinase) in presence of 10 uM ATP	B	CN(C)CCCC(=O)Nc1n[nH]c2nnc(-c3ccccc3)cc12		CHEMBL259744	=	Inhibition	%	7.0	CHEMBL3094	Homo sapiens	Inhibition	%	7.0
