activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147200	CHEMBL927944	Activity of human BrSK2 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	99.0	CHEMBL4574	Homo sapiens	Activity	%	99.0
	2147200	CHEMBL927944	Activity of human BrSK2 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	99.0	CHEMBL4574	Homo sapiens	Activity	%	99.0
Not Active	2302210	CHEMBL945703	Inhibition of human BRSK2 at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL4574	Homo sapiens	INH		
	2470124	CHEMBL1032267	Inhibition of BRSK2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL4574	Homo sapiens	INH	%	10.0
Not Evaluated	2476723	CHEMBL982751	Binding affinity to human BRSK2 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL4574	Homo sapiens	Activity		
	2477876	CHEMBL988909	Binding affinity to human BRSK2	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409	=	Kd	nM	92.0	CHEMBL4574	Homo sapiens	Kd	nM	92.0
Not Evaluated	2478562	CHEMBL982751	Binding affinity to human BRSK2 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL4574	Homo sapiens	Activity		
	2478765	CHEMBL982751	Binding affinity to human BRSK2 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	32.75	CHEMBL4574	Homo sapiens	Activity	%	32.75
Not Evaluated	2479620	CHEMBL982751	Binding affinity to human BRSK2 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL4574	Homo sapiens	Activity		
	2479823	CHEMBL982751	Binding affinity to human BRSK2 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167	=	Activity	%	30.3	CHEMBL4574	Homo sapiens	Activity	%	30.3
