activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	13891969	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	CCCCNS(=O)(=O)c1cc(-c2nn3c(C)nnc3c3ccccc23)ccc1C		CHEMBL3108807	=	Delta Tm	degrees C	3.59	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	3.59
	13891969	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	CCCCNS(=O)(=O)c1cc(-c2nn3c(C)nnc3c3ccccc23)ccc1C		CHEMBL3108807	=	Delta Tm	degrees C	3.59	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	3.59
	13891980	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(=O)(=O)c4ccccc4Cl)c3)nn12		CHEMBL3108801	=	Delta Tm	degrees C	3.16	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	3.16
	13891988	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	Cc1ccc(-c2nn3c(C)nnc3c3ccccc23)cc1S(=O)(=O)NC(C)c1ccccc1		CHEMBL1341841	=	Delta Tm	degrees C	2.68	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	2.68
	13891993	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	CNS(=O)(=O)c1cc(-c2nn3c(C)nnc3c3ccccc23)ccc1C		CHEMBL1513201	=	Delta Tm	degrees C	2.41	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	2.41
	13892011	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	Cc1ccc(-c2nn3c(C)nnc3c3ccccc23)cc1S(=O)(=O)N(C)C		CHEMBL3108781	=	Delta Tm	degrees C	1.83	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	1.83
	13892023	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	Cc1ccc(-c2nn3c(C)nnc3c3ccccc23)cc1NS(C)(=O)=O		CHEMBL3110357	=	Delta Tm	degrees C	1.66	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	1.66
	13892026	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(C)(=O)=O)c3)nn12		CHEMBL3108800	=	Delta Tm	degrees C	1.55	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	1.55
	13892030	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	Cc1ccc(-c2nn3c(C)nnc3c3ccccc23)cc1S(=O)(=O)N1CCCCCC1		CHEMBL3108809	=	Delta Tm	degrees C	1.49	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	1.49
	13892034	CHEMBL3111339	Binding affinity to TAF1L bromodomain-2 (unknown origin) assessed as change in melting temperature at 10 uM by differential scanning fluorimetric analysis	B	Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c([N+](=O)[O-])c3)nn12		CHEMBL3108797	=	Delta Tm	degrees C	1.4	CHEMBL3108641	Homo sapiens	deltaTm	degrees C	1.4
