activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051642	CHEMBL941779	Inhibition of MINK1	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	8493.0	CHEMBL5518	Homo sapiens	Ki	uM	8.493
	2051642	CHEMBL941779	Inhibition of MINK1	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	8493.0	CHEMBL5518	Homo sapiens	Ki	uM	8.493
	2147309	CHEMBL921994	Activity of human MINK kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	104.0	CHEMBL5518	Homo sapiens	Activity	%	104.0
	2470272	CHEMBL987191	Inhibition of MINK at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5518	Homo sapiens	INH	%	10.0
	2511595	CHEMBL973449	Inhibition of MINK	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	0.49	CHEMBL5518	Homo sapiens	IC50	uM	0.00049
	2567259	CHEMBL974590	Inhibition of human MINK assessed as residual enzyme activity at 0.1 uM	B	CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c(C)n[nH]c1-4		CHEMBL223147	=	Activity	%	110.0	CHEMBL5518	Homo sapiens	Activity	%	110.0
	2721650	CHEMBL1057479	Inhibition of MINK at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5518	Homo sapiens	INH	%	50.0
	2921265	CHEMBL1047451	Inhibition of MINK assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	80.0	CHEMBL5518	Homo sapiens	Activity	%	80.0
	2926267	CHEMBL1057660	Inhibition of MINK1 assessed as remaining enzyme activity at 3 uM relative to DMSO	B	COc1ccccc1-n1c(-c2ccccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12		CHEMBL574236	=	Activity	%	101.0	CHEMBL5518	Homo sapiens	Activity	%	101.0
	2928453	CHEMBL1049951	Inhibition of MINK1 assessed as remaining enzyme activity at 1 uM relative to DMSO	B	COc1ccccc1-n1c(-c2cc(O)ccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12		CHEMBL566515	=	Activity	%	102.0	CHEMBL5518	Homo sapiens	Activity	%	102.0
	2938483	CHEMBL1041382	Inhibition of MINK at 1 uM	B	Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1		CHEMBL583042	=	Inhibition	%	18.0	CHEMBL5518	Homo sapiens	INH	%	18.0
	3052660	CHEMBL1041147	Residual activity of MINK1 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	73.0	CHEMBL5518	Homo sapiens	Residual activity	%	73.0
	3053969	CHEMBL1050300	Residual activity of MINK1 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	20.0	CHEMBL5518	Homo sapiens	Residual activity	%	20.0
	3054221	CHEMBL1040689	Residual activity of MINK1 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	77.0	CHEMBL5518	Homo sapiens	Residual activity	%	77.0
	3055508	CHEMBL1041147	Residual activity of MINK1 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	85.0	CHEMBL5518	Homo sapiens	Residual activity	%	85.0
	3056813	CHEMBL1050300	Residual activity of MINK1 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	21.0	CHEMBL5518	Homo sapiens	Residual activity	%	21.0
