activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051613	CHEMBL941751	Inhibition of DCAMKL2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	9570.0	CHEMBL5519	Homo sapiens	Ki	uM	9.57
	2051613	CHEMBL941751	Inhibition of DCAMKL2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	9570.0	CHEMBL5519	Homo sapiens	Ki	uM	9.57
	2147235	CHEMBL922810	Activity of human DCAMKL2 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	103.0	CHEMBL5519	Homo sapiens	Activity	%	103.0
	2470148	CHEMBL1034097	Inhibition of DCAMKL2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5519	Homo sapiens	INH	%	10.0
	2721586	CHEMBL1061745	Inhibition of DCAMKL2 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5519	Homo sapiens	INH	%	50.0
	2902560	CHEMBL1063795	Binding constant for DCAMKL2 kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5519	Homo sapiens	Kd	uM	10.0
	2902561	CHEMBL1063795	Binding constant for DCAMKL2 kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5519	Homo sapiens	Kd	uM	10.0
	2902562	CHEMBL1063795	Binding constant for DCAMKL2 kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	>	Kd	nM	10000.0	CHEMBL5519	Homo sapiens	Kd	uM	10.0
	2902563	CHEMBL1063795	Binding constant for DCAMKL2 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5519	Homo sapiens	Kd	uM	10.0
	2902564	CHEMBL1063795	Binding constant for DCAMKL2 kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5519	Homo sapiens	Kd	uM	10.0
