activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	8004460	CHEMBL1943611	Inhibition of human MLKL in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1940980	<	Inhibition	%	35.0	CHEMBL1938217	Homo sapiens	INH	%	35.0
	8004460	CHEMBL1943611	Inhibition of human MLKL in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1940980	<	Inhibition	%	35.0	CHEMBL1938217	Homo sapiens	INH	%	35.0
	8004461	CHEMBL1943611	Inhibition of human MLKL in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23		CHEMBL1940981	<	Inhibition	%	35.0	CHEMBL1938217	Homo sapiens	INH	%	35.0
	8004462	CHEMBL1943611	Inhibition of human MLKL in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1940987	<	Inhibition	%	35.0	CHEMBL1938217	Homo sapiens	INH	%	35.0
	8004463	CHEMBL1943611	Inhibition of human MLKL in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23		CHEMBL1940990	<	Inhibition	%	35.0	CHEMBL1938217	Homo sapiens	INH	%	35.0
Not Active	14529878	CHEMBL3224036	Competitive binding affinity to Myc-tagged MLKL (unknown origin) transfected in human HeLa cells at 20 nM by Western blot analysis in presence of biotin-labeled positive probe	B	C#CCOc1nccnc1NS(=O)(=O)c1ccc(NC(=O)/C=C/c2sccc2[N+](=O)[O-])cc1		CHEMBL3220914		Activity			CHEMBL1938217	Homo sapiens	Activity		
Not Active	14529879	CHEMBL3224036	Competitive binding affinity to Myc-tagged MLKL (unknown origin) transfected in human HeLa cells at 20 nM by Western blot analysis in presence of biotin-labeled positive probe	B	COc1nccnc1NS(=O)(=O)c1ccc(NC(=O)/C=C/c2ccc(Br)s2)cc1		CHEMBL3220911		Activity			CHEMBL1938217	Homo sapiens	Activity		
Active	14529880	CHEMBL3224036	Competitive binding affinity to Myc-tagged MLKL (unknown origin) transfected in human HeLa cells at 20 nM by Western blot analysis in presence of biotin-labeled positive probe	B	COc1nccnc1NS(=O)(=O)c1ccc(NC(=O)/C=C/c2ccc([N+](=O)[O-])s2)cc1		CHEMBL3220918		Activity			CHEMBL1938217	Homo sapiens	Activity		
	18211614	CHEMBL4045627	Inhibition of MLKL conserved Lys1 (APVAIKVFK) in human PBMC at 0.1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1	Outside typical range	CHEMBL3971067	=	Inhibition	%	-20.9	CHEMBL1938217	Homo sapiens	INH	%	-20.9
	18211698	CHEMBL4045624	Inhibition of MLKL conserved Lys1 (APVAIKVFK) in human PBMC at 1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1	Outside typical range	CHEMBL3971067	=	Inhibition	%	-44.2	CHEMBL1938217	Homo sapiens	INH	%	-44.2
