activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3213932	CHEMBL1114888	Inhibition of HIPK4 at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	5.0	CHEMBL1075167	Homo sapiens	INH	%	5.0
	3213932	CHEMBL1114888	Inhibition of HIPK4 at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	5.0	CHEMBL1075167	Homo sapiens	INH	%	5.0
	3224841	CHEMBL1100492	Inhibition of HIPK4 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cnc(CO)cn1		CHEMBL1081678	<	Inhibition	%	50.0	CHEMBL1075167	Homo sapiens	INH	%	50.0
	3225091	CHEMBL1100492	Inhibition of HIPK4 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1		CHEMBL1078665	<	Inhibition	%	50.0	CHEMBL1075167	Homo sapiens	INH	%	50.0
	3331968	CHEMBL1169258	Inhibition of HIPK4 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL1075167	Homo sapiens	INH	%	50.0
	3333383	CHEMBL1169258	Inhibition of HIPK4 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL1075167	Homo sapiens	INH	%	50.0
	3334788	CHEMBL1169258	Inhibition of HIPK4 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL1075167	Homo sapiens	INH	%	50.0
	3336208	CHEMBL1169258	Inhibition of HIPK4 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL1075167	Homo sapiens	INH	%	50.0
	3340736	CHEMBL1169258	Inhibition of HIPK4 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL1075167	Homo sapiens	INH	%	50.0
	3342152	CHEMBL1169258	Inhibition of HIPK4 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL1075167	Homo sapiens	INH	%	50.0
	3358604	CHEMBL1174449	Inhibition of HIPK4 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	2.2	CHEMBL1075167	Homo sapiens	INH	%	2.2
	3359046	CHEMBL1174449	Inhibition of HIPK4 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	1.9	CHEMBL1075167	Homo sapiens	INH	%	1.9
	3443415	CHEMBL1244448	Inhibition of HIPK4 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21		CHEMBL1241578	=	Inhibition	%	15.0	CHEMBL1075167	Homo sapiens	INH	%	15.0
	3443632	CHEMBL1244448	Inhibition of HIPK4 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1		CHEMBL1081312	=	Inhibition	%	9.0	CHEMBL1075167	Homo sapiens	INH	%	9.0
	3444787	CHEMBL1244448	Inhibition of HIPK4 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21		CHEMBL1233882	=	Inhibition	%	14.0	CHEMBL1075167	Homo sapiens	INH	%	14.0
