activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	3198597	CHEMBL1100131	Inhibition of VPS34 at 1 uM	B	Cc1nc(N)ncc1-c1nc(N2CCOCC2)c2sc(C(C)(C)O)cc2n1		CHEMBL1085178		Inhibition	%		CHEMBL1075165	Homo sapiens	INH		
Not Active	3198597	CHEMBL1100131	Inhibition of VPS34 at 1 uM	B	Cc1nc(N)ncc1-c1nc(N2CCOCC2)c2sc(C(C)(C)O)cc2n1		CHEMBL1085178		Inhibition	%		CHEMBL1075165	Homo sapiens	INH		
Not Active	3198600	CHEMBL1100131	Inhibition of VPS34 at 1 uM	B	CC(C)(O)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1		CHEMBL1084926		Inhibition	%		CHEMBL1075165	Homo sapiens	INH		
	3508201	CHEMBL1261699	Inhibition of human hVPS34	B	CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1		CHEMBL1256459	=	IC50	nM	533.0	CHEMBL1075165	Homo sapiens	IC50	nM	533.0
	5207839	CHEMBL1680121	Inhibition of VPS34 after 15 mins	B	COc1ccc(Nc2cc(-c3cnc(N)nc3)nc(N3CCOCC3)n2)cn1		CHEMBL1672328	>	IC50	nM	9000.0	CHEMBL1075165	Homo sapiens	IC50	uM	9.0
	5247290	CHEMBL1686450	Inhibition of Vps34	B	CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21		CHEMBL1684984	>	IC50	nM	10000.0	CHEMBL1075165	Homo sapiens	IC50	uM	10.0
	6167459	CHEMBL1768756	Inhibition of hVPS34	B	Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1		CHEMBL1765602	=	IC50	nM	8.58	CHEMBL1075165	Homo sapiens	IC50	nM	8.58
	6189360	CHEMBL1775871	Inhibition of human VPS34 after 30 mins by fluorescence-based immunoassay	B	CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1		CHEMBL1615189	=	Ki	nM	31.0	CHEMBL1075165	Homo sapiens	Ki	nM	31.0
	6263736	CHEMBL1799506	Inhibition of human VPS34	B	CN1CCC(NC(=O)c2ccc(-c3ccc(-n4c(=O)ccc5cnc6ccc(-c7cnc8ccccc8c7)cc6c54)cc3C(F)(F)F)cc2)CC1		CHEMBL1795875	=	IC50	nM	170.0	CHEMBL1075165	Homo sapiens	IC50	nM	170.0
	6387478	CHEMBL1839928	Inhibition of recombinant VPS34 by luminescent kinase assay	B	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1.O=P(O)(O)O		CHEMBL1834657	>	IC50	nM	10000.0	CHEMBL1075165	Homo sapiens	IC50	uM	10.0
	7922943	CHEMBL1919868	Inhibition of human VPS34 assessed as ADP formation using ATP by fluorescence-based immunoassay	B	O=S(=O)(Nc1cc(-c2ccc3nccc(-c4ccncc4)c3c2)cnc1Cl)c1ccc(F)cc1		CHEMBL1914727	=	IC50	nM	5.3	CHEMBL1075165	Homo sapiens	IC50	nM	5.3
	7922944	CHEMBL1919868	Inhibition of human VPS34 assessed as ADP formation using ATP by fluorescence-based immunoassay	B	O=S(=O)(Nc1cc(-c2ccc3nccc(-c4cccnc4)c3c2)cnc1Cl)c1ccc(F)cc1		CHEMBL1914726	=	IC50	nM	2.9	CHEMBL1075165	Homo sapiens	IC50	nM	2.9
	7922945	CHEMBL1919868	Inhibition of human VPS34 assessed as ADP formation using ATP by fluorescence-based immunoassay	B	O=S(=O)(Nc1cc(-c2ccc3nccc(N4CCOCC4)c3c2)cnc1Cl)c1ccc(F)cc1		CHEMBL1738719	=	IC50	nM	11.0	CHEMBL1075165	Homo sapiens	IC50	nM	11.0
	7922946	CHEMBL1919868	Inhibition of human VPS34 assessed as ADP formation using ATP by fluorescence-based immunoassay	B	O=S(=O)(Nc1cc(-c2ccc3ncc(N4CCOCC4)nc3c2)cnc1Cl)c1ccc(F)cc1		CHEMBL1914743	=	IC50	nM	5.0	CHEMBL1075165	Homo sapiens	IC50	nM	5.0
	7948517	CHEMBL1925489	Inhibition of VPS34 by scintillation proximity assay	B	Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12		CHEMBL1922094	=	IC50	nM	2000.0	CHEMBL1075165	Homo sapiens	IC50	nM	2000.0
	8003512	CHEMBL1942468	Inhibition of human PIK3C3 in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1940980	<	Inhibition	%	35.0	CHEMBL1075165	Homo sapiens	INH	%	35.0
	8003513	CHEMBL1942468	Inhibition of human PIK3C3 in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23		CHEMBL1940981	<	Inhibition	%	35.0	CHEMBL1075165	Homo sapiens	INH	%	35.0
	8003514	CHEMBL1942468	Inhibition of human PIK3C3 in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1940987	<	Inhibition	%	35.0	CHEMBL1075165	Homo sapiens	INH	%	35.0
	8003515	CHEMBL1942468	Inhibition of human PIK3C3 in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23		CHEMBL1940990	<	Inhibition	%	35.0	CHEMBL1075165	Homo sapiens	INH	%	35.0
	8013083	CHEMBL1947870	Inhibition of VPS34 using ATP as substrate	B	Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O		CHEMBL1945559	>	IC50	nM	9100.0	CHEMBL1075165	Homo sapiens	IC50	uM	9.1
