activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470289	CHEMBL987208	Inhibition of MYO3A at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5546	Homo sapiens	INH	%	10.0
	2470289	CHEMBL987208	Inhibition of MYO3A at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5546	Homo sapiens	INH	%	10.0
	2902664	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902665	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902666	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	=	Kd	nM	41.0	CHEMBL5546	Homo sapiens	Kd	nM	41.0
	2902667	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902668	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902669	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902670	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902671	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902672	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902673	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902674	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902675	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902676	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902677	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902678	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902679	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902680	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1		CHEMBL261849	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
	2902681	CHEMBL1061080	Binding constant for MYO3A kinase domain	B	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O		CHEMBL477772	>	Kd	nM	10000.0	CHEMBL5546	Homo sapiens	Kd	uM	10.0
