activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	19108995	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL164	=	IC50	nM	1100.0	CHEMBL4523401	Homo sapiens	IC50	uM	1.1
	19108995	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL164	=	IC50	nM	1100.0	CHEMBL4523401	Homo sapiens	IC50	uM	1.1
	19108996	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL50	=	IC50	nM	2300.0	CHEMBL4523401	Homo sapiens	IC50	uM	2.3
	19108997	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL151	=	IC50	nM	5500.0	CHEMBL4523401	Homo sapiens	IC50	uM	5.5
	19108998	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12		CHEMBL150	=	IC50	nM	4400.0	CHEMBL4523401	Homo sapiens	IC50	uM	4.4
	19108999	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12		CHEMBL28	=	IC50	nM	29000.0	CHEMBL4523401	Homo sapiens	IC50	uM	29.0
	19109000	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O		CHEMBL379064	=	IC50	nM	2200.0	CHEMBL4523401	Homo sapiens	IC50	uM	2.2
	19109001	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O		CHEMBL90568	=	IC50	nM	7200.0	CHEMBL4523401	Homo sapiens	IC50	uM	7.2
	19109002	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1		CHEMBL243664	>	IC50	nM	30000.0	CHEMBL4523401	Homo sapiens	IC50	uM	30.0
	19109003	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)c(O)c2)oc2cccc(O)c12		CHEMBL243677	>	IC50	nM	30000.0	CHEMBL4523401	Homo sapiens	IC50	uM	30.0
	19109004	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1		CHEMBL210635	>	IC50	nM	30000.0	CHEMBL4523401	Homo sapiens	IC50	uM	30.0
	19109005	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1		CHEMBL312163	=	IC50	nM	14000.0	CHEMBL4523401	Homo sapiens	IC50	uM	14.0
	19109006	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12		CHEMBL294878	>	IC50	nM	30000.0	CHEMBL4523401	Homo sapiens	IC50	uM	30.0
	19109007	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)cc2)oc2ccc(O)cc12		CHEMBL484663	>	IC50	nM	30000.0	CHEMBL4523401	Homo sapiens	IC50	uM	30.0
	19109008	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)cc2)oc2cccc(O)c12		CHEMBL484662	>	IC50	nM	30000.0	CHEMBL4523401	Homo sapiens	IC50	uM	30.0
	19109009	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)c(O)c2)oc2ccccc12		CHEMBL222556	>	IC50	nM	30000.0	CHEMBL4523401	Homo sapiens	IC50	uM	30.0
	19109010	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21		CHEMBL8996	>	IC50	nM	30000.0	CHEMBL4523401	Homo sapiens	IC50	uM	30.0
	19109011	CHEMBL4370054	Inhibition of human IPMK using insP3 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21		CHEMBL9352	>	IC50	nM	30000.0	CHEMBL4523401	Homo sapiens	IC50	uM	30.0
	19109030	CHEMBL4370059	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 10 uM after 3.5 hrs by HPLC analysis relative to control	B	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL50	=	Inhibition	%	25.0	CHEMBL4523401	Homo sapiens	INH	%	25.0
Not Active	19109048	CHEMBL4370070	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 2.5 uM up to 200 mins by HPLC analysis relative to control	B	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL50		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109049	CHEMBL4370070	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 2.5 uM up to 200 mins by HPLC analysis relative to control	B	COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O		CHEMBL90568		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109064	CHEMBL4370073	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 2.5 uM after 3.5 hrs by HPLC analysis relative to control	B	O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL164		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109065	CHEMBL4370073	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 2.5 uM after 3.5 hrs by HPLC analysis relative to control	B	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL50		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109066	CHEMBL4370073	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 2.5 uM after 3.5 hrs by HPLC analysis relative to control	B	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL151		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109067	CHEMBL4370073	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 2.5 uM after 3.5 hrs by HPLC analysis relative to control	B	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12		CHEMBL150		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109068	CHEMBL4370073	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 2.5 uM after 3.5 hrs by HPLC analysis relative to control	B	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O		CHEMBL379064		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109069	CHEMBL4370073	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 2.5 uM after 3.5 hrs by HPLC analysis relative to control	B	COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O		CHEMBL90568		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109070	CHEMBL4370073	Inhibition of IPMK in human [3H]-inositol-labelled HCT116 cells assessed as reduction in insp5 levels at 2.5 uM after 3.5 hrs by HPLC analysis relative to control	B	COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1		CHEMBL312163		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109074	CHEMBL4370063	Inhibition of IPMK in [3H]-inositol-labelled HEK293 cells assessed as reduction in insp5 levels at 2.5 uM after 3.5 hrs by HPLC analysis relative to control	B	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL50		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
Not Active	19109077	CHEMBL4370063	Inhibition of IPMK in [3H]-inositol-labelled HEK293 cells assessed as reduction in insp5 levels at 2.5 uM after 3.5 hrs by HPLC analysis relative to control	B	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL151		Inhibition	%		CHEMBL4523401	Homo sapiens	INH		
