activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051651	CHEMBL941788	Inhibition of NEK11	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1549.0	CHEMBL5638	Homo sapiens	Ki	uM	1.549
	2051651	CHEMBL941788	Inhibition of NEK11	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1549.0	CHEMBL5638	Homo sapiens	Ki	uM	1.549
	2147329	CHEMBL922014	Activity of human NEK11 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	116.0	CHEMBL5638	Homo sapiens	Activity	%	116.0
	2721669	CHEMBL1054301	Inhibition of NEK11 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5638	Homo sapiens	INH	%	50.0
	2928487	CHEMBL1043879	Binding affinity to NEK11 assessed as percentage of kinase remaining bound to the bead at 1 uM by T7 phage display based binding assay	B	COc1ccccc1-n1c(-c2cc(O)ccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12		CHEMBL566515	=	Activity	%	67.0	CHEMBL5638	Homo sapiens	Activity	%	67.0
	3052417	CHEMBL1043344	Residual activity of NEK11 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	94.0	CHEMBL5638	Homo sapiens	Residual activity	%	94.0
	3052669	CHEMBL1041156	Residual activity of NEK11 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	93.0	CHEMBL5638	Homo sapiens	Residual activity	%	93.0
	3053978	CHEMBL1050309	Residual activity of NEK11 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	83.0	CHEMBL5638	Homo sapiens	Residual activity	%	83.0
	3054230	CHEMBL1043344	Residual activity of NEK11 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	95.0	CHEMBL5638	Homo sapiens	Residual activity	%	95.0
	3055517	CHEMBL1041156	Residual activity of NEK11 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	104.0	CHEMBL5638	Homo sapiens	Residual activity	%	104.0
	3056822	CHEMBL1050309	Residual activity of NEK11 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	113.0	CHEMBL5638	Homo sapiens	Residual activity	%	113.0
	3057074	CHEMBL1043344	Residual activity of NEK11 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	103.0	CHEMBL5638	Homo sapiens	Residual activity	%	103.0
	3058394	CHEMBL1041156	Residual activity of NEK11 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	91.0	CHEMBL5638	Homo sapiens	Residual activity	%	91.0
	3059678	CHEMBL1050309	Residual activity of NEK11 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	81.0	CHEMBL5638	Homo sapiens	Residual activity	%	81.0
	3358698	CHEMBL1174940	Inhibition of NEK11 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	9.1	CHEMBL5638	Homo sapiens	INH	%	9.1
	3359140	CHEMBL1174940	Inhibition of NEK11 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	18.0	CHEMBL5638	Homo sapiens	INH	%	18.0
	5121171	CHEMBL1646218	Inhibition of human NEK11 at 10 uM after 60 mins by TR-FRET assay	B	S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1		CHEMBL1644616	=	Inhibition	%	126.0	CHEMBL5638	Homo sapiens	INH	%	126.0
	7567131	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7567590	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl		CHEMBL105442	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7568061	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL180022	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7568529	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1		CHEMBL386051	=	Kd	nM	3000.0	CHEMBL5638	Homo sapiens	Kd	nM	3000.0
	7568961	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7569104	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7569564	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7570036	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7570499	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1		CHEMBL450786	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7571080	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21		CHEMBL1614701	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7571537	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl		CHEMBL601719	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7572013	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1		CHEMBL1789941	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
	7572450	CHEMBL1908422	Binding constant for NEK11 kinase domain	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL5638	Homo sapiens	Kd	nM	10000.0
