activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3358753	CHEMBL1175219	Inhibition of PIP5K2C at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	100.0	CHEMBL1770034	Homo sapiens	INH	%	100.0
	3358753	CHEMBL1175219	Inhibition of PIP5K2C at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	100.0	CHEMBL1770034	Homo sapiens	INH	%	100.0
	3359195	CHEMBL1175219	Inhibition of PIP5K2C at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	100.0	CHEMBL1770034	Homo sapiens	INH	%	100.0
	3407766	CHEMBL1219797	Inhibition of PIP5K2C at 1 uM by radiometric method	B	CCOC(=O)CCc1c(/C=C2\C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2		CHEMBL1215218	<	Inhibition	%	10.0	CHEMBL1770034	Homo sapiens	INH	%	10.0
	3407767	CHEMBL1219797	Inhibition of PIP5K2C at 1 uM by radiometric method	B	CN(C)CCCc1c(/C=C2\C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2		CHEMBL1215346	<	Inhibition	%	10.0	CHEMBL1770034	Homo sapiens	INH	%	10.0
	6183787	CHEMBL1772044	Binding affinity to human PIP5K2C 	B	Cc1nc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cs1		CHEMBL1435542	=	Kd	nM	280.0	CHEMBL1770034	Homo sapiens	Kd	nM	280.0
	6183791	CHEMBL1772044	Binding affinity to human PIP5K2C 	B	c1nc(NCC2CCOC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1		CHEMBL1436585	=	Kd	nM	310.0	CHEMBL1770034	Homo sapiens	Kd	nM	310.0
	6183798	CHEMBL1772044	Binding affinity to human PIP5K2C 	B	Cc1nc(CN(C)c2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cs1		CHEMBL1474834	=	Kd	nM	360.0	CHEMBL1770034	Homo sapiens	Kd	nM	360.0
	7567553	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl		CHEMBL105442	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7568024	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL180022	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7568492	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1		CHEMBL386051	=	Kd	nM	230.0	CHEMBL1770034	Homo sapiens	Kd	nM	230.0
	7568924	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7569067	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7569527	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7569999	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	=	Kd	nM	380.0	CHEMBL1770034	Homo sapiens	Kd	nM	380.0
	7570462	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1		CHEMBL450786	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7570889	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7571043	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21		CHEMBL1614701	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7571500	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl		CHEMBL601719	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7571976	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1		CHEMBL1789941	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7572439	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	=	Kd	nM	620.0	CHEMBL1770034	Homo sapiens	Kd	nM	620.0
	7573024	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1		CHEMBL513909	=	Kd	nM	110.0	CHEMBL1770034	Homo sapiens	Kd	nM	110.0
	7573481	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7573957	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1.Cl		CHEMBL1908395	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7574392	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1		CHEMBL509032	=	Kd	nM	2300.0	CHEMBL1770034	Homo sapiens	Kd	nM	2300.0
	7575002	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1		CHEMBL502835	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7575463	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	=	Kd	nM	1000.0	CHEMBL1770034	Homo sapiens	Kd	nM	1000.0
	7575957	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7576365	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1		CHEMBL230011	=	Kd	nM	530.0	CHEMBL1770034	Homo sapiens	Kd	nM	530.0
	7576976	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1		CHEMBL1173655	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7577435	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1		CHEMBL1230609	=	Kd	nM	28.0	CHEMBL1770034	Homo sapiens	Kd	nM	28.0
	7577471	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c1nccs1		CHEMBL1908396	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7577941	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F		CHEMBL1230020	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7578346	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1		CHEMBL1287853	=	Kd	nM	4100.0	CHEMBL1770034	Homo sapiens	Kd	nM	4100.0
	7578984	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12		CHEMBL379218	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
	7579358	CHEMBL1908831	Binding constant for PIP5K2C kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL1770034	Homo sapiens	Kd	nM	10000.0
