activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1790367	CHEMBL856393	Percent residual activity, relative to control, of ERK8 at 1 uM concentration of inhibitor in presence of 5 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12		CHEMBL413460	=	Activity	%	52.0	CHEMBL5198	Homo sapiens	Activity	%	52.0
	1790367	CHEMBL856393	Percent residual activity, relative to control, of ERK8 at 1 uM concentration of inhibitor in presence of 5 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12		CHEMBL413460	=	Activity	%	52.0	CHEMBL5198	Homo sapiens	Activity	%	52.0
	1790421	CHEMBL856393	Percent residual activity, relative to control, of ERK8 at 1 uM concentration of inhibitor in presence of 5 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O		CHEMBL279185	=	Activity	%	50.0	CHEMBL5198	Homo sapiens	Activity	%	50.0
	2077658	CHEMBL945011	Residual activity of ERK8 at 10 uM relative to control	B	O=c1[nH]c2ccccc2c(-c2ccncc2)c1-c1ccc(F)cc1		CHEMBL434737	=	Activity	%	73.0	CHEMBL5198	Homo sapiens	Activity	%	73.0
	2077661	CHEMBL945011	Residual activity of ERK8 at 10 uM relative to control	B	CC(C)c1onc(-c2ccc(F)cc2)c1-c1ccncc1		CHEMBL220227	=	Activity	%	84.0	CHEMBL5198	Homo sapiens	Activity	%	84.0
	2077662	CHEMBL945011	Residual activity of ERK8 at 10 uM relative to control	B	CC(C)c1noc(-c2ccc(F)cc2)c1-c1ccncc1		CHEMBL375428	=	Activity	%	88.0	CHEMBL5198	Homo sapiens	Activity	%	88.0
	2101318	CHEMBL949029	Inhibition of ERK8 at 10 uM	B	CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1		CHEMBL257834	=	Inhibition	%	82.0	CHEMBL5198	Homo sapiens	Inhibition	%	82.0
Not Active	2302185	CHEMBL950854	Inhibition of ERK8 at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL5198	Homo sapiens	INH		
	2470216	CHEMBL983618	Inhibition of ERK8 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5198	Homo sapiens	INH	%	10.0
	2635187	CHEMBL1000625	Inhibition of ERK8 at 1 uM relative to control	B	CSc1cc(Oc2ccnc3[nH]c(=O)[nH]c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1		CHEMBL496009	=	Residual_activity	%	100.0	CHEMBL5198	Homo sapiens	Residual_activity	%	100.0
