activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147199	CHEMBL927943	Activity of human BrSK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	92.0	CHEMBL5650	Homo sapiens	Activity	%	92.0
	2147199	CHEMBL927943	Activity of human BrSK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	92.0	CHEMBL5650	Homo sapiens	Activity	%	92.0
	2470123	CHEMBL1032266	Inhibition of BRSK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5650	Homo sapiens	INH	%	10.0
	2701589	CHEMBL1061565	Inhibition of BRSK1 at 1 uM	B	C[C@@H]1CNc2c(sc3ccc4nc(-c5cccnc5)ccc4c23)C(=O)N1		CHEMBL560075	>	Inhibition	%	70.0	CHEMBL5650	Homo sapiens	INH	%	70.0
	2701590	CHEMBL1061565	Inhibition of BRSK1 at 1 uM	B	Cc1ccncc1-c1ccc2c(ccc3sc4c(c32)NC[C@@H](C)NC4=O)n1		CHEMBL549915	>	Inhibition	%	70.0	CHEMBL5650	Homo sapiens	INH	%	70.0
	2721558	CHEMBL1060966	Inhibition of BRSK1 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5650	Homo sapiens	INH	%	50.0
	2900123	CHEMBL1061135	Binding constant for BRSK1 kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5650	Homo sapiens	Kd	uM	10.0
	2900124	CHEMBL1061135	Binding constant for BRSK1 kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5650	Homo sapiens	Kd	uM	10.0
	2900125	CHEMBL1061135	Binding constant for BRSK1 kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	>	Kd	nM	10000.0	CHEMBL5650	Homo sapiens	Kd	uM	10.0
	2900126	CHEMBL1061135	Binding constant for BRSK1 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5650	Homo sapiens	Kd	uM	10.0
	2900127	CHEMBL1061135	Binding constant for BRSK1 kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5650	Homo sapiens	Kd	uM	10.0
