activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470369	CHEMBL981751	Inhibition of STK35 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5651	Homo sapiens	INH	%	10.0
	2470369	CHEMBL981751	Inhibition of STK35 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5651	Homo sapiens	INH	%	10.0
	2922008	CHEMBL1059367	Inhibition of STK35 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	92.0	CHEMBL5651	Homo sapiens	Activity	%	92.0
	3332163	CHEMBL1167711	Inhibition of STK35 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL5651	Homo sapiens	INH	%	50.0
	3333578	CHEMBL1167711	Inhibition of STK35 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL5651	Homo sapiens	INH	%	50.0
	3334983	CHEMBL1167711	Inhibition of STK35 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL5651	Homo sapiens	INH	%	50.0
	3336403	CHEMBL1167711	Inhibition of STK35 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL5651	Homo sapiens	INH	%	50.0
	3341945	CHEMBL1167711	Inhibition of STK35 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL5651	Homo sapiens	INH	%	50.0
	3343392	CHEMBL1167711	Inhibition of STK35 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL5651	Homo sapiens	INH	%	50.0
	3351769	CHEMBL1175025	Inhibition of STK35 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	0.8	CHEMBL5651	Homo sapiens	INH	%	0.8
	3358821	CHEMBL1175025	Inhibition of STK35 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	1.6	CHEMBL5651	Homo sapiens	INH	%	1.6
Not Active	3446221	CHEMBL1244361	Inhibition of STK35	B	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl		CHEMBL288441		IC50			CHEMBL5651	Homo sapiens	IC50		
	3448636	CHEMBL1244989	Binding affinity to STK35	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	uM	10.0
	3448793	CHEMBL1244989	Binding affinity to STK35	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	810.0	CHEMBL5651	Homo sapiens	Kd	nM	810.0
	3449518	CHEMBL1244989	Binding affinity to STK35	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	1300.0	CHEMBL5651	Homo sapiens	Kd	nM	1300.0
	3449863	CHEMBL1244989	Binding affinity to STK35	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	uM	10.0
	3450251	CHEMBL1244989	Binding affinity to STK35	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	uM	10.0
	3450869	CHEMBL1244989	Binding affinity to STK35	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	uM	10.0
	3451157	CHEMBL1244989	Binding affinity to STK35	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL1240703	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	uM	10.0
	6340026	CHEMBL1826931	Activity of STK35 kinase at 1 uM	B	CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1		CHEMBL1822054	=	Activity	%	89.0	CHEMBL5651	Homo sapiens	Activity	%	89.0
	7567114	CHEMBL1908408	Binding constant for STK35 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	nM	10000.0
	7567573	CHEMBL1908408	Binding constant for STK35 kinase domain	B	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl		CHEMBL105442	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	nM	10000.0
	7568044	CHEMBL1908408	Binding constant for STK35 kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL180022	=	Kd	nM	4500.0	CHEMBL5651	Homo sapiens	Kd	nM	4500.0
	7568512	CHEMBL1908408	Binding constant for STK35 kinase domain	B	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1		CHEMBL386051	=	Kd	nM	360.0	CHEMBL5651	Homo sapiens	Kd	nM	360.0
	7568944	CHEMBL1908408	Binding constant for STK35 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	=	Kd	nM	8.2	CHEMBL5651	Homo sapiens	Kd	nM	8.2
	7569087	CHEMBL1908408	Binding constant for STK35 kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	=	Kd	nM	5.4	CHEMBL5651	Homo sapiens	Kd	nM	5.4
	7569547	CHEMBL1908408	Binding constant for STK35 kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	nM	10000.0
	7570019	CHEMBL1908408	Binding constant for STK35 kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	nM	10000.0
	7570482	CHEMBL1908408	Binding constant for STK35 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1		CHEMBL450786	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	nM	10000.0
	7570909	CHEMBL1908408	Binding constant for STK35 kinase domain	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	1300.0	CHEMBL5651	Homo sapiens	Kd	nM	1300.0
	7571063	CHEMBL1908408	Binding constant for STK35 kinase domain	B	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21		CHEMBL1614701	>	Kd	nM	10000.0	CHEMBL5651	Homo sapiens	Kd	nM	10000.0
