activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1790372	CHEMBL856398	Percent residual activity, relative to control, of NEK7 at 1 uM concentration of inhibitor in presence of 20 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12		CHEMBL413460	=	Activity	%	56.0	CHEMBL4849	Homo sapiens	Activity	%	56.0
	1790372	CHEMBL856398	Percent residual activity, relative to control, of NEK7 at 1 uM concentration of inhibitor in presence of 20 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12		CHEMBL413460	=	Activity	%	56.0	CHEMBL4849	Homo sapiens	Activity	%	56.0
	1790426	CHEMBL856398	Percent residual activity, relative to control, of NEK7 at 1 uM concentration of inhibitor in presence of 20 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O		CHEMBL279185	=	Activity	%	58.0	CHEMBL4849	Homo sapiens	Activity	%	58.0
	2147328	CHEMBL922013	Activity of human NEK7 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	99.0	CHEMBL4849	Homo sapiens	Activity	%	99.0
Not Active	2302182	CHEMBL950851	Inhibition of NEK7 at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL4849	Homo sapiens	INH		
	2470296	CHEMBL987216	Inhibition of NEK7 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL4849	Homo sapiens	INH	%	10.0
	2476586	CHEMBL993450	Binding affinity to human NEK7 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167	=	Activity	%	27.9	CHEMBL4849	Homo sapiens	Activity	%	27.9
Not Evaluated	2476789	CHEMBL993450	Binding affinity to human NEK7 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL4849	Homo sapiens	Activity		
Not Evaluated	2478628	CHEMBL993450	Binding affinity to human NEK7 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL4849	Homo sapiens	Activity		
	2478831	CHEMBL993450	Binding affinity to human NEK7 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	13.45	CHEMBL4849	Homo sapiens	Activity	%	13.45
	2479561	CHEMBL988952	Binding affinity to human NEK7	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337	>	Kd	nM	40000.0	CHEMBL4849	Homo sapiens	Kd	nM	40000.0
Not Evaluated	2479686	CHEMBL993450	Binding affinity to human NEK7 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL4849	Homo sapiens	Activity		
Not Evaluated	2480685	CHEMBL993450	Binding affinity to human NEK7 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409		Activity			CHEMBL4849	Homo sapiens	Activity		
