activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3098429	CHEMBL1067026	Inhibition of human haspin at 0.1 uM	B	COc1ccccc1NC(=O)CC(Nc1ccc(Oc2ccnc3cc(-c4cn(C)cn4)sc23)c(F)c1)C(F)(F)F		CHEMBL591924	<	Inhibition	%	50.0	CHEMBL1075163	Homo sapiens	INH	%	50.0
	3098429	CHEMBL1067026	Inhibition of human haspin at 0.1 uM	B	COc1ccccc1NC(=O)CC(Nc1ccc(Oc2ccnc3cc(-c4cn(C)cn4)sc23)c(F)c1)C(F)(F)F		CHEMBL591924	<	Inhibition	%	50.0	CHEMBL1075163	Homo sapiens	INH	%	50.0
	3130815	CHEMBL1073724	Inhibition of GSG2 at 3 to 6 uM relative to control	B	COc1ccc(C(=O)NCc2cccc(C(=O)Nc3ccc4c(c3)CNCC4)c2)cc1OC		CHEMBL604087	>	Inhibition	%	50.0	CHEMBL1075163	Homo sapiens	INH	%	50.0
	3213927	CHEMBL1114883	Inhibition of Haspin at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	28.0	CHEMBL1075163	Homo sapiens	INH	%	28.0
	3224763	CHEMBL1102580	Inhibition of GSG2 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cnc(CO)cn1		CHEMBL1081678	<	Inhibition	%	50.0	CHEMBL1075163	Homo sapiens	INH	%	50.0
	3224988	CHEMBL1102580	Inhibition of GSG2 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1		CHEMBL1078665	<	Inhibition	%	50.0	CHEMBL1075163	Homo sapiens	INH	%	50.0
	3294618	CHEMBL1103930	Inhibition of haspin	B	Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)c5cnn(-c6ccccc6)c5C(F)(F)F)cc4F)c3s2)c1		CHEMBL1094718	<	Inhibition	%	40.0	CHEMBL1075163	Homo sapiens	INH	%	40.0
	5089637	CHEMBL1633357	Inhibition of GSG2 at 10 uM	B	C(#Cc1n[nH]c2ccccc12)c1ccncc1		CHEMBL1631892	>=	Inhibition	%	50.0	CHEMBL1075163	Homo sapiens	INH	%	50.0
	5120339	CHEMBL1645981	Inhibition of human Haspin at 10 uM after 60 mins by TR-FRET assay	B	S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1		CHEMBL1644616	=	Inhibition	%	102.0	CHEMBL1075163	Homo sapiens	INH	%	102.0
	6198121	CHEMBL1776212	Inhibition of Haspin assessed as [33P]gamma-ATP incorporation into substrate after 60 mins by gamma counting	B	CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1		CHEMBL1738758	>	IC50	nM	10000.0	CHEMBL1075163	Homo sapiens	IC50	uM	10.0
	8012909	CHEMBL1947280	Binding affinity to Haspin assessed as change in thermal denaturation at 10 uM by thermal stability shift assay	B	CCN1CCC2(CC1)NC(=O)c1c(c3ccc(Cl)c(Cl)c3n1C)C2C#N		CHEMBL1945557	=	Delta Tm	degrees C	2.6	CHEMBL1075163	Homo sapiens	deltaTm	degrees C	2.6
	8012934	CHEMBL1947280	Binding affinity to Haspin assessed as change in thermal denaturation at 10 uM by thermal stability shift assay	B	Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCN(C(=O)OC(C)(C)C)CC1)NC2=O		CHEMBL1945558	=	Delta Tm	degrees C	0.3	CHEMBL1075163	Homo sapiens	deltaTm	degrees C	0.3
