activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3212635	CHEMBL1106961	Inhibition of GRK7-mediated bovine tubulin phosphorylation by scintillation counting	B	O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1		CHEMBL60254	=	IC50	nM	180.0	CHEMBL1075133	Homo sapiens	IC50	nM	180.0
	3212635	CHEMBL1106961	Inhibition of GRK7-mediated bovine tubulin phosphorylation by scintillation counting	B	O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1		CHEMBL60254	=	IC50	nM	180.0	CHEMBL1075133	Homo sapiens	IC50	nM	180.0
	3224835	CHEMBL1100486	Inhibition of GRK7 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cnc(CO)cn1		CHEMBL1081678	<	Inhibition	%	50.0	CHEMBL1075133	Homo sapiens	INH	%	50.0
	3225085	CHEMBL1100486	Inhibition of GRK7 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1		CHEMBL1078665	<	Inhibition	%	50.0	CHEMBL1075133	Homo sapiens	INH	%	50.0
	3331961	CHEMBL1169251	Inhibition of GRK7 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL1075133	Homo sapiens	INH	%	50.0
	3333376	CHEMBL1169251	Inhibition of GRK7 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL1075133	Homo sapiens	INH	%	50.0
	3334781	CHEMBL1169251	Inhibition of GRK7 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL1075133	Homo sapiens	INH	%	50.0
	3336201	CHEMBL1169251	Inhibition of GRK7 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL1075133	Homo sapiens	INH	%	50.0
	3340729	CHEMBL1169251	Inhibition of GRK7 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	=	Inhibition	%	67.0	CHEMBL1075133	Homo sapiens	INH	%	67.0
	3342145	CHEMBL1169251	Inhibition of GRK7 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL1075133	Homo sapiens	INH	%	50.0
	3358597	CHEMBL1174442	Inhibition of GRK7 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	100.0	CHEMBL1075133	Homo sapiens	INH	%	100.0
	3359039	CHEMBL1174442	Inhibition of GRK7 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	100.0	CHEMBL1075133	Homo sapiens	INH	%	100.0
	3407750	CHEMBL1219789	Inhibition of GRK7 at 1 uM by radiometric method	B	CCOC(=O)CCc1c(/C=C2\C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2		CHEMBL1215218	<	Inhibition	%	10.0	CHEMBL1075133	Homo sapiens	INH	%	10.0
	3407751	CHEMBL1219789	Inhibition of GRK7 at 1 uM by radiometric method	B	CN(C)CCCc1c(/C=C2\C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2		CHEMBL1215346	<	Inhibition	%	10.0	CHEMBL1075133	Homo sapiens	INH	%	10.0
