activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147391	CHEMBL922176	Activity of human SGK3 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	116.0	CHEMBL6186	Homo sapiens	Activity	%	116.0
	2147391	CHEMBL922176	Activity of human SGK3 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	116.0	CHEMBL6186	Homo sapiens	Activity	%	116.0
	2721724	CHEMBL1055126	Inhibition of SGK3 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL6186	Homo sapiens	INH	%	50.0
	2938437	CHEMBL1036951	Inhibition of SGK3 at 1 uM	B	Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1		CHEMBL583042	=	Inhibition	%	2.0	CHEMBL6186	Homo sapiens	INH	%	2.0
	2944872	CHEMBL1049995	Inhibition of SGKL at 2 uM	B	c1cncc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccc6[nH]ccc6c5)nc43)CC2)c1		CHEMBL583194	=	Inhibition	%	50.0	CHEMBL6186	Homo sapiens	INH	%	50.0
	3052482	CHEMBL1072520	Residual activity of SGK3 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	104.0	CHEMBL6186	Homo sapiens	Residual activity	%	104.0
	3052734	CHEMBL1043813	Residual activity of SGK3 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	94.0	CHEMBL6186	Homo sapiens	Residual activity	%	94.0
	3054043	CHEMBL1071373	Residual activity of SGK3 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	97.0	CHEMBL6186	Homo sapiens	Residual activity	%	97.0
	3055330	CHEMBL1072520	Residual activity of SGK3 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	91.0	CHEMBL6186	Homo sapiens	Residual activity	%	91.0
	3055582	CHEMBL1043813	Residual activity of SGK3 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	91.0	CHEMBL6186	Homo sapiens	Residual activity	%	91.0
	3056887	CHEMBL1071373	Residual activity of SGK3 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	112.0	CHEMBL6186	Homo sapiens	Residual activity	%	112.0
	3057139	CHEMBL1072520	Residual activity of SGK3 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	114.0	CHEMBL6186	Homo sapiens	Residual activity	%	114.0
	3058459	CHEMBL1043813	Residual activity of SGK3 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	110.0	CHEMBL6186	Homo sapiens	Residual activity	%	110.0
	3059743	CHEMBL1071373	Residual activity of SGK3 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	98.0	CHEMBL6186	Homo sapiens	Residual activity	%	98.0
	3214043	CHEMBL1103238	Inhibition of SGK3 at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	0.0	CHEMBL6186	Homo sapiens	INH	%	0.0
	3224961	CHEMBL1101765	Inhibition of SGK3 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cnc(CO)cn1		CHEMBL1081678	<	Inhibition	%	50.0	CHEMBL6186	Homo sapiens	INH	%	50.0
	3226340	CHEMBL1101765	Inhibition of SGK3 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1		CHEMBL1078665	<	Inhibition	%	50.0	CHEMBL6186	Homo sapiens	INH	%	50.0
	3351756	CHEMBL1175336	Inhibition of SGK3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	11.0	CHEMBL6186	Homo sapiens	INH	%	11.0
	3358808	CHEMBL1175336	Inhibition of SGK3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	6.2	CHEMBL6186	Homo sapiens	INH	%	6.2
	3443524	CHEMBL1244290	Inhibition of SGK3 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21		CHEMBL1241578	=	Inhibition	%	-1.0	CHEMBL6186	Homo sapiens	INH	%	-1.0
	3444896	CHEMBL1244290	Inhibition of SGK3 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21		CHEMBL1233882	=	Inhibition	%	0.0	CHEMBL6186	Homo sapiens	INH	%	0.0
	3445303	CHEMBL1244290	Inhibition of SGK3 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1		CHEMBL1081312	=	Inhibition	%	0.0	CHEMBL6186	Homo sapiens	INH	%	0.0
	3445520	CHEMBL1244290	Inhibition of SGK3 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC		CHEMBL1233881	=	Inhibition	%	-1.0	CHEMBL6186	Homo sapiens	INH	%	-1.0
	3445737	CHEMBL1244290	Inhibition of SGK3 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21		CHEMBL1241674	=	Inhibition	%	18.0	CHEMBL6186	Homo sapiens	INH	%	18.0
	3445929	CHEMBL1244290	Inhibition of SGK3 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21		CHEMBL1230790	=	Inhibition	%	7.0	CHEMBL6186	Homo sapiens	INH	%	7.0
	3446119	CHEMBL1244290	Inhibition of SGK3 at 1 uM after 60 mins by FRET assay in presence of 10 uM ATP	B	Cn1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21		CHEMBL1234815	=	Inhibition	%	5.0	CHEMBL6186	Homo sapiens	INH	%	5.0
	3463357	CHEMBL1251690	Inhibition of SGKL at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control	B	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12		CHEMBL379300	=	Inhibition	%	78.0	CHEMBL6186	Homo sapiens	INH	%	78.0
	3463901	CHEMBL1251690	Inhibition of SGKL at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control	B	COc1ccccc1N1CCN(c2ncnc3[nH]nc(Br)c23)CC1		CHEMBL1254209	=	Inhibition	%	17.0	CHEMBL6186	Homo sapiens	INH	%	17.0
	3464120	CHEMBL1251690	Inhibition of SGKL at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control	B	O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1		CHEMBL577784	=	Inhibition	%	12.0	CHEMBL6186	Homo sapiens	INH	%	12.0
	5120343	CHEMBL1646653	Inhibition of human SGK3 at 10 uM after 60 mins by TR-FRET assay	B	S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1		CHEMBL1644616	=	Inhibition	%	102.0	CHEMBL6186	Homo sapiens	INH	%	102.0
	6384644	CHEMBL1837777	Inhibition of human SGK3 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1		CHEMBL1834114	<	Inhibition	%	35.0	CHEMBL6186	Homo sapiens	INH	%	35.0
	6384645	CHEMBL1837777	Inhibition of human SGK3 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCNc2ccccn2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CCCC1		CHEMBL1834318	<	Inhibition	%	35.0	CHEMBL6186	Homo sapiens	INH	%	35.0
