activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470102	CHEMBL1032244	Inhibition of ADCK4 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5753	Homo sapiens	INH	%	10.0
	2470102	CHEMBL1032244	Inhibition of ADCK4 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5753	Homo sapiens	INH	%	10.0
Not Evaluated	2476687	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2476688	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2476890	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2476891	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2478729	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2478730	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5753	Homo sapiens	Activity		
	2479546	CHEMBL988940	Binding affinity to human ADCK4	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097	=	Kd	nM	129.0	CHEMBL5753	Homo sapiens	Kd	nM	129.0
Not Evaluated	2479787	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2479788	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2480584	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2480585	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755		Activity			CHEMBL5753	Homo sapiens	Activity		
	2480786	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409	=	Activity	%	27.25	CHEMBL5753	Homo sapiens	Activity	%	27.25
Not Evaluated	2480787	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2577408	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2577409	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2593613	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2593614	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2593816	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097		Activity			CHEMBL5753	Homo sapiens	Activity		
Active	2593817	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2593879	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL5753	Homo sapiens	Activity		
	2593880	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337	=	Activity	%	31.9	CHEMBL5753	Homo sapiens	Activity	%	31.9
	2594082	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519	=	Activity	%	2.0	CHEMBL5753	Homo sapiens	Activity	%	2.0
	2594083	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519	=	Activity	%	6.25	CHEMBL5753	Homo sapiens	Activity	%	6.25
Not Evaluated	2595025	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2595026	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2595294	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2595295	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2596222	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2596223	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2596425	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2596426	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2597694	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2597695	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2597897	CHEMBL1025759	Binding affinity to human ADCK3 at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL5753	Homo sapiens	Activity		
Not Evaluated	2597898	CHEMBL1025760	Binding affinity to human ADCK4 at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL5753	Homo sapiens	Activity		
	2903467	CHEMBL1061132	Binding constant for full-length ADCK4	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903468	CHEMBL1061132	Binding constant for full-length ADCK4	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903469	CHEMBL1061132	Binding constant for full-length ADCK4	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903470	CHEMBL1061132	Binding constant for full-length ADCK4	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903471	CHEMBL1061132	Binding constant for full-length ADCK4	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903472	CHEMBL1061132	Binding constant for full-length ADCK4	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903473	CHEMBL1061132	Binding constant for full-length ADCK4	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903474	CHEMBL1061132	Binding constant for full-length ADCK4	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903475	CHEMBL1061132	Binding constant for full-length ADCK4	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	=	Kd	nM	3400.0	CHEMBL5753	Homo sapiens	Kd	nM	3400.0
	2903476	CHEMBL1061132	Binding constant for full-length ADCK4	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903477	CHEMBL1061132	Binding constant for full-length ADCK4	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903478	CHEMBL1061132	Binding constant for full-length ADCK4	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903479	CHEMBL1061132	Binding constant for full-length ADCK4	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	=	Kd	nM	6100.0	CHEMBL5753	Homo sapiens	Kd	nM	6100.0
	2903480	CHEMBL1061132	Binding constant for full-length ADCK4	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	=	Kd	nM	2500.0	CHEMBL5753	Homo sapiens	Kd	nM	2500.0
	2903481	CHEMBL1061132	Binding constant for full-length ADCK4	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903482	CHEMBL1061132	Binding constant for full-length ADCK4	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903483	CHEMBL1061132	Binding constant for full-length ADCK4	B	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1		CHEMBL261849	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903484	CHEMBL1061132	Binding constant for full-length ADCK4	B	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O		CHEMBL477772	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903485	CHEMBL1061132	Binding constant for full-length ADCK4	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903486	CHEMBL1061132	Binding constant for full-length ADCK4	B	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F		CHEMBL191003	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903487	CHEMBL1061132	Binding constant for full-length ADCK4	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903488	CHEMBL1061132	Binding constant for full-length ADCK4	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903489	CHEMBL1061132	Binding constant for full-length ADCK4	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903490	CHEMBL1061132	Binding constant for full-length ADCK4	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903491	CHEMBL1061132	Binding constant for full-length ADCK4	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903492	CHEMBL1061132	Binding constant for full-length ADCK4	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903493	CHEMBL1061132	Binding constant for full-length ADCK4	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903494	CHEMBL1061132	Binding constant for full-length ADCK4	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903495	CHEMBL1061132	Binding constant for full-length ADCK4	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041	=	Kd	nM	4900.0	CHEMBL5753	Homo sapiens	Kd	nM	4900.0
	2903496	CHEMBL1061132	Binding constant for full-length ADCK4	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10	=	Kd	nM	3100.0	CHEMBL5753	Homo sapiens	Kd	nM	3100.0
	2903497	CHEMBL1061132	Binding constant for full-length ADCK4	B	NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1		CHEMBL440084	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903498	CHEMBL1061132	Binding constant for full-length ADCK4	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903499	CHEMBL1061132	Binding constant for full-length ADCK4	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903500	CHEMBL1061132	Binding constant for full-length ADCK4	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903501	CHEMBL1061132	Binding constant for full-length ADCK4	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903502	CHEMBL1061132	Binding constant for full-length ADCK4	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903503	CHEMBL1061132	Binding constant for full-length ADCK4	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385	>	Kd	nM	10000.0	CHEMBL5753	Homo sapiens	Kd	uM	10.0
	2903504	CHEMBL1061132	Binding constant for full-length ADCK4	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828	=	Kd	nM	1700.0	CHEMBL5753	Homo sapiens	Kd	nM	1700.0
	2921445	CHEMBL1057566	Inhibition of ADCK4 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	77.0	CHEMBL5753	Homo sapiens	Activity	%	77.0
	3331821	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3333236	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3334641	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3336061	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3337447	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1		CHEMBL1163510	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3337695	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1		CHEMBL1163518	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3339026	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	COC1CCN(C(=O)c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cc2)CC1		CHEMBL1163567	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3339282	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCC(N2CCCC2)CC1		CHEMBL1163559	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3340589	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3342005	CHEMBL1168780	Inhibition of ADCK4 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL5753	Homo sapiens	INH	%	50.0
	3358448	CHEMBL1174062	Inhibition of ADCK4 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	85.0	CHEMBL5753	Homo sapiens	INH	%	85.0
