activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	750634	CHEMBL649030	Inhibition of Aurora kinase B	B	O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1		CHEMBL115220	>	IC50	nM	10000.0	CHEMBL2185	Homo sapiens	IC50	nM	10000.0
	750634	CHEMBL649030	Inhibition of Aurora kinase B	B	O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1		CHEMBL115220	>	IC50	nM	10000.0	CHEMBL2185	Homo sapiens	IC50	nM	10000.0
	1504930	CHEMBL831066	Inhibitory activity against Aurora kinase B	B	CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1		CHEMBL363160	=	IC50	nM	135.0	CHEMBL2185	Homo sapiens	IC50	nM	135.0
	1504932	CHEMBL827046	Inhibition of Aurora kinase B	B	CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1		CHEMBL363160	=	IC50	nM	135.0	CHEMBL2185	Homo sapiens	IC50	nM	135.0
	1722956	CHEMBL860193	Inhibition of Aurora2	B	CCOc1nc(NC(C)=O)cc(N)c1C#N		CHEMBL208637	>	Ki	nM	6700.0	CHEMBL2185	Homo sapiens	Ki	nM	6700.0
	1722967	CHEMBL860193	Inhibition of Aurora2	B	CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl		CHEMBL210928	>	Ki	nM	6700.0	CHEMBL2185	Homo sapiens	Ki	nM	6700.0
	1722968	CHEMBL860193	Inhibition of Aurora2	B	CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1		CHEMBL210032	>	Ki	nM	6700.0	CHEMBL2185	Homo sapiens	Ki	nM	6700.0
	1722969	CHEMBL860193	Inhibition of Aurora2	B	COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1		CHEMBL378627	>	Ki	nM	6700.0	CHEMBL2185	Homo sapiens	Ki	nM	6700.0
	1722970	CHEMBL860193	Inhibition of Aurora2	B	CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N		CHEMBL210963	>	Ki	nM	6700.0	CHEMBL2185	Homo sapiens	Ki	nM	6700.0
	1722971	CHEMBL860193	Inhibition of Aurora2	B	CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N		CHEMBL210618	>	Ki	nM	6700.0	CHEMBL2185	Homo sapiens	Ki	nM	6700.0
	1744515	CHEMBL867289	Inhibition of Aurora2	B	CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl		CHEMBL377383	>	Ki	nM	6700.0	CHEMBL2185	Homo sapiens	Ki	uM	6.7
	1765520	CHEMBL871548	Inhibition of Aurora2 by HTRF kinase assay	B	CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4OC4CCN(C)CC4)ccc3C)ccc2n1		CHEMBL386661	>	IC50	nM	25000.0	CHEMBL2185	Homo sapiens	IC50	uM	25.0
	1765530	CHEMBL871548	Inhibition of Aurora2 by HTRF kinase assay	B	Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1		CHEMBL215943	>	IC50	nM	25000.0	CHEMBL2185	Homo sapiens	IC50	uM	25.0
	1779365	CHEMBL854975	Inhibition of recombinant Aurora B by ELISA	B	Clc1ccc2c(c1Nc1ncnc3cc(OCCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2		CHEMBL217090	=	IC50	nM	8900.0	CHEMBL2185	Homo sapiens	IC50	uM	8.9
	1779387	CHEMBL854975	Inhibition of recombinant Aurora B by ELISA	B	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1		CHEMBL217092	>	IC50	nM	10000.0	CHEMBL2185	Homo sapiens	IC50	uM	10.0
