activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	18153069	CHEMBL4034400	Inhibition of MASTL Lysine 1 labelling site (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	=	Inhibition	%	-8.9	CHEMBL4105826	Homo sapiens	INH	%	-8.9
	18153069	CHEMBL4034400	Inhibition of MASTL Lysine 1 labelling site (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	=	Inhibition	%	-8.9	CHEMBL4105826	Homo sapiens	INH	%	-8.9
	18153275	CHEMBL4034399	Inhibition of MASTL ATP binding site (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	=	Inhibition	%	-4.4	CHEMBL4105826	Homo sapiens	INH	%	-4.4
	18275085	CHEMBL4118407	Inhibition of MASTL in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled LYAVKVVK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1Cl		CHEMBL3883384	=	Inhibition	%	49.9	CHEMBL4105826	Homo sapiens	INH	%	49.9
	18275086	CHEMBL4118407	Inhibition of MASTL in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled LYAVKVVK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Oc1nc(Nc2cnn(CCOC)c2)ncc1Cl		CHEMBL3884839	=	Inhibition	%	41.3	CHEMBL4105826	Homo sapiens	INH	%	41.3
	18275087	CHEMBL4118407	Inhibition of MASTL in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled LYAVKVVK probe by mass-spectrometric analysis relative to control	B	COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O		CHEMBL1077979	=	Inhibition	%	51.7	CHEMBL4105826	Homo sapiens	INH	%	51.7
	18992032	CHEMBL4341423	Binding affinity to MASTL in human A549 cells lysates grown on SILAC media at 10 uM incubated for 1 hr by LC-MS/MS analysis relative to untreated control	B	C#CCOC(=O)/C(C)=C(C)\C=C\[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3[C@@H]4O[C@@H]4C4=CC=CC(=O)[C@]4(C)[C@H]3CC[C@@]21C		CHEMBL4438535	=	log2FC		1.284	CHEMBL4105826	Homo sapiens	log2FC		1.284
	19091996	CHEMBL4366470	Inhibition of human MASTL at 100 nM using ERK2 as substrate by [gamma-33P]-ATP assay	B	COc1ccc(N2C(=O)COc3ccc(-c4cnc(OC)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc32)cc1		CHEMBL4528675	=	Inhibition	%	-1.96	CHEMBL4105826	Homo sapiens	INH	%	-1.96
	23120680	CHEMBL4804430	Inhibition of MASTL in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2cccc3ncsc23)cc1-c1ccc2c(c1)CCNC2=O	Outside typical range	CHEMBL4855542	=	IC50	nM	-2000.0	CHEMBL4105826	Homo sapiens	IC50	uM	-2.0
	23120681	CHEMBL4804430	Inhibition of MASTL in human NCI-H929 cells by mass spectroscopic analysis	B	CN(C1CC1)S(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc4c(c3)CCNC4=O)c2)c(F)c1		CHEMBL4860979	=	IC50	nM	10200.0	CHEMBL4105826	Homo sapiens	IC50	uM	10.2
	23120682	CHEMBL4804430	Inhibition of MASTL in human NCI-H929 cells by mass spectroscopic analysis	B	COc1cc(NS(=O)(=O)C2CC2)ccc1-c1cnc(N)c(-c2ccc3c(c2)CCNC3=O)c1		CHEMBL4867931	=	IC50	nM	40900.0	CHEMBL4105826	Homo sapiens	IC50	uM	40.9
	23120683	CHEMBL4804430	Inhibition of MASTL in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2F)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4855730	=	IC50	nM	14600.0	CHEMBL4105826	Homo sapiens	IC50	uM	14.6
	23120684	CHEMBL4804430	Inhibition of MASTL in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2OC2CCCCC2)cc1-c1ccc2c(c1)CCNC2=O	Outside typical range	CHEMBL4868141	=	IC50	nM	-9600.0	CHEMBL4105826	Homo sapiens	IC50	uM	-9.6
	23120685	CHEMBL4804430	Inhibition of MASTL in human NCI-H929 cells by mass spectroscopic analysis	B	Nc1ncc(-c2cccc([N+](=O)[O-])c2F)cc1-c1ccc2c(c1)CCNC2=O	Outside typical range	CHEMBL4859660	=	IC50	nM	-18400.0	CHEMBL4105826	Homo sapiens	IC50	uM	-18.4
	23121719	CHEMBL4804612	Inhibition of MASTL in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2cccc3ncsc23)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4855542	=	Inhibition	%	0.0	CHEMBL4105826	Homo sapiens	INH	%	0.0
	23121720	CHEMBL4804612	Inhibition of MASTL in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	CN(C1CC1)S(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc4c(c3)CCNC4=O)c2)c(F)c1		CHEMBL4860979	=	Inhibition	%	0.0	CHEMBL4105826	Homo sapiens	INH	%	0.0
	23121721	CHEMBL4804612	Inhibition of MASTL in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	COc1cc(NS(=O)(=O)C2CC2)ccc1-c1cnc(N)c(-c2ccc3c(c2)CCNC3=O)c1		CHEMBL4867931	=	Inhibition	%	35.0	CHEMBL4105826	Homo sapiens	INH	%	35.0
	23121722	CHEMBL4804612	Inhibition of MASTL in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2F)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4855730	=	Inhibition	%	0.0	CHEMBL4105826	Homo sapiens	INH	%	0.0
	23121723	CHEMBL4804612	Inhibition of MASTL in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2ccc(NS(=O)(=O)C3CC3)cc2OC2CCCCC2)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4868141	=	Inhibition	%	0.0	CHEMBL4105826	Homo sapiens	INH	%	0.0
	23121724	CHEMBL4804612	Inhibition of MASTL in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control	B	Nc1ncc(-c2cccc([N+](=O)[O-])c2F)cc1-c1ccc2c(c1)CCNC2=O		CHEMBL4859660	=	Inhibition	%	0.0	CHEMBL4105826	Homo sapiens	INH	%	0.0
	23372814	CHEMBL4884779	MASTL(MASLLGE1) Takeda global kinase panel	B	CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21		CHEMBL4088216		IC50	nM	1000.0	CHEMBL4105826	Homo sapiens	pIC50		6.0
	23373223	CHEMBL4885070	MASTL(MASLLGE1) Takeda global kinase panel	B	CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21		CHEMBL4549667		IC50	nM	1000.0	CHEMBL4105826	Homo sapiens	pIC50		6.0
	23373581	CHEMBL4885358	MASTL(MASLLGE1) Takeda global kinase panel	B	CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21		CHEMBL4097778		IC50	nM	1000.0	CHEMBL4105826	Homo sapiens	pIC50		6.0
Not Active	23383635	CHEMBL4887291	MASTL Invitrogen Lab (UK) kinase screen (BI)	B	CCC(F)(F)c1cc(N2CCC(S(C)(=O)=O)CC2)nc2sc(C(N)=O)c(N)c12		CHEMBL4522930		% Ctrl	%	85.0	CHEMBL4105826	Homo sapiens	% Ctrl	%	85.0
