activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	6385693	CHEMBL1838138	Inhibition of human Wnk4 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1		CHEMBL1834114	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	6385693	CHEMBL1838138	Inhibition of human Wnk4 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1		CHEMBL1834114	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	6385694	CHEMBL1838138	Inhibition of human Wnk4 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCNc2ccccn2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CCCC1		CHEMBL1834318	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	6385695	CHEMBL1838138	Inhibition of human Wnk4 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1834323	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	6385696	CHEMBL1838138	Inhibition of human Wnk4 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	CC(C)[C@@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1834324	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	6385697	CHEMBL1838138	Inhibition of human Wnk4 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCNc2ccccn2)c2c3c1c(=O)c(C(=O)O)cn3C1(CCCC1)CO2		CHEMBL1834330	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	13432901	CHEMBL2424218	Inhibition of Wnk4 in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(NC1(Cc2ccc(F)cc2)CC1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420551	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	13432902	CHEMBL2424218	Inhibition of Wnk4 in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(NC1(c2ccc(F)cc2)CC1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420555	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	13432903	CHEMBL2424218	Inhibition of Wnk4 in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(NC1(c2ccccc2)CCC1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420573	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	13432904	CHEMBL2424218	Inhibition of Wnk4 in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(NC1(c2ccccc2)CC1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420572	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	13432905	CHEMBL2424218	Inhibition of Wnk4 in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	CC(C)(NC(=O)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1)c1ccccc1		CHEMBL2420570	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	13432906	CHEMBL2424218	Inhibition of Wnk4 in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	CCC[C@@H](NC(=O)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1)c1ccccc1		CHEMBL2420565	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
	13432907	CHEMBL2424218	Inhibition of Wnk4 in human PC3 cell lysates at 10 uM using desthiobiotin-tagged ATP probe AX9989 followed by trypsinization by LC/MS analysis	B	O=C(N[C@H](CO)c1ccccc1)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1		CHEMBL2420564	<	Inhibition	%	35.0	CHEMBL1795196	Homo sapiens	INH	%	35.0
