activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1671494	CHEMBL869958	Inhibition of PBK at 10 uM	B	Cc1c(Nc2ccc(Br)cc2F)c(C(=O)NOCCO)cn(C)c1=O		CHEMBL199860	=	Inhibition	%	-8.0	CHEMBL4896	Homo sapiens	Inhibition	%	-8.0
	1671494	CHEMBL869958	Inhibition of PBK at 10 uM	B	Cc1c(Nc2ccc(Br)cc2F)c(C(=O)NOCCO)cn(C)c1=O		CHEMBL199860	=	Inhibition	%	-8.0	CHEMBL4896	Homo sapiens	Inhibition	%	-8.0
	1671523	CHEMBL869958	Inhibition of PBK at 10 uM	B	CCONC(=O)c1cn(C)c(=O)c(F)c1Nc1ccc(Br)cc1F		CHEMBL201426	=	Inhibition	%	-1.0	CHEMBL4896	Homo sapiens	Inhibition	%	-1.0
	1671547	CHEMBL869958	Inhibition of PBK at 10 uM	B	CONC(=O)c1cn(C)c(=O)c(C)c1Nc1ccc(Br)cc1F		CHEMBL426840	=	Inhibition	%	-4.0	CHEMBL4896	Homo sapiens	Inhibition	%	-4.0
	1671639	CHEMBL869958	Inhibition of PBK at 10 uM	B	CCONC(=O)c1cn(C)c(=O)c(C)c1Nc1ccc(Br)cc1F		CHEMBL203138	=	Inhibition	%	3.0	CHEMBL4896	Homo sapiens	Inhibition	%	3.0
	1790359	CHEMBL856386	Percent residual activity, relative to control, of PBK at 1uM concentration of inhibitor in presence of 50uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12		CHEMBL413460	=	Activity	%	67.0	CHEMBL4896	Homo sapiens	Activity	%	67.0
	1790413	CHEMBL856386	Percent residual activity, relative to control, of PBK at 1uM concentration of inhibitor in presence of 50uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O		CHEMBL279185	=	Activity	%	88.0	CHEMBL4896	Homo sapiens	Activity	%	88.0
	2051585	CHEMBL942726	Inhibition of PBK	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	=	Ki	nM	5195.0	CHEMBL4896	Homo sapiens	Ki	uM	5.195
	2101316	CHEMBL949027	Inhibition of PBK at 10 uM	B	CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1		CHEMBL257834	=	Inhibition	%	75.0	CHEMBL4896	Homo sapiens	Inhibition	%	75.0
	2279717	CHEMBL960131	Inhibition of PBK at 10 uM	B	CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1		CHEMBL493937	>	Inhibition	%	50.0	CHEMBL4896	Homo sapiens	INH	%	50.0
