activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470263	CHEMBL987182	Inhibition of MARK4 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5754	Homo sapiens	INH	%	10.0
	2470263	CHEMBL987182	Inhibition of MARK4 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5754	Homo sapiens	INH	%	10.0
Not Evaluated	2476726	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2478565	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5754	Homo sapiens	Activity		
	2478768	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	14.05	CHEMBL5754	Homo sapiens	Activity	%	14.05
Not Evaluated	2479623	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2479826	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167		Activity			CHEMBL5754	Homo sapiens	Activity		
Active	2480623	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2480825	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2577244	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2577447	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2593652	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2593918	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2594121	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2594861	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2595064	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2596261	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2596464	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019		Activity			CHEMBL5754	Homo sapiens	Activity		
Not Evaluated	2597733	CHEMBL982754	Binding affinity to human MARK4 at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL5754	Homo sapiens	Activity		
	2900456	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900457	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900458	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900459	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900460	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900461	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900462	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	=	Kd	nM	1700.0	CHEMBL5754	Homo sapiens	Kd	nM	1700.0
	2900463	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900464	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900465	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900466	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900467	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900468	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
	2900469	CHEMBL1051302	Binding constant for MARK4 kinase domain	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL5754	Homo sapiens	Kd	uM	10.0
