activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051682	CHEMBL941817	Inhibition of TSSK2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1526.0	CHEMBL6014	Homo sapiens	Ki	uM	1.526
	2051682	CHEMBL941817	Inhibition of TSSK2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1526.0	CHEMBL6014	Homo sapiens	Ki	uM	1.526
	2147404	CHEMBL922183	Activity of human TSSK2 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	101.0	CHEMBL6014	Homo sapiens	Activity	%	101.0
	2721736	CHEMBL1053581	Inhibition of TSSK2 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL6014	Homo sapiens	INH	%	50.0
	2938434	CHEMBL1036954	Inhibition of TSSK2 at 1 uM	B	Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1		CHEMBL583042	=	Inhibition	%	3.0	CHEMBL6014	Homo sapiens	INH	%	3.0
	3052502	CHEMBL1072540	Residual activity of TSK2 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	96.0	CHEMBL6014	Homo sapiens	Residual activity	%	96.0
	3052754	CHEMBL1043833	Residual activity of TSK2 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	98.0	CHEMBL6014	Homo sapiens	Residual activity	%	98.0
	3054063	CHEMBL1073362	Residual activity of TSK2 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	111.0	CHEMBL6014	Homo sapiens	Residual activity	%	111.0
	3055350	CHEMBL1072540	Residual activity of TSK2 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	97.0	CHEMBL6014	Homo sapiens	Residual activity	%	97.0
	3055602	CHEMBL1043833	Residual activity of TSK2 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	92.0	CHEMBL6014	Homo sapiens	Residual activity	%	92.0
