activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	15220929	CHEMBL3418524	Inhibition of TSSK3 (unknown origin)	B	NC(=O)c1ncc(N[C@@H]2CCCC[C@@H]2N)cc1-c1nc2ccccc2[nH]1		CHEMBL3415608	=	IC50	nM	420.0	CHEMBL3414416	Homo sapiens	IC50	nM	420.0
	15220929	CHEMBL3418524	Inhibition of TSSK3 (unknown origin)	B	NC(=O)c1ncc(N[C@@H]2CCCC[C@@H]2N)cc1-c1nc2ccccc2[nH]1		CHEMBL3415608	=	IC50	nM	420.0	CHEMBL3414416	Homo sapiens	IC50	nM	420.0
	15756780	CHEMBL3631611	Inhibition of TSSK3 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1		CHEMBL166031	=	Inhibition	%	11.21	CHEMBL3414416	Homo sapiens	INH	%	11.21
	15757943	CHEMBL3631611	Inhibition of TSSK3 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N4CCOCC4)nc3-c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3)n2)c1		CHEMBL3628627	=	Inhibition	%	10.5	CHEMBL3414416	Homo sapiens	INH	%	10.5
	15758922	CHEMBL3631611	Inhibition of TSSK3 (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC		CHEMBL3628628	=	Inhibition	%	15.01	CHEMBL3414416	Homo sapiens	INH	%	15.01
	16432038	CHEMBL3750192	Inhibition of human TSSK3 using [KKKVSRSGLYRSPSMPENLNRPR] as substrate	B	Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21		CHEMBL3745885	>	IC50	nM	5000.0	CHEMBL3414416	Homo sapiens	IC50	uM	5.0
	16781883	CHEMBL3865681	Inhibition of TSSK3 (unknown origin)	B	NC(=O)c1ncc(N[C@@H]2CCCC[C@@H]2N)nc1-c1nc2ccccc2[nH]1		CHEMBL3943181	=	IC50	nM	420.0	CHEMBL3414416	Homo sapiens	IC50	nM	420.0
	18114894	CHEMBL4025424	Inhibition of wild-type human full length TSSK3 (M1 to T268 residues) expressed in mammalian expression system assessed as residual activity at 1 uM by Kinomescan method relative to control	B	C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1		CHEMBL4077123	=	Activity	%	100.0	CHEMBL3414416	Homo sapiens	Activity	%	100.0
	18203948	CHEMBL4044235	Inhibition of wild-type human full length TSSK3 (M1 to T268 residues) expressed in HEK293 cells assessed as residual activity at 1000 nM after 30 mins by Kinomescan method relative to control	B	COc1cc(OC)c(Cl)c(N2Cc3cnc(Nc4ccc(F)cc4)nc3N(C3CCN(C(=O)/C=C/CN(C)C)CC3)C2=O)c1Cl		CHEMBL4092508	=	Activity	%	100.0	CHEMBL3414416	Homo sapiens	Activity	%	100.0
	18440490	CHEMBL4157314	Binding affinity to wild-type human full length TSSK3 (M1 to T268 residues) expressed in mammalian expression system assessed as residual binding at 1 uM by Kinomescan method relative to control	B	Cc1cccc(S(=O)(=O)Nc2cc(-c3sc(NC(=O)[C@@H](N)C(C)C)nc3C)cnc2Cl)c1		CHEMBL4174988	=	Activity	%	96.0	CHEMBL3414416	Homo sapiens	Activity	%	96.0
