activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	3462474	CHEMBL1252891	Induction of TRPM7 S-nitrosylation in HEK cells assessed as increase in Ca2+ level from extracellular space at 30 uM	B	O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cn2)nc1		CHEMBL120580		Activity			CHEMBL1250412	Homo sapiens	Activity		
Not Active	3462474	CHEMBL1252891	Induction of TRPM7 S-nitrosylation in HEK cells assessed as increase in Ca2+ level from extracellular space at 30 uM	B	O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cn2)nc1		CHEMBL120580		Activity			CHEMBL1250412	Homo sapiens	Activity		
	18507854	CHEMBL4190908	Inhibition of recombinant human ChaK1 (1180 to end residues) at 1 uM using myelin basic protein as substrate after 40 mins in presence of [gamma-33P]ATP by scintillation counting method	B	CS(=O)(=O)c1ccc(-n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)cc1	Outside typical range	CHEMBL4207014	=	Inhibition	%	-11.0	CHEMBL1250412	Homo sapiens	INH	%	-11.0
	18892782	CHEMBL4314626	Inhibition of recombinant human CHAK1 (1180 to end residues) assessed as residual activity at 10 uM using myelin basic protein as substrate measured after 40 mins in presence of [gamma33P]ATP by scintillation counting method	B	Cc1cc(C)c(CNc2nc(Cl)nc3c2ncn3C2CCCC2)c(=O)[nH]1		CHEMBL4557538	=	Activity	%	108.5	CHEMBL1250412	Homo sapiens	Activity	%	108.5
	18964165	CHEMBL4335018	Inhibition of recombinant human CHAK1 (1180 to end residues) assessed as residual activity at 1 uM using myelin basic protein as substrate incubated for 40 mins in presence of [gamma-33ATP] by scintillation counting based radiometry assay relative to control	B	N=C1NC(=O)/C(=C\c2ccc(-c3cccc([N+](=O)[O-])c3)o2)S1		CHEMBL4455512	=	Activity	%	104.0	CHEMBL1250412	Homo sapiens	Activity	%	104.0
	18964166	CHEMBL4335018	Inhibition of recombinant human CHAK1 (1180 to end residues) assessed as residual activity at 1 uM using myelin basic protein as substrate incubated for 40 mins in presence of [gamma-33ATP] by scintillation counting based radiometry assay relative to control	B	C=CCOC(=O)c1cc(-c2ccc(/C=C3/NC(=S)NC3=O)o2)ccc1Cl		CHEMBL4568120	=	Activity	%	99.0	CHEMBL1250412	Homo sapiens	Activity	%	99.0
	18971836	CHEMBL4336846	Inhibition of recombinant human CHAK1 (1180 to end residues) assessed as residual activity at 10 uM using myelin basic protein as substrate incubated for 40 mins in presence of [gamma-33ATP] by scintillation counting based radiometry assay relative to control	B	C[C@@H](c1ccccc1)n1nnc2cnc3ccc(-c4cnc5[nH]ccc5c4)cc3c21		CHEMBL4472294	=	Activity	%	66.0	CHEMBL1250412	Homo sapiens	Activity	%	66.0
Not Active	19039845	CHEMBL4351799	Inhibition of recombinant human CHAK1 (1180 to end residues) at 10 uM using myelin basic protein as substrate measured after 40 mins in presence of [gamma33P]ATP by scintillation counting method	B	CN1C[C@H](Nc2nc3cc[nH]c3c(=O)n2C)C[C@H](c2ccc3c(c2)OCCO3)C1		CHEMBL4574669		Inhibition	%		CHEMBL1250412	Homo sapiens	INH		
	19092193	CHEMBL4366667	Inhibition of human TRPM7 at 100 nM using MBP as substrate by [gamma-33P]-ATP assay	B	COc1ccc(N2C(=O)COc3ccc(-c4cnc(OC)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc32)cc1		CHEMBL4528675	=	Inhibition	%	1.61	CHEMBL1250412	Homo sapiens	INH	%	1.61
	19144699	CHEMBL4377715	Inhibition of recombinant human CHAK1 (1180 to end residues) at 1 uM using myelin basic protein as substrate measured after 40 mins in presence of [gamma33P]ATP by scintillation counting method relative to control	B	CN(C)C(=O)c1cc2cnc(Nc3ccc(NC(=O)CCCCCCCN=C=S)cc3)nc2n1C1CCCC1		CHEMBL4548580	=	Inhibition	%	16.0	CHEMBL1250412	Homo sapiens	INH	%	16.0
