activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147338	CHEMBL922023	Activity of human PASK kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	114.0	CHEMBL6054	Homo sapiens	Activity	%	114.0
	2147338	CHEMBL922023	Activity of human PASK kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	114.0	CHEMBL6054	Homo sapiens	Activity	%	114.0
	2721678	CHEMBL1057487	Inhibition of PASK at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL6054	Homo sapiens	INH	%	50.0
	2938466	CHEMBL1041399	Inhibition of PASK at 1 uM	B	Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1		CHEMBL583042	=	Inhibition	%	19.0	CHEMBL6054	Homo sapiens	INH	%	19.0
	3052433	CHEMBL1069814	Residual activity of PASK at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	89.0	CHEMBL6054	Homo sapiens	Residual activity	%	89.0
	3052685	CHEMBL1041172	Residual activity of PASK at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	83.0	CHEMBL6054	Homo sapiens	Residual activity	%	83.0
	3053994	CHEMBL1050325	Residual activity of PASK at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	79.0	CHEMBL6054	Homo sapiens	Residual activity	%	79.0
	3054246	CHEMBL1069814	Residual activity of PASK at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	92.0	CHEMBL6054	Homo sapiens	Residual activity	%	92.0
	3055533	CHEMBL1041172	Residual activity of PASK at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	88.0	CHEMBL6054	Homo sapiens	Residual activity	%	88.0
	3056838	CHEMBL1050325	Residual activity of PASK at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	96.0	CHEMBL6054	Homo sapiens	Residual activity	%	96.0
