activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650036	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL5284	Homo sapiens	Kd		
Not Active	1650036	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL5284	Homo sapiens	Kd		
	1650037	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	=	Kd	nM	2200.0	CHEMBL5284	Homo sapiens	Kd	uM	2.2
Not Active	1650038	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL5284	Homo sapiens	Kd		
	1650039	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	5800.0	CHEMBL5284	Homo sapiens	Kd	uM	5.8
Not Active	1650040	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL5284	Homo sapiens	Kd		
	1650041	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	=	Kd	nM	1100.0	CHEMBL5284	Homo sapiens	Kd	uM	1.1
Not Active	1650042	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336		Kd			CHEMBL5284	Homo sapiens	Kd		
Not Active	1650043	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762		Kd			CHEMBL5284	Homo sapiens	Kd		
	1650044	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	=	Kd	nM	320.0	CHEMBL5284	Homo sapiens	Kd	uM	0.32
	1651797	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	Kd	nM	0.05	CHEMBL5284	Homo sapiens	Kd	uM	0.00005
Not Active	1651798	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041		Kd			CHEMBL5284	Homo sapiens	Kd		
Not Active	1651799	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10		Kd			CHEMBL5284	Homo sapiens	Kd		
Not Active	1651800	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385		Kd			CHEMBL5284	Homo sapiens	Kd		
Not Active	1651801	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667		Kd			CHEMBL5284	Homo sapiens	Kd		
	1651802	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	Oc1c2ccccc2c2c3c(cccc13)N=N2		CHEMBL1725279	=	Kd	nM	7500.0	CHEMBL5284	Homo sapiens	Kd	uM	7.5
Not Active	1651803	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941		Kd			CHEMBL5284	Homo sapiens	Kd		
Not Active	1651804	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939		Kd			CHEMBL5284	Homo sapiens	Kd		
Not Active	1651805	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553		Kd			CHEMBL5284	Homo sapiens	Kd		
Not Active	1651806	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828		Kd			CHEMBL5284	Homo sapiens	Kd		
Not Active	1651807	CHEMBL860655	Average Binding Constant for CAMKK2; NA=Not Active at 10 uM	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965		Kd			CHEMBL5284	Homo sapiens	Kd		
	2136986	CHEMBL940168	Inhibition of CaM-KKbeta	B	O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12		CHEMBL104264	=	Ki	nM	29700.0	CHEMBL5284	Homo sapiens	Ki	nM	29700.0
	2136988	CHEMBL940168	Inhibition of CaM-KKbeta	B	N=C(N)NCCNS(=O)(=O)c1cccc2cnccc12		CHEMBL143054	=	Ki	nM	13000.0	CHEMBL5284	Homo sapiens	Ki	nM	13000.0
	2137095	CHEMBL940168	Inhibition of CaM-KKbeta	B	COC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL416056	=	Ki	nM	1.8	CHEMBL5284	Homo sapiens	Ki	nM	1.8
	2137123	CHEMBL940168	Inhibition of CaM-KKbeta	B	O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O		CHEMBL319620	=	IC50	nM	200.0	CHEMBL5284	Homo sapiens	IC50	nM	200.0
	2137359	CHEMBL940168	Inhibition of CaM-KKbeta	B	CC(=O)O.O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21		CHEMBL265470	=	IC50	ug.mL-1	0.04	CHEMBL5284	Homo sapiens	IC50	ng/ml	40.0
Not Active	2302206	CHEMBL945699	Inhibition of human CAMKKbeta at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL5284	Homo sapiens	INH		
	2470167	CHEMBL1034116	Inhibition of CAMKK2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5284	Homo sapiens	INH	%	10.0
Not Evaluated	2476730	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5284	Homo sapiens	Activity		
Not Evaluated	2478569	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5284	Homo sapiens	Activity		
Not Evaluated	2478772	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755		Activity			CHEMBL5284	Homo sapiens	Activity		
	2479627	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312	=	Activity	%	3.7	CHEMBL5284	Homo sapiens	Activity	%	3.7
Not Evaluated	2479830	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167		Activity			CHEMBL5284	Homo sapiens	Activity		
	2480627	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409	=	Activity	%	0.1	CHEMBL5284	Homo sapiens	Activity	%	0.1
Not Evaluated	2480829	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878		Activity			CHEMBL5284	Homo sapiens	Activity		
Not Evaluated	2577248	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5284	Homo sapiens	Activity		
Not Evaluated	2577451	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL5284	Homo sapiens	Activity		
Not Evaluated	2593656	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097		Activity			CHEMBL5284	Homo sapiens	Activity		
Not Evaluated	2593922	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519		Activity			CHEMBL5284	Homo sapiens	Activity		
Not Evaluated	2594125	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL5284	Homo sapiens	Activity		
Not Evaluated	2594865	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL5284	Homo sapiens	Activity		
Not Evaluated	2595068	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL5284	Homo sapiens	Activity		
	2596265	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342	=	Activity	%	2.8	CHEMBL5284	Homo sapiens	Activity	%	2.8
	2596468	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019	=	Activity	%	35.4	CHEMBL5284	Homo sapiens	Activity	%	35.4
Not Evaluated	2597737	CHEMBL982758	Binding affinity to human CAMKK2 at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL5284	Homo sapiens	Activity		
	2635190	CHEMBL1000629	Inhibition of CAMKKb at 1 uM relative to control	B	CSc1cc(Oc2ccnc3[nH]c(=O)[nH]c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1		CHEMBL496009	=	Residual_activity	%	50.0	CHEMBL5284	Homo sapiens	Residual_activity	%	50.0
	2635933	CHEMBL1000629	Inhibition of CAMKKb at 1 uM relative to control	B	O=C(Nc1cc(C(F)(F)F)ccc1F)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c2ccccc12		CHEMBL498112	=	Residual_activity	%	100.0	CHEMBL5284	Homo sapiens	Residual_activity	%	100.0
	2636001	CHEMBL1000629	Inhibition of CAMKKb at 1 uM relative to control	B	CC(C)(C)c1cccc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)c3ccccc23)c1		CHEMBL496073	=	Residual_activity	%	75.0	CHEMBL5284	Homo sapiens	Residual_activity	%	75.0
