activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1744615	CHEMBL866835	Inhibition of SRPK1	B	O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F		CHEMBL377734	>	IC50	nM	10000.0	CHEMBL4375	Homo sapiens	IC50	nM	10000.0
	1744615	CHEMBL866835	Inhibition of SRPK1	B	O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F		CHEMBL377734	>	IC50	nM	10000.0	CHEMBL4375	Homo sapiens	IC50	nM	10000.0
	1790360	CHEMBL856387	Percent residual activity, relative to control, of SRPK1 at 1 uM concentration of inhibitor in presence of 50 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12		CHEMBL413460	=	Activity	%	99.0	CHEMBL4375	Homo sapiens	Activity	%	99.0
	1790414	CHEMBL856387	Percent residual activity, relative to control, of SRPK1 at 1 uM concentration of inhibitor in presence of 50 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O		CHEMBL279185	=	Activity	%	100.0	CHEMBL4375	Homo sapiens	Activity	%	100.0
	2051574	CHEMBL942715	Inhibition of SRPK1	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	=	Ki	nM	2307.0	CHEMBL4375	Homo sapiens	Ki	uM	2.307
	2101326	CHEMBL949034	Inhibition of SRPK1 at 10 uM	B	CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1		CHEMBL257834	=	Inhibition	%	60.0	CHEMBL4375	Homo sapiens	Inhibition	%	60.0
	2147394	CHEMBL922179	Activity of human SRPK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	105.0	CHEMBL4375	Homo sapiens	Activity	%	105.0
Not Active	2302187	CHEMBL950856	Inhibition of SRPK1 at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL4375	Homo sapiens	INH		
	2470396	CHEMBL981778	Inhibition of SRPK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL4375	Homo sapiens	INH	%	10.0
Not Evaluated	2476761	CHEMBL983559	Binding affinity to human SRPK1 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL4375	Homo sapiens	Activity		
