activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Active	19341966	CHEMBL4419663	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate at 100 uM using 5'-TAMRA-tagged 20-mer oligonucleotide as substrate incubated for 30 mins by fluorescence quenching based assay	B	CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1		CHEMBL4303462		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341966	CHEMBL4419663	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate at 100 uM using 5'-TAMRA-tagged 20-mer oligonucleotide as substrate incubated for 30 mins by fluorescence quenching based assay	B	CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1		CHEMBL4303462		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341967	CHEMBL4419663	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate at 100 uM using 5'-TAMRA-tagged 20-mer oligonucleotide as substrate incubated for 30 mins by fluorescence quenching based assay	B	O=C1C2C=CC(C(O)c3ccccc3)N(Nc3ccc([N+](=O)[O-])cc3)C2C(=O)N1c1ccccc1		CHEMBL4592837		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341968	CHEMBL4419663	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate at 100 uM using 5'-TAMRA-tagged 20-mer oligonucleotide as substrate incubated for 30 mins by fluorescence quenching based assay	B	CN1C(=O)C2C=CC(C(O)C(c3ccccc3)c3ccccc3)N(NC(=O)OC(C)(C)C)C2C1=O		CHEMBL4446862		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341969	CHEMBL4419663	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate at 100 uM using 5'-TAMRA-tagged 20-mer oligonucleotide as substrate incubated for 30 mins by fluorescence quenching based assay	B	CN1C(=O)C2C=CC(C(O)c3cccs3)N(Nc3ccccc3)C2C1=O		CHEMBL4577028		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341970	CHEMBL4419663	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate at 100 uM using 5'-TAMRA-tagged 20-mer oligonucleotide as substrate incubated for 30 mins by fluorescence quenching based assay	B	COc1cc(C(O)C2C=CC3C(=O)N(c4ccccc4)C(=O)C3N2Nc2ccc([N+](=O)[O-])cc2)cc(OC)c1OC		CHEMBL4450001		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341971	CHEMBL4419664	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring 3'-phosphate removal from 5'-[32P]-labeled-20-mer single-stranded oligonucleotide at 0.001 to 10 uM incubated for 3 hrs by radio gel assay	B	CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1		CHEMBL4303462		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341972	CHEMBL4419664	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring 3'-phosphate removal from 5'-[32P]-labeled-20-mer single-stranded oligonucleotide at 0.001 to 10 uM incubated for 3 hrs by radio gel assay	B	O=C1C2C=CC(C(O)c3ccccc3)N(Nc3ccc([N+](=O)[O-])cc3)C2C(=O)N1c1ccccc1		CHEMBL4592837		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341973	CHEMBL4419664	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring 3'-phosphate removal from 5'-[32P]-labeled-20-mer single-stranded oligonucleotide at 0.001 to 10 uM incubated for 3 hrs by radio gel assay	B	CN1C(=O)C2C=CC(C(O)C(c3ccccc3)c3ccccc3)N(NC(=O)OC(C)(C)C)C2C1=O		CHEMBL4446862		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341974	CHEMBL4419664	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring 3'-phosphate removal from 5'-[32P]-labeled-20-mer single-stranded oligonucleotide at 0.001 to 10 uM incubated for 3 hrs by radio gel assay	B	CN1C(=O)C2C=CC(C(O)c3cccs3)N(Nc3ccccc3)C2C1=O		CHEMBL4577028		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
Active	19341975	CHEMBL4419664	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring 3'-phosphate removal from 5'-[32P]-labeled-20-mer single-stranded oligonucleotide at 0.001 to 10 uM incubated for 3 hrs by radio gel assay	B	COc1cc(C(O)C2C=CC3C(=O)N(c4ccccc4)C(=O)C3N2Nc2ccc([N+](=O)[O-])cc2)cc(OC)c1OC		CHEMBL4450001		Inhibition	%		CHEMBL4523434	Homo sapiens	INH		
	19341976	CHEMBL4419662	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate using 3'-phosphorylated 20-mer oligonucleotide by malachite green and molybdate dye based colorimetric assay	B	CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1		CHEMBL4303462	=	IC50	nM	60.0	CHEMBL4523434	Homo sapiens	IC50	uM	0.06
	19341977	CHEMBL4419662	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate using 3'-phosphorylated 20-mer oligonucleotide by malachite green and molybdate dye based colorimetric assay	B	CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1		CHEMBL4303462	=	Imax	uM	5.0	CHEMBL4523434	Homo sapiens	Imax	uM	5.0
	19341978	CHEMBL4419662	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate using 3'-phosphorylated 20-mer oligonucleotide by malachite green and molybdate dye based colorimetric assay	B	COc1cc(C(O)C2C=CC3C(=O)N(c4ccccc4)C(=O)C3N2Nc2ccc([N+](=O)[O-])cc2)cc(OC)c1OC		CHEMBL4450001	=	IC50	nM	300.0	CHEMBL4523434	Homo sapiens	IC50	uM	0.3
	19341981	CHEMBL4419659	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate at 50 uM using 5'-TAMRA-tagged 20-mer oligonucleotide as substrate incubated for 30 mins by fluorescence quenching based assay	B	CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1		CHEMBL4303462	=	Inhibition	%	85.0	CHEMBL4523434	Homo sapiens	INH	%	85.0
	19341987	CHEMBL4419653	Inhibition of recombinant human PNKP assessed as reduction in PNKP kinase activity by measuring at 50 uM using 20-mer oligonucleotide substrate and [gama-32P]ATP incubated for 20 mins relative to control	B	CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1		CHEMBL4303462	=	Inhibition	%	30.0	CHEMBL4523434	Homo sapiens	INH	%	30.0
	19341988	CHEMBL4419652	Inhibition of recombinant human PNKP assessed as reduction in PNKP kinase activity by measuring at 1 uM using 20-mer oligonucleotide substrate and [gama-32P]ATP incubated for 20 mins relative to control	B	CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1		CHEMBL4303462	=	Inhibition	%	16.0	CHEMBL4523434	Homo sapiens	INH	%	16.0
	19341999	CHEMBL4419640	Inhibition of recombinant human PNKP assessed as reduction in PNKP 3'-phosphatase activity by measuring release of inorganic phosphate using 5'-TAMRA-tagged 20-mer oligonucleotide as substrate incubated for 30 mins by fluorescence quenching based assay	B	CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1		CHEMBL4303462	=	IC50	nM	500.0	CHEMBL4523434	Homo sapiens	IC50	uM	0.5
