activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2948895	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1cccc2c1-c1[nH]nc(NCc3c(C)cccc3Cl)c1C2		CHEMBL574630	<	IC50	nM	10000.0	CHEMBL6029	Homo sapiens	pIC50		5.0
	2948895	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1cccc2c1-c1[nH]nc(NCc3c(C)cccc3Cl)c1C2		CHEMBL574630	<	IC50	nM	10000.0	CHEMBL6029	Homo sapiens	pIC50		5.0
	2948896	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1cc2c(cc1OC)-c1[nH]nc(NCc3c(Cl)cccc3Cl)c1CC2		CHEMBL566755	<	IC50	nM	10000.0	CHEMBL6029	Homo sapiens	pIC50		5.0
	2948897	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1cc2c(cc1OC)-c1[nH]nc(NCc3c(Cl)cccc3Cl)c1CCC2		CHEMBL566756	<	IC50	nM	10000.0	CHEMBL6029	Homo sapiens	pIC50		5.0
	2948898	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1ccccc1CNc1n[nH]c2c1Cc1cc(OC)c(OC)cc1-2		CHEMBL577153	=	IC50	nM	3162.28	CHEMBL6029	Homo sapiens	pIC50		5.5
	2948899	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1cc2c(cc1OC)-c1[nH]nc(NCc3ccc(Cl)cc3)c1C2		CHEMBL574010	=	IC50	nM	2511.89	CHEMBL6029	Homo sapiens	pIC50		5.6
	2948900	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1cc2c(cc1OC)-c1[nH]nc(NCc3c(Cl)cccc3Cl)c1C2		CHEMBL578663	=	IC50	nM	2511.89	CHEMBL6029	Homo sapiens	pIC50		5.6
	2948901	CHEMBL1058424	Inhibition of human HRI kinase	B	Cc1cccc(Cl)c1CNc1n[nH]c2c1Cc1ccccc1-2		CHEMBL583189	=	IC50	nM	1584.89	CHEMBL6029	Homo sapiens	pIC50		5.8
	2948902	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1cc2c(cc1OC)-c1[nH]nc(NCc3ccc(Cl)cc3Cl)c1C2		CHEMBL575915	=	IC50	nM	1258.93	CHEMBL6029	Homo sapiens	pIC50		5.9
	2948903	CHEMBL1058424	Inhibition of human HRI kinase	B	CSc1ccc2c(c1)-c1[nH]nc(NCc3c(C)cccc3Cl)c1C2		CHEMBL575078	=	IC50	nM	1000.0	CHEMBL6029	Homo sapiens	pIC50		6.0
	2948904	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1cc2c(cc1OC)-c1[nH]nc(NCc3cccc(Cl)c3)c1C2		CHEMBL574006	=	IC50	nM	1000.0	CHEMBL6029	Homo sapiens	pIC50		6.0
	2948905	CHEMBL1058424	Inhibition of human HRI kinase	B	COc1cccc2c1Cc1c(NCc3c(C)cccc3Cl)n[nH]c1-2		CHEMBL575914	=	IC50	nM	794.33	CHEMBL6029	Homo sapiens	pIC50		6.1
