activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470337	CHEMBL995016	Inhibition of RIOK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5975	Homo sapiens	INH	%	10.0
	2470337	CHEMBL995016	Inhibition of RIOK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5975	Homo sapiens	INH	%	10.0
	2596904	CHEMBL1017914	Inhibition of RIOK1 assessed as enzyme activity relative to control	B	C[C@@H]1CCN(C(=O)CC#N)C[C@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL459977	=	Activity	%	11.0	CHEMBL5975	Homo sapiens	Activity	%	11.0
	2596911	CHEMBL1017914	Inhibition of RIOK1 assessed as enzyme activity relative to control	B	C[C@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL457871	=	Activity	%	15.0	CHEMBL5975	Homo sapiens	Activity	%	15.0
	2892157	CHEMBL1051258	Binding constant for full-length RIOK1	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892158	CHEMBL1051258	Binding constant for full-length RIOK1	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892159	CHEMBL1051258	Binding constant for full-length RIOK1	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892160	CHEMBL1051258	Binding constant for full-length RIOK1	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892161	CHEMBL1051258	Binding constant for full-length RIOK1	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892162	CHEMBL1051258	Binding constant for full-length RIOK1	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892163	CHEMBL1051258	Binding constant for full-length RIOK1	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	=	Kd	nM	420.0	CHEMBL5975	Homo sapiens	Kd	nM	420.0
	2892164	CHEMBL1051258	Binding constant for full-length RIOK1	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892165	CHEMBL1051258	Binding constant for full-length RIOK1	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892166	CHEMBL1051258	Binding constant for full-length RIOK1	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892167	CHEMBL1051258	Binding constant for full-length RIOK1	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892168	CHEMBL1051258	Binding constant for full-length RIOK1	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892169	CHEMBL1051258	Binding constant for full-length RIOK1	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892170	CHEMBL1051258	Binding constant for full-length RIOK1	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892171	CHEMBL1051258	Binding constant for full-length RIOK1	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892172	CHEMBL1051258	Binding constant for full-length RIOK1	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892173	CHEMBL1051258	Binding constant for full-length RIOK1	B	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1		CHEMBL261849	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892174	CHEMBL1051258	Binding constant for full-length RIOK1	B	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O		CHEMBL477772	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2892175	CHEMBL1051258	Binding constant for full-length RIOK1	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2895979	CHEMBL1051258	Binding constant for full-length RIOK1	B	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F		CHEMBL191003	=	Kd	nM	1100.0	CHEMBL5975	Homo sapiens	Kd	nM	1100.0
	2895980	CHEMBL1051258	Binding constant for full-length RIOK1	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
	2895981	CHEMBL1051258	Binding constant for full-length RIOK1	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	=	Kd	nM	810.0	CHEMBL5975	Homo sapiens	Kd	nM	810.0
	2895982	CHEMBL1051258	Binding constant for full-length RIOK1	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5975	Homo sapiens	Kd	uM	10.0
