activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	15088852	CHEMBL3373454	Inhibition of human PI4K2alpha expressed in Escherichia coli BL21 after 60 mins by ADP-GloTM Kinase Assay	B	Nc1ncnc2c1ncn2[C@@H]1C[C@@]2(CO)CC[C@@H]1C2		CHEMBL3353011	=	IC50	nM	48900.0	CHEMBL2251	Homo sapiens	IC50	uM	48.9
	15088852	CHEMBL3373454	Inhibition of human PI4K2alpha expressed in Escherichia coli BL21 after 60 mins by ADP-GloTM Kinase Assay	B	Nc1ncnc2c1ncn2[C@@H]1C[C@@]2(CO)CC[C@@H]1C2		CHEMBL3353011	=	IC50	nM	48900.0	CHEMBL2251	Homo sapiens	IC50	uM	48.9
	15245215	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	COc1ccc(-c2c(C)nn3c(NCCN4CCOCC4)cc(C)nc23)cc1OC		CHEMBL2397317	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245216	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	COc1ccc(-c2c(C)nc3c(N)cc(Cl)nn23)cc1OC		CHEMBL3426603	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245217	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	COc1ccc(-c2c(C)nc3c(NCCNC(C)=O)ccnn23)cc1OC		CHEMBL3426602	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245218	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	CC(=O)NCCNc1cc(Cl)nn2c(-c3cccc(S(=O)(=O)NC(C)C)c3)c(C)nc12		CHEMBL3426601	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245219	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	CC(=O)NCCNc1cc(Cl)nn2c(-c3ccc(F)c(C=O)c3)c(C)nc12		CHEMBL3426600	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245220	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	COc1ccc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)cc1OC		CHEMBL3426599	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245221	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	COc1ccc(-c2c(C)nc3c(NCCN4CCOCC4)ccnn23)cc1OC		CHEMBL3426598	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245222	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	COc1ccc(-c2c(C)nn3c(NCCOC(C)=O)cc(C)nc23)cc1OC		CHEMBL3426597	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245223	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	COc1ccc(-c2c(C)nn3c(NCCNS(C)(=O)=O)cc(C)nc23)cc1OC		CHEMBL3426596	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245224	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	COc1ccc(-c2c(C)nn3c(NCCNC(=O)C(C)C)cc(C)nc23)cc1OC		CHEMBL3426595	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	15245225	CHEMBL3429700	Inhibition of PI4K2alpha (unknown origin) assessed as hydrolysis of ATP for 60 mins by ADP-Glo kinase assay	B	COc1ccc(-c2c(C)nn3c(NCCNC(C)=O)cc(C)nc23)cc1OC		CHEMBL3426594	>	IC50	nM	100000.0	CHEMBL2251	Homo sapiens	IC50	uM	100.0
	16525472	CHEMBL3789702	Inhibition of flag-tagged recombinant PI4K2alpha (unknown origin) transfected in HEK293T cells upto 20 uM preincubated for 15 mins followed by addition of cold ATP/gamma32P-ATP measured after 25 mins	B	COc1ccc(-c2sc(NC(=O)C3CCCC3)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1		CHEMBL3785311	<	Inhibition	%	50.0	CHEMBL2251	Homo sapiens	INH	%	50.0
	16525473	CHEMBL3789702	Inhibition of flag-tagged recombinant PI4K2alpha (unknown origin) transfected in HEK293T cells upto 20 uM preincubated for 15 mins followed by addition of cold ATP/gamma32P-ATP measured after 25 mins	B	COc1ccc(-c2sc(NC(=O)C(C)(C)C)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1		CHEMBL3786230	<	Inhibition	%	20.0	CHEMBL2251	Homo sapiens	INH	%	20.0
	16772335	CHEMBL3864063	Inhibition of PI4K2A (unknown origin) assessed as remaining enzyme activity by ADP-Glo kinase assay relative to untreated control	B	CNCCNS(=O)(=O)c1cc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)ccc1OC		CHEMBL3948269	=	Activity	%	73.0	CHEMBL2251	Homo sapiens	Activity	%	73.0
	16772336	CHEMBL3864063	Inhibition of PI4K2A (unknown origin) assessed as remaining enzyme activity by ADP-Glo kinase assay relative to untreated control	B	CCC(CO)NS(=O)(=O)c1cc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)ccc1OC		CHEMBL3911522	=	Activity	%	77.0	CHEMBL2251	Homo sapiens	Activity	%	77.0
	16772337	CHEMBL3864063	Inhibition of PI4K2A (unknown origin) assessed as remaining enzyme activity by ADP-Glo kinase assay relative to untreated control	B	COc1ccc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)cc1S(=O)(=O)N1CCC(CO)CC1		CHEMBL3902513	=	Activity	%	85.0	CHEMBL2251	Homo sapiens	Activity	%	85.0
	16772338	CHEMBL3864063	Inhibition of PI4K2A (unknown origin) assessed as remaining enzyme activity by ADP-Glo kinase assay relative to untreated control	B	COc1ccc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)cc1S(=O)(=O)NC1CC1		CHEMBL3939491	=	Activity	%	108.0	CHEMBL2251	Homo sapiens	Activity	%	108.0
	16772339	CHEMBL3864063	Inhibition of PI4K2A (unknown origin) assessed as remaining enzyme activity by ADP-Glo kinase assay relative to untreated control	B	COc1ccc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)cc1S(=O)(=O)N(C)C		CHEMBL3930509	=	Activity	%	104.0	CHEMBL2251	Homo sapiens	Activity	%	104.0
	16772340	CHEMBL3864063	Inhibition of PI4K2A (unknown origin) assessed as remaining enzyme activity by ADP-Glo kinase assay relative to untreated control	B	C=CCNS(=O)(=O)c1cc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)ccc1OC		CHEMBL3893537	=	Activity	%	93.0	CHEMBL2251	Homo sapiens	Activity	%	93.0
	16772341	CHEMBL3864063	Inhibition of PI4K2A (unknown origin) assessed as remaining enzyme activity by ADP-Glo kinase assay relative to untreated control	B	COc1ccc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)cc1S(=O)(=O)N1CCC(O)CC1		CHEMBL3921556	=	Activity	%	88.0	CHEMBL2251	Homo sapiens	Activity	%	88.0
	16772342	CHEMBL3864063	Inhibition of PI4K2A (unknown origin) assessed as remaining enzyme activity by ADP-Glo kinase assay relative to untreated control	B	COc1ccc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)cc1S(=O)(=O)n1cccn1		CHEMBL3959992	=	Activity	%	83.0	CHEMBL2251	Homo sapiens	Activity	%	83.0
	16772343	CHEMBL3864063	Inhibition of PI4K2A (unknown origin) assessed as remaining enzyme activity by ADP-Glo kinase assay relative to untreated control	B	COCCNS(=O)(=O)c1cc(-c2c(C)nc3c(NCCNC(C)=O)cc(Cl)nn23)ccc1OC		CHEMBL3932492	=	Activity	%	107.0	CHEMBL2251	Homo sapiens	Activity	%	107.0
