activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1790371	CHEMBL856397	Percent residual activity, relative to control, of MNK1 at 1 uM concentration of inhibitor in presence of 50 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12		CHEMBL413460	=	Activity	%	68.0	CHEMBL4718	Homo sapiens	Activity	%	68.0
	1790371	CHEMBL856397	Percent residual activity, relative to control, of MNK1 at 1 uM concentration of inhibitor in presence of 50 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12		CHEMBL413460	=	Activity	%	68.0	CHEMBL4718	Homo sapiens	Activity	%	68.0
	1790425	CHEMBL856397	Percent residual activity, relative to control, of MNK1 at 1 uM concentration of inhibitor in presence of 50 uM ATP	B	N=C(N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O		CHEMBL279185	=	Activity	%	102.0	CHEMBL4718	Homo sapiens	Activity	%	102.0
	1881813	CHEMBL904792	Inhibition of MNK1	B	O=C1NCCc2[nH]c(-c3ccncc3)cc21		CHEMBL225519	=	IC50	nM	2670.0	CHEMBL4718	Homo sapiens	IC50	uM	2.67
	1881820	CHEMBL904792	Inhibition of MNK1	B	O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4)c3)cc21		CHEMBL388566	=	IC50	nM	16000.0	CHEMBL4718	Homo sapiens	IC50	uM	16.0
	1881827	CHEMBL904792	Inhibition of MNK1	B	O=C1NCCc2[nH]c(-c3ccnc(-c4cnc5ccccc5c4)c3)cc21		CHEMBL226403	=	IC50	nM	5700.0	CHEMBL4718	Homo sapiens	IC50	uM	5.7
	1881837	CHEMBL904792	Inhibition of MNK1	B	O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4F)c3)cc21		CHEMBL226471	>	IC50	nM	10000.0	CHEMBL4718	Homo sapiens	IC50	uM	10.0
	2036404	CHEMBL922897	Inhibition of MNK1	B	COc1ccc2[nH]c3c(c2c1)C1CCN(C1)C3C(=O)O	Outside typical range	CHEMBL392876	>	IC50	nM	200000.0	CHEMBL4718	Homo sapiens	IC50	uM	200.0
	2302143	CHEMBL950812	Inhibition of MNK1 at 10 uM	B	Nc1ncnc2c1ncn2CC(=O)c1c[nH]c2ccccc12		CHEMBL521155	=	Inhibition	%	73.0	CHEMBL4718	Homo sapiens	INH	%	73.0
Not Active	2302186	CHEMBL950855	Inhibition of MNK1 at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL4718	Homo sapiens	INH		
	2470273	CHEMBL987192	Inhibition of MKNK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL4718	Homo sapiens	INH	%	10.0
	2626889	CHEMBL999773	Binding affinity to human MKNK1 at 5 uM	B	Cc1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Nc3ncnc4ccc(N)cc34)cc2)c1		CHEMBL497033	=	Activity	%	7.0	CHEMBL4718	Homo sapiens	Activity	%	7.0
	2626916	CHEMBL999773	Binding affinity to human MKNK1 at 5 uM	B	Cc1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Nc3ncnc4ccc(N)cc34)c2)c1		CHEMBL497615	=	Activity	%	1.0	CHEMBL4718	Homo sapiens	Activity	%	1.0
	2635201	CHEMBL1000640	Inhibition of MNK1 at 1 uM relative to control	B	CSc1cc(Oc2ccnc3[nH]c(=O)[nH]c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1		CHEMBL496009	=	Residual_activity	%	100.0	CHEMBL4718	Homo sapiens	Residual_activity	%	100.0
	2635944	CHEMBL1000640	Inhibition of MNK1 at 1 uM relative to control	B	O=C(Nc1cc(C(F)(F)F)ccc1F)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c2ccccc12		CHEMBL498112	=	Residual_activity	%	100.0	CHEMBL4718	Homo sapiens	Residual_activity	%	100.0
