activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470338	CHEMBL995017	Inhibition of RIOK2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL6000	Homo sapiens	INH	%	10.0
	2470338	CHEMBL995017	Inhibition of RIOK2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL6000	Homo sapiens	INH	%	10.0
	2921977	CHEMBL1052945	Inhibition of RIOK2 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	100.0	CHEMBL6000	Homo sapiens	Activity	%	100.0
	3066892	CHEMBL1066098	Inhibition of RIOK2 at 10 uM	B	CN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21		CHEMBL607535	=	Inhibition	%	0.0	CHEMBL6000	Homo sapiens	INH	%	0.0
	3066982	CHEMBL1066098	Inhibition of RIOK2 at 10 uM	B	O=C1Nc2ccccc2/C1=C1\C(=O)N(CCCc2ccccc2)c2ccccc21		CHEMBL607196	=	Inhibition	%	37.0	CHEMBL6000	Homo sapiens	INH	%	37.0
	3332130	CHEMBL1166841	Inhibition of RIOK2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL6000	Homo sapiens	INH	%	50.0
	3333545	CHEMBL1166841	Inhibition of RIOK2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL6000	Homo sapiens	INH	%	50.0
	3334950	CHEMBL1166841	Inhibition of RIOK2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL6000	Homo sapiens	INH	%	50.0
	3336370	CHEMBL1166841	Inhibition of RIOK2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL6000	Homo sapiens	INH	%	50.0
	3341912	CHEMBL1166841	Inhibition of RIOK2 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL6000	Homo sapiens	INH	%	50.0
	3343359	CHEMBL1166841	Inhibition of RIOK2 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL6000	Homo sapiens	INH	%	50.0
