activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3351793	CHEMBL1175107	Inhibition of TRPM6 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	64.0	CHEMBL1628470	Homo sapiens	INH	%	64.0
	3351793	CHEMBL1175107	Inhibition of TRPM6 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	64.0	CHEMBL1628470	Homo sapiens	INH	%	64.0
	3358845	CHEMBL1175107	Inhibition of TRPM6 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	49.0	CHEMBL1628470	Homo sapiens	INH	%	49.0
	7567527	CHEMBL1908807	Binding constant for TRPM6 kinase domain	B	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl		CHEMBL105442	>	Kd	nM	10000.0	CHEMBL1628470	Homo sapiens	Kd	nM	10000.0
	7567998	CHEMBL1908807	Binding constant for TRPM6 kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL180022	>	Kd	nM	10000.0	CHEMBL1628470	Homo sapiens	Kd	nM	10000.0
	7568466	CHEMBL1908807	Binding constant for TRPM6 kinase domain	B	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1		CHEMBL386051	>	Kd	nM	10000.0	CHEMBL1628470	Homo sapiens	Kd	nM	10000.0
	7568898	CHEMBL1908807	Binding constant for TRPM6 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	>	Kd	nM	10000.0	CHEMBL1628470	Homo sapiens	Kd	nM	10000.0
	7569041	CHEMBL1908807	Binding constant for TRPM6 kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL1628470	Homo sapiens	Kd	nM	10000.0
	7569501	CHEMBL1908807	Binding constant for TRPM6 kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL1628470	Homo sapiens	Kd	nM	10000.0
	7569973	CHEMBL1908807	Binding constant for TRPM6 kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL1628470	Homo sapiens	Kd	nM	10000.0
	7570436	CHEMBL1908807	Binding constant for TRPM6 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1		CHEMBL450786	>	Kd	nM	10000.0	CHEMBL1628470	Homo sapiens	Kd	nM	10000.0
