activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	15756808	CHEMBL3631478	Inhibition of SSTK (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1		CHEMBL166031	=	Inhibition	%	7.1	CHEMBL3627582	Homo sapiens	INH	%	7.1
	15756808	CHEMBL3631478	Inhibition of SSTK (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1		CHEMBL166031	=	Inhibition	%	7.1	CHEMBL3627582	Homo sapiens	INH	%	7.1
	15757915	CHEMBL3631478	Inhibition of SSTK (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	CS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N4CCOCC4)nc3-c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3)n2)c1	Outside typical range	CHEMBL3628627	=	Inhibition	%	-24.54	CHEMBL3627582	Homo sapiens	INH	%	-24.54
	15758894	CHEMBL3631478	Inhibition of SSTK (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay	B	COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC		CHEMBL3628628	=	Inhibition	%	-0.51	CHEMBL3627582	Homo sapiens	INH	%	-0.51
	16432010	CHEMBL3750164	Inhibition of human SSTK using MBP substrate	B	Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21		CHEMBL3745885	>	IC50	nM	10000.0	CHEMBL3627582	Homo sapiens	IC50	uM	10.0
	18938315	CHEMBL4327884	Inhibition of human SSTK assessed as residual activity at 1 uM using MBP as substrate by [gamma-33P]-ATP assay relative to control	B	ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]		CHEMBL4438024	=	Activity	%	98.56	CHEMBL3627582	Homo sapiens	Activity	%	98.56
	18938316	CHEMBL4327884	Inhibition of human SSTK assessed as residual activity at 1 uM using MBP as substrate by [gamma-33P]-ATP assay relative to control	B	C(=C/c1ccccc1)\C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]		CHEMBL4446405	=	Activity	%	102.81	CHEMBL3627582	Homo sapiens	Activity	%	102.81
	18938729	CHEMBL4328248	Inhibition of human SSTK assessed as residual activity at 100 uM using MBP as substrate by [gamma-33P]-ATP assay relative to control	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	<	Activity	%	65.0	CHEMBL3627582	Homo sapiens	Activity	%	65.0
	18939115	CHEMBL4328612	Inhibition of human SSTK using MBP as substrate by [gamma-33P]-ATP assay	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	193.0	CHEMBL3627582	Homo sapiens	IC50	10'-7M	1.93
Active	19041287	CHEMBL4352548	Inhibition of human SSTK at 10 uM using MBP as substrate in presence of [gamma-33P]-ATP	B	CC(C)(C)C(=O)N1N=CC[C@H]1c1ccccc1		CHEMBL4521353		Inhibition	%		CHEMBL3627582	Homo sapiens	INH		
