activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147406	CHEMBL923162	Activity of human WNK3 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	88.0	CHEMBL6055	Homo sapiens	Activity	%	88.0
	2147406	CHEMBL923162	Activity of human WNK3 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	88.0	CHEMBL6055	Homo sapiens	Activity	%	88.0
	2721738	CHEMBL1053583	Inhibition of WNK3 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL6055	Homo sapiens	INH	%	50.0
	3052513	CHEMBL1047764	Residual activity of WNK3 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	84.0	CHEMBL6055	Homo sapiens	Residual activity	%	84.0
	3052765	CHEMBL1043844	Residual activity of WNK3 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	69.0	CHEMBL6055	Homo sapiens	Residual activity	%	69.0
	3054074	CHEMBL1073373	Residual activity of WNK3 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	39.0	CHEMBL6055	Homo sapiens	Residual activity	%	39.0
	3055361	CHEMBL1047764	Residual activity of WNK3 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	90.0	CHEMBL6055	Homo sapiens	Residual activity	%	90.0
	3055613	CHEMBL1043844	Residual activity of WNK3 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	64.0	CHEMBL6055	Homo sapiens	Residual activity	%	64.0
	3056918	CHEMBL1073373	Residual activity of WNK3 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	23.0	CHEMBL6055	Homo sapiens	Residual activity	%	23.0
	3058238	CHEMBL1047764	Residual activity of WNK3 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	94.0	CHEMBL6055	Homo sapiens	Residual activity	%	94.0
