activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051675	CHEMBL941811	Inhibition of STK33	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1638.0	CHEMBL6005	Homo sapiens	Ki	uM	1.638
	2051675	CHEMBL941811	Inhibition of STK33	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1638.0	CHEMBL6005	Homo sapiens	Ki	uM	1.638
	2147396	CHEMBL922181	Activity of human STK33 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	96.0	CHEMBL6005	Homo sapiens	Activity	%	96.0
	2470368	CHEMBL981750	Inhibition of STK33 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL6005	Homo sapiens	INH	%	10.0
Not Evaluated	2476720	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL6005	Homo sapiens	Activity		
Not Evaluated	2478559	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL6005	Homo sapiens	Activity		
	2478762	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	3.2	CHEMBL6005	Homo sapiens	Activity	%	3.2
	2479617	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312	=	Activity	%	24.1	CHEMBL6005	Homo sapiens	Activity	%	24.1
Not Evaluated	2479820	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167		Activity			CHEMBL6005	Homo sapiens	Activity		
Active	2480617	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409		Activity			CHEMBL6005	Homo sapiens	Activity		
Not Evaluated	2480819	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878		Activity			CHEMBL6005	Homo sapiens	Activity		
Not Evaluated	2577238	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL6005	Homo sapiens	Activity		
Not Evaluated	2577441	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL6005	Homo sapiens	Activity		
	2593646	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097	=	Activity	%	10.9	CHEMBL6005	Homo sapiens	Activity	%	10.9
Not Evaluated	2593912	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519		Activity			CHEMBL6005	Homo sapiens	Activity		
Not Evaluated	2594115	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL6005	Homo sapiens	Activity		
Not Evaluated	2594855	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL6005	Homo sapiens	Activity		
Not Evaluated	2595058	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL6005	Homo sapiens	Activity		
	2596255	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342	=	Activity	%	2.6	CHEMBL6005	Homo sapiens	Activity	%	2.6
Not Evaluated	2596458	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019		Activity			CHEMBL6005	Homo sapiens	Activity		
Not Evaluated	2597727	CHEMBL982748	Binding affinity to human STK33 at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL6005	Homo sapiens	Activity		
	2721728	CHEMBL1053573	Inhibition of STK33 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL6005	Homo sapiens	INH	%	50.0
	2896641	CHEMBL1061983	Binding constant for full-length STK33	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	=	Kd	nM	3800.0	CHEMBL6005	Homo sapiens	Kd	nM	3800.0
	2896642	CHEMBL1061983	Binding constant for full-length STK33	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896643	CHEMBL1061983	Binding constant for full-length STK33	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	=	Kd	nM	1200.0	CHEMBL6005	Homo sapiens	Kd	nM	1200.0
	2896644	CHEMBL1061983	Binding constant for full-length STK33	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896645	CHEMBL1061983	Binding constant for full-length STK33	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896646	CHEMBL1061983	Binding constant for full-length STK33	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896647	CHEMBL1061983	Binding constant for full-length STK33	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896648	CHEMBL1061983	Binding constant for full-length STK33	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896649	CHEMBL1061983	Binding constant for full-length STK33	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896650	CHEMBL1061983	Binding constant for full-length STK33	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896651	CHEMBL1061983	Binding constant for full-length STK33	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896652	CHEMBL1061983	Binding constant for full-length STK33	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896653	CHEMBL1061983	Binding constant for full-length STK33	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	=	Kd	nM	4500.0	CHEMBL6005	Homo sapiens	Kd	nM	4500.0
	2896654	CHEMBL1061983	Binding constant for full-length STK33	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896655	CHEMBL1061983	Binding constant for full-length STK33	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	=	Kd	nM	1700.0	CHEMBL6005	Homo sapiens	Kd	nM	1700.0
	2896656	CHEMBL1061983	Binding constant for full-length STK33	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896657	CHEMBL1061983	Binding constant for full-length STK33	B	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1		CHEMBL261849	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896658	CHEMBL1061983	Binding constant for full-length STK33	B	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O		CHEMBL477772	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896659	CHEMBL1061983	Binding constant for full-length STK33	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896660	CHEMBL1061983	Binding constant for full-length STK33	B	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F		CHEMBL191003	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896661	CHEMBL1061983	Binding constant for full-length STK33	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
	2896662	CHEMBL1061983	Binding constant for full-length STK33	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	=	Kd	nM	3100.0	CHEMBL6005	Homo sapiens	Kd	nM	3100.0
	2896663	CHEMBL1061983	Binding constant for full-length STK33	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL6005	Homo sapiens	Kd	uM	10.0
