activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1723378	CHEMBL863189	Inhibition of Pkd2	B	CCOc1nc(NC(C)=O)cc(N)c1C#N		CHEMBL208637	=	Ki	nM	2500.0	CHEMBL4900	Homo sapiens	Ki	nM	2500.0
	1723378	CHEMBL863189	Inhibition of Pkd2	B	CCOc1nc(NC(C)=O)cc(N)c1C#N		CHEMBL208637	=	Ki	nM	2500.0	CHEMBL4900	Homo sapiens	Ki	nM	2500.0
	1723483	CHEMBL863189	Inhibition of Pkd2	B	CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl		CHEMBL210928	>	Ki	nM	9000.0	CHEMBL4900	Homo sapiens	Ki	nM	9000.0
	1723484	CHEMBL863189	Inhibition of Pkd2	B	CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1		CHEMBL210032	>	Ki	nM	9000.0	CHEMBL4900	Homo sapiens	Ki	nM	9000.0
	1723485	CHEMBL863189	Inhibition of Pkd2	B	COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1		CHEMBL378627	=	Ki	nM	950.0	CHEMBL4900	Homo sapiens	Ki	nM	950.0
	1723486	CHEMBL863189	Inhibition of Pkd2	B	CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N		CHEMBL210963	>	Ki	nM	9000.0	CHEMBL4900	Homo sapiens	Ki	nM	9000.0
	1723487	CHEMBL863189	Inhibition of Pkd2	B	CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N		CHEMBL210618	=	Ki	nM	5300.0	CHEMBL4900	Homo sapiens	Ki	nM	5300.0
	1723798	CHEMBL863189	Inhibition of Pkd2	B	CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N		CHEMBL210618	=	Ki	nM	5300.0	CHEMBL4900	Homo sapiens	Ki	nM	5300.0
	1727578	CHEMBL859767	Inhibition of human PKD2 at 3 uM in presence of 10 uM ATP	B	COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1OC		CHEMBL210833	=	Inhibition	%	-7.0	CHEMBL4900	Homo sapiens	Inhibition	%	-7.0
	1734101	CHEMBL862828	Residual activity at human PKD2 at 10 uM in presence of 10 uM ATP relative to control	B	O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1		CHEMBL379156	=	Activity	%	91.0	CHEMBL4900	Homo sapiens	Activity	%	91.0
	1744392	CHEMBL866668	Inhibition of Pkd2	B	CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl		CHEMBL377383	=	Ki	nM	5200.0	CHEMBL4900	Homo sapiens	Ki	uM	5.2
	1769437	CHEMBL910945	Inhibition of PKD2	B	C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2		CHEMBL215803	>	IC50	nM	1000.0	CHEMBL4900	Homo sapiens	IC50	uM	1.0
	1790070	CHEMBL855331	Percentage activity of human PKD2 in the presence of 10 uM of compound and 10 uM of ATP in comparison with control	B	O=C(NCc1ccc(S(=O)(=O)N2CCC(n3nnc4ccccc43)CC2)s1)c1ccc(Cl)cc1		CHEMBL383955	=	Activity	%	95.0	CHEMBL4900	Homo sapiens	Activity	%	95.0
	1824596	CHEMBL915362	Inhibition of Pkd2	B	N#Cc1ncc2nc1OCCCCCOc1cc(CCCO)c(Cl)cc1NC(=O)N2		CHEMBL223367	>	Ki	nM	10000.0	CHEMBL4900	Homo sapiens	Ki	uM	10.0
	1824664	CHEMBL915362	Inhibition of Pkd2	B	CS(=O)(=O)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2		CHEMBL223460	>	Ki	nM	10000.0	CHEMBL4900	Homo sapiens	Ki	uM	10.0
	1824754	CHEMBL915362	Inhibition of Pkd2	B	N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2		CHEMBL373598	>	Ki	nM	10000.0	CHEMBL4900	Homo sapiens	Ki	uM	10.0
	2025207	CHEMBL887015	Inhibition of human PKD2 at 1 uM relative to control	B	CN(C)c1cc2cc(n1)CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CCC2		CHEMBL247067	=	Inhibition	%	97.0	CHEMBL4900	Homo sapiens	Inhibition	%	97.0
	2025513	CHEMBL887015	Inhibition of human PKD2 at 1 uM relative to control	B	CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CC2		CHEMBL1162963	=	Inhibition	%	100.0	CHEMBL4900	Homo sapiens	Inhibition	%	100.0
	2025514	CHEMBL887015	Inhibition of human PKD2 at 1 uM relative to control	B	O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1ccc(c(N3CCCC3)n1)CCCn1cc2c2ccccc21		CHEMBL396327	=	Inhibition	%	115.0	CHEMBL4900	Homo sapiens	Inhibition	%	115.0
	2025515	CHEMBL887015	Inhibition of human PKD2 at 1 uM relative to control	B	O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21		CHEMBL397771	=	Inhibition	%	103.0	CHEMBL4900	Homo sapiens	Inhibition	%	103.0
	2051669	CHEMBL941805	Inhibition of PKD2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	8980.0	CHEMBL4900	Homo sapiens	Ki	uM	8.98
	2147363	CHEMBL922148	Activity of human PKD2 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	90.0	CHEMBL4900	Homo sapiens	Activity	%	90.0
	2248283	CHEMBL1012716	Inhibition of PKD2 at 5 uM	B	O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1		CHEMBL183906	=	Inhibition	%	-6.0	CHEMBL4900	Homo sapiens	INH	%	-6.0
	2248284	CHEMBL1012716	Inhibition of PKD2 at 5 uM	B	CCCOc1ccc(/C=C2\SC(=O)NC2=O)cc1		CHEMBL84558	=	Inhibition	%	-3.0	CHEMBL4900	Homo sapiens	INH	%	-3.0
	2251068	CHEMBL1011943	Inhibition of PKD2 at 100 nM relative to control	B	N=C(N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O		CHEMBL525385	=	Inhibition	%	37.0	CHEMBL4900	Homo sapiens	INH	%	37.0
	2356987	CHEMBL958283	Inhibition of PKD2 at 1 uM relative to control	B	Cc1ccn(-c2ccc(-c3ncco3)cc2)c(=O)c1-c1ccc2nc(N)ncc2c1		CHEMBL525893	>	Inhibition	%	50.0	CHEMBL4900	Homo sapiens	INH	%	50.0
	2470323	CHEMBL992500	Inhibition of PRKD2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL4900	Homo sapiens	INH	%	10.0
	2567275	CHEMBL975462	Inhibition of human PKD2 kinase assessed as residual enzyme activity at 0.1 uM	B	CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c(C)n[nH]c1-4		CHEMBL223147	=	Activity	%	105.0	CHEMBL4900	Homo sapiens	Activity	%	105.0
	2721699	CHEMBL1054324	Inhibition of PKD2 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL4900	Homo sapiens	INH	%	50.0
	2906319	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906320	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906321	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	=	Kd	nM	950.0	CHEMBL4900	Homo sapiens	Kd	nM	950.0
	2906322	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906323	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906324	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	=	Kd	nM	3900.0	CHEMBL4900	Homo sapiens	Kd	nM	3900.0
	2906325	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906326	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906327	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906328	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906329	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906330	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906331	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906332	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906333	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	=	Kd	nM	1100.0	CHEMBL4900	Homo sapiens	Kd	nM	1100.0
	2906334	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906335	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1		CHEMBL261849	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906336	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O		CHEMBL477772	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906337	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906338	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F		CHEMBL191003	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906339	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906340	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	=	Kd	nM	890.0	CHEMBL4900	Homo sapiens	Kd	nM	890.0
	2906341	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906342	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906343	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906344	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	=	Kd	nM	6300.0	CHEMBL4900	Homo sapiens	Kd	nM	6300.0
	2906345	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906346	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906347	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906348	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906349	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1		CHEMBL440084	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
	2906350	CHEMBL1061156	Binding constant for PRKD2 kinase domain	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL4900	Homo sapiens	Kd	uM	10.0
