activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	554220	CHEMBL752085	Percent of Monophosphate forms of compound at 2 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@H](O)[C@H]3O)c2n1		CHEMBL2364560	=	% nucleotide present	%	98.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	98.0
	554220	CHEMBL752085	Percent of Monophosphate forms of compound at 2 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@H](O)[C@H]3O)c2n1		CHEMBL2364560	=	% nucleotide present	%	98.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	98.0
	554221	CHEMBL752081	Percent of diphosphate forms of compound at 2 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@H](O)[C@H]3O)c2n1		CHEMBL2364560	=	% nucleotide present	%	0.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	0.0
	554222	CHEMBL752091	Percent of triphosphate forms of compound at 2 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@H](O)[C@H]3O)c2n1		CHEMBL2364560	=	% nucleotide present	%	2.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	2.0
	554223	CHEMBL752080	Percent of Monophosphate forms of compound at 24 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@H](O)[C@H]3O)c2n1		CHEMBL2364560	=	% nucleotide present	%	72.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	72.0
	554224	CHEMBL752087	Percent of diphosphate forms of compound at 24 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@H](O)[C@H]3O)c2n1		CHEMBL2364560	=	% nucleotide present	%	0.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	0.0
	554225	CHEMBL752090	Percent of triphosphate forms of compound at 24 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@H](O)[C@H]3O)c2n1		CHEMBL2364560	=	% nucleotide present	%	28.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	28.0
	560293	CHEMBL752085	Percent of Monophosphate forms of compound at 2 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@H](O)[C@@H]2O)c(=O)[nH]1		CHEMBL1242996	=	% nucleotide present	%	5.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	5.0
	560294	CHEMBL752081	Percent of diphosphate forms of compound at 2 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@H](O)[C@@H]2O)c(=O)[nH]1		CHEMBL1242996	=	% nucleotide present	%	92.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	92.0
	560295	CHEMBL752091	Percent of triphosphate forms of compound at 2 hr after phosphorylation by nucleoside monophosphate kinase	B	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@H](O)[C@@H]2O)c(=O)[nH]1		CHEMBL1242996	=	% nucleotide present	%	3.0	CHEMBL2469	Homo sapiens	% nucleotide present	%	3.0
