activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470393	CHEMBL981775	Inhibition of SNF1LK2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5699	Homo sapiens	INH	%	10.0
	2470393	CHEMBL981775	Inhibition of SNF1LK2 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5699	Homo sapiens	INH	%	10.0
Not Evaluated	2476727	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5699	Homo sapiens	Activity		
Not Evaluated	2478566	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5699	Homo sapiens	Activity		
Not Evaluated	2478769	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755		Activity			CHEMBL5699	Homo sapiens	Activity		
Not Evaluated	2479624	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL5699	Homo sapiens	Activity		
	2479827	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167	=	Activity	%	16.7	CHEMBL5699	Homo sapiens	Activity	%	16.7
	2480624	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409	=	Activity	%	0.8	CHEMBL5699	Homo sapiens	Activity	%	0.8
	2480826	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878	=	Activity	%	18.0	CHEMBL5699	Homo sapiens	Activity	%	18.0
Not Evaluated	2577245	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5699	Homo sapiens	Activity		
	2577448	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337	=	Activity	%	17.3	CHEMBL5699	Homo sapiens	Activity	%	17.3
	2593653	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097	=	Activity	%	3.3	CHEMBL5699	Homo sapiens	Activity	%	3.3
	2593919	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519	=	Activity	%	1.3	CHEMBL5699	Homo sapiens	Activity	%	1.3
Not Evaluated	2594122	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL5699	Homo sapiens	Activity		
Not Evaluated	2594862	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL5699	Homo sapiens	Activity		
Not Evaluated	2595065	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL5699	Homo sapiens	Activity		
	2596262	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342	=	Activity	%	10.8	CHEMBL5699	Homo sapiens	Activity	%	10.8
Not Evaluated	2596465	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019		Activity			CHEMBL5699	Homo sapiens	Activity		
Not Evaluated	2597734	CHEMBL982755	Binding affinity to human QIK at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL5699	Homo sapiens	Activity		
	2896036	CHEMBL1061982	Binding constant for full-length SNF1LK2	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5699	Homo sapiens	Kd	uM	10.0
	2896037	CHEMBL1061982	Binding constant for full-length SNF1LK2	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5699	Homo sapiens	Kd	uM	10.0
