activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051626	CHEMBL941764	Inhibition of HIPK2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	3338.0	CHEMBL4576	Homo sapiens	Ki	uM	3.338
	2051626	CHEMBL941764	Inhibition of HIPK2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	3338.0	CHEMBL4576	Homo sapiens	Ki	uM	3.338
	2051627	CHEMBL941765	Inhibition of HIPK2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	7664.0	CHEMBL4576	Homo sapiens	Ki	uM	7.664
	2147278	CHEMBL921868	Activity of human HIPK2 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	112.0	CHEMBL4576	Homo sapiens	Activity	%	112.0
Not Active	2302200	CHEMBL945693	Inhibition of human HIPK2 at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL4576	Homo sapiens	INH		
	2482693	CHEMBL987144	Inhibition of HIPK2	B	Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O		CHEMBL86771	=	IC50	nM	3300.0	CHEMBL4576	Homo sapiens	IC50	uM	3.3
	2567246	CHEMBL974578	Inhibition of human HIPK2 kinase assessed as residual enzyme activity at 0.1 uM	B	CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c(C)n[nH]c1-4		CHEMBL223147	=	Activity	%	98.0	CHEMBL4576	Homo sapiens	Activity	%	98.0
	2635919	CHEMBL1004131	Inhibition of HIPK2 at 1 uM relative to control	B	CSc1cc(Oc2ccnc3[nH]c(=O)[nH]c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1		CHEMBL496009	=	Residual_activity	%	75.0	CHEMBL4576	Homo sapiens	Residual_activity	%	75.0
	2635987	CHEMBL1004131	Inhibition of HIPK2 at 1 uM relative to control	B	O=C(Nc1cc(C(F)(F)F)ccc1F)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c2ccccc12		CHEMBL498112	=	Residual_activity	%	100.0	CHEMBL4576	Homo sapiens	Residual_activity	%	100.0
	2636055	CHEMBL1004131	Inhibition of HIPK2 at 1 uM relative to control	B	CC(C)(C)c1cccc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)c3ccccc23)c1		CHEMBL496073	=	Residual_activity	%	75.0	CHEMBL4576	Homo sapiens	Residual_activity	%	75.0
	2721623	CHEMBL1057451	Inhibition of HIPK2 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL4576	Homo sapiens	INH	%	50.0
	2904369	CHEMBL1052094	Percentage HIPK2 activity remaining in the presence of 0.01uM inhibitor	B	O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1		CHEMBL577784	=	Activity	%	95.0	CHEMBL4576	Homo sapiens	Activity	%	95.0
	2904370	CHEMBL1052094	Percentage HIPK2 activity remaining in the presence of 0.01uM inhibitor	B	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12		CHEMBL379300	=	Activity	%	73.0	CHEMBL4576	Homo sapiens	Activity	%	73.0
	2904371	CHEMBL1052094	Percentage HIPK2 activity remaining in the presence of 0.01uM inhibitor	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL574737	=	Activity	%	109.0	CHEMBL4576	Homo sapiens	Activity	%	109.0
	2904372	CHEMBL1061214	Percentage HIPK2 activity remaining in the presence of 0.1uM inhibitor	B	CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)C1C		CHEMBL573107	=	Activity	%	103.0	CHEMBL4576	Homo sapiens	Activity	%	103.0
	2904373	CHEMBL1061214	Percentage HIPK2 activity remaining in the presence of 0.1uM inhibitor	B	O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1		CHEMBL577784	=	Activity	%	101.0	CHEMBL4576	Homo sapiens	Activity	%	101.0
Antagonist	2904374	CHEMBL1061214	Percentage HIPK2 activity remaining in the presence of 0.1uM inhibitor	B	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12		CHEMBL379300	=	Activity	%	24.0	CHEMBL4576	Homo sapiens	Activity	%	24.0
	2904375	CHEMBL1061214	Percentage HIPK2 activity remaining in the presence of 0.1uM inhibitor	B	CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1		CHEMBL23327	=	Activity	%	99.0	CHEMBL4576	Homo sapiens	Activity	%	99.0
	2904376	CHEMBL1061214	Percentage HIPK2 activity remaining in the presence of 0.1uM inhibitor	B	Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21		CHEMBL6291	=	Activity	%	88.0	CHEMBL4576	Homo sapiens	Activity	%	88.0
	2904377	CHEMBL1061214	Percentage HIPK2 activity remaining in the presence of 0.1uM inhibitor	B	Cn1c2ccccc2c2c3c(c4c5ccccc5n(CCC#N)c4c21)CNC3=O		CHEMBL302449	=	Activity	%	63.0	CHEMBL4576	Homo sapiens	Activity	%	63.0
	2904378	CHEMBL1061214	Percentage HIPK2 activity remaining in the presence of 0.1uM inhibitor	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	=	Activity	%	63.0	CHEMBL4576	Homo sapiens	Activity	%	63.0
	2904379	CHEMBL1062014	Percentage HIPK2 activity remaining in the presence of 10uM inhibitor	B	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl		CHEMBL105442	=	Activity	%	151.0	CHEMBL4576	Homo sapiens	Activity	%	151.0
	2904380	CHEMBL1062014	Percentage HIPK2 activity remaining in the presence of 10uM inhibitor	B	O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F		CHEMBL507361	=	Activity	%	110.0	CHEMBL4576	Homo sapiens	Activity	%	110.0
	2904381	CHEMBL1062014	Percentage HIPK2 activity remaining in the presence of 10uM inhibitor	B	COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1		CHEMBL259850	=	Activity	%	53.0	CHEMBL4576	Homo sapiens	Activity	%	53.0
	2904382	CHEMBL1062014	Percentage HIPK2 activity remaining in the presence of 10uM inhibitor	B	CC(C)(C(N)=O)C(=O)NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1Br		CHEMBL573108	=	Activity	%	75.0	CHEMBL4576	Homo sapiens	Activity	%	75.0
	2904383	CHEMBL1062014	Percentage HIPK2 activity remaining in the presence of 10uM inhibitor	B	NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1		CHEMBL410456	=	Activity	%	80.0	CHEMBL4576	Homo sapiens	Activity	%	80.0
	2904384	CHEMBL1062014	Percentage HIPK2 activity remaining in the presence of 10uM inhibitor	B	Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1		CHEMBL249697	=	Activity	%	83.0	CHEMBL4576	Homo sapiens	Activity	%	83.0
